Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,Ian Bingham,Shaunalee Derkson,Harold Jonker,Joanna Kocsis,Nameer Rahman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Niagara West/Niagara-Ouest"," 1","St. Catharines",96,56,10,2,4,28,0,196,447
35068,"Niagara West/Niagara-Ouest"," 2","St. Catharines",173,75,9,4,13,43,1,318,574
35068,"Niagara West/Niagara-Ouest"," 3","Lincoln",100,68,8,4,4,12,1,197,445
35068,"Niagara West/Niagara-Ouest"," 4","Grimsby",Merged with No./Fusionné avec le n°10,,,,,,,,186
35068,"Niagara West/Niagara-Ouest"," 5A","Grimsby",122,121,32,2,11,68,0,356,842
35068,"Niagara West/Niagara-Ouest"," 5B","Grimsby",62,46,13,1,2,25,1,150,524
35068,"Niagara West/Niagara-Ouest"," 6","Grimsby",50,43,11,1,6,17,0,128,364
35068,"Niagara West/Niagara-Ouest"," 7","Grimsby",66,57,15,0,2,30,0,170,408
35068,"Niagara West/Niagara-Ouest"," 8","Grimsby",53,33,5,2,3,24,0,120,382
35068,"Niagara West/Niagara-Ouest"," 9","Grimsby",88,66,8,1,10,41,0,214,453
35068,"Niagara West/Niagara-Ouest"," 10","Grimsby",101,75,26,0,9,49,1,261,353
35068,"Niagara West/Niagara-Ouest"," 11","Grimsby",117,74,7,1,6,20,1,226,510
35068,"Niagara West/Niagara-Ouest"," 12","Grimsby",70,43,17,0,2,30,0,162,452
35068,"Niagara West/Niagara-Ouest"," 13","Grimsby",66,63,1,0,6,15,0,151,462
35068,"Niagara West/Niagara-Ouest"," 14","Grimsby",128,93,34,0,8,47,1,311,412
35068,"Niagara West/Niagara-Ouest"," 15","Grimsby",Merged with No./Fusionné avec le n°14,,,,,,,,339
35068,"Niagara West/Niagara-Ouest"," 16","Grimsby",92,56,16,3,7,23,0,197,458
35068,"Niagara West/Niagara-Ouest"," 17","Grimsby",72,63,12,3,17,25,0,192,420
35068,"Niagara West/Niagara-Ouest"," 18","Grimsby",113,74,21,1,14,40,0,263,527
35068,"Niagara West/Niagara-Ouest"," 19","Grimsby",51,54,9,0,8,20,0,142,390
35068,"Niagara West/Niagara-Ouest"," 20","Grimsby",80,63,10,2,4,33,1,193,405
35068,"Niagara West/Niagara-Ouest"," 21","Grimsby",92,74,8,0,4,35,1,214,483
35068,"Niagara West/Niagara-Ouest"," 22","Grimsby",65,53,14,0,5,54,1,192,449
35068,"Niagara West/Niagara-Ouest"," 23","Grimsby",81,35,11,0,2,38,0,167,345
35068,"Niagara West/Niagara-Ouest"," 24","Grimsby",59,49,5,0,8,33,1,155,428
35068,"Niagara West/Niagara-Ouest"," 25","Grimsby",97,74,16,1,4,35,1,228,484
35068,"Niagara West/Niagara-Ouest"," 26","Lincoln",86,46,20,2,2,59,1,216,560
35068,"Niagara West/Niagara-Ouest"," 27","Lincoln",180,56,22,0,11,28,1,298,608
35068,"Niagara West/Niagara-Ouest"," 28","Lincoln",106,53,17,2,12,30,5,225,558
35068,"Niagara West/Niagara-Ouest"," 29","Lincoln",105,83,17,4,12,60,1,282,601
35068,"Niagara West/Niagara-Ouest"," 30","Grimsby",84,83,6,0,14,34,1,222,480
35068,"Niagara West/Niagara-Ouest"," 31","Grimsby",52,63,13,0,3,44,0,175,452
35068,"Niagara West/Niagara-Ouest"," 32","Grimsby",101,75,13,2,3,36,0,230,458
35068,"Niagara West/Niagara-Ouest"," 33","Grimsby",72,69,14,1,2,26,0,184,463
35068,"Niagara West/Niagara-Ouest"," 34","Grimsby",72,82,13,0,3,12,0,182,441
35068,"Niagara West/Niagara-Ouest"," 35","Grimsby",46,54,11,4,8,27,0,150,481
35068,"Niagara West/Niagara-Ouest"," 36","Grimsby",Merged with No./Fusionné avec le n°39,,,,,,,,249
35068,"Niagara West/Niagara-Ouest"," 37","Grimsby",39,38,10,5,11,26,0,129,392
35068,"Niagara West/Niagara-Ouest"," 38","Grimsby",61,60,3,3,7,36,0,170,406
35068,"Niagara West/Niagara-Ouest"," 39","Grimsby",89,94,13,3,15,54,1,269,358
35068,"Niagara West/Niagara-Ouest"," 40","Grimsby",52,61,10,0,10,32,0,165,377
35068,"Niagara West/Niagara-Ouest"," 41","Grimsby",96,93,7,6,14,30,1,247,606
35068,"Niagara West/Niagara-Ouest"," 42","Grimsby",51,72,3,1,7,37,0,171,459
35068,"Niagara West/Niagara-Ouest"," 43","Grimsby",77,79,8,1,8,24,0,197,381
35068,"Niagara West/Niagara-Ouest"," 44","Grimsby",Merged with No./Fusionné avec le n°45,,,,,,,,289
35068,"Niagara West/Niagara-Ouest"," 45","Grimsby",136,118,25,0,14,49,0,342,381
35068,"Niagara West/Niagara-Ouest"," 46","Grimsby",65,62,7,2,7,42,0,185,451
35068,"Niagara West/Niagara-Ouest"," 47","Lincoln",106,40,11,6,7,25,1,196,385
35068,"Niagara West/Niagara-Ouest"," 48","Lincoln",149,51,13,3,6,13,0,235,464
35068,"Niagara West/Niagara-Ouest"," 49","Lincoln",178,62,21,8,9,28,1,307,609
35068,"Niagara West/Niagara-Ouest"," 50","Lincoln",61,52,4,0,6,25,0,148,412
35068,"Niagara West/Niagara-Ouest"," 51","Grimsby",62,63,14,1,5,23,0,168,460
35068,"Niagara West/Niagara-Ouest"," 52","Grimsby",103,58,14,7,9,34,2,227,481
35068,"Niagara West/Niagara-Ouest"," 53","Grimsby",68,87,9,0,7,26,1,198,429
35068,"Niagara West/Niagara-Ouest"," 54","Grimsby",95,63,7,0,12,23,0,200,425
35068,"Niagara West/Niagara-Ouest"," 55","Grimsby",91,66,13,0,10,25,1,206,395
35068,"Niagara West/Niagara-Ouest"," 56","Grimsby",60,51,17,0,4,30,0,162,435
35068,"Niagara West/Niagara-Ouest"," 57","Grimsby",100,97,5,0,5,24,2,233,551
35068,"Niagara West/Niagara-Ouest"," 58","Grimsby",77,73,9,1,2,24,0,186,457
35068,"Niagara West/Niagara-Ouest"," 59","Lincoln",80,42,7,2,9,33,0,173,411
35068,"Niagara West/Niagara-Ouest"," 60","Lincoln",69,46,10,0,5,33,1,164,383
35068,"Niagara West/Niagara-Ouest"," 61","Lincoln",71,49,19,3,4,28,0,174,443
35068,"Niagara West/Niagara-Ouest"," 62","Lincoln",72,50,10,2,6,38,0,178,453
35068,"Niagara West/Niagara-Ouest"," 63","Lincoln",63,59,14,1,10,38,1,186,466
35068,"Niagara West/Niagara-Ouest"," 64","Lincoln",58,56,19,1,7,37,0,178,454
35068,"Niagara West/Niagara-Ouest"," 65","Lincoln",69,66,15,0,9,21,3,183,438
35068,"Niagara West/Niagara-Ouest"," 66","Lincoln",120,65,11,3,9,53,0,261,734
35068,"Niagara West/Niagara-Ouest"," 67","Lincoln",92,56,12,0,3,38,1,202,497
35068,"Niagara West/Niagara-Ouest"," 68","Lincoln",37,43,10,1,9,8,0,108,417
35068,"Niagara West/Niagara-Ouest"," 69","Lincoln",45,75,8,0,1,13,0,142,527
