Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Arcand,Marie-Philippe Gagnon Gauthier,Chamroeun Khuon,Hélène Lefebvre,Marie-Christine Richard,Daniel Vaillancourt,Dominique Vien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 1","Saint-Vallier",3,10,1,2,42,41,100,2,201,404
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 2","Saint-Vallier",5,17,0,2,50,24,123,4,225,436
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 3","Saint-Michel-de-Bellechasse",0,5,0,7,42,25,54,3,136,351
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 4","Saint-Michel-de-Bellechasse",4,17,0,0,52,22,80,2,177,397
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 5","Saint-Michel-de-Bellechasse",4,6,0,2,37,29,83,0,161,388
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 6","Saint-Michel-de-Bellechasse",1,8,2,2,35,13,82,1,144,313
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 7","Saint-Raphaël",8,6,1,0,11,7,84,1,118,299
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 8","Saint-Raphaël",7,13,0,3,29,14,84,3,153,355
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 9","Saint-Raphaël",0,1,1,0,32,10,83,1,128,319
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 10","Saint-Raphaël",2,2,0,1,17,11,75,2,110,276
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 11","Saint-Raphaël",4,2,0,2,31,11,104,2,156,311
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 12","Saint-Raphaël",5,3,0,0,21,7,78,5,119,309
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 13","Armagh",8,4,2,3,34,11,79,1,142,288
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 14","Armagh",6,7,0,1,22,20,104,4,164,277
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 15","Armagh",9,0,1,2,30,13,102,3,160,303
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 16","Armagh",5,3,0,2,28,17,110,3,168,306
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 17","La Durantaye",14,4,0,6,34,13,83,4,158,274
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 18","La Durantaye",4,10,0,1,36,15,111,5,182,331
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 19","Beaumont",3,6,1,2,36,28,106,0,182,375
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 20","Beaumont",6,5,1,2,37,18,87,3,159,331
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 21","Beaumont",1,11,1,3,39,29,72,5,161,333
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 22","Beaumont",6,7,2,4,24,12,102,9,166,321
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 23","Beaumont",3,14,0,6,32,26,133,4,218,361
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 24","Beaumont",3,8,1,0,29,15,73,3,132,276
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 25","Beaumont",8,6,0,2,29,12,107,4,168,420
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 26","Lévis",6,14,3,9,59,36,111,4,242,545
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 27","Lévis",6,9,0,0,45,26,69,2,157,373
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 28","Lévis",5,14,0,2,54,41,133,5,254,464
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 29","Lévis",12,17,1,10,53,31,50,2,176,457
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 30","Lévis",3,6,0,1,35,22,33,3,103,333
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 31","Lévis",4,16,0,1,48,20,39,3,131,366
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 32","Saint-Philémon",3,1,0,2,34,27,85,3,155,312
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 33","Saint-Philémon",7,1,0,2,32,23,87,3,155,288
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 34","Lévis",8,11,1,3,44,17,42,4,130,425
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 35","Lévis",4,15,1,5,22,14,39,4,104,382
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 36","Lévis",5,3,0,4,27,14,47,2,102,411
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 37","Lévis",6,11,0,0,27,23,50,6,123,412
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 38","Lévis",1,10,0,1,15,9,26,2,64,297
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 39","Lévis",6,21,1,4,32,31,44,7,146,439
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 40","Lévis",1,25,0,5,51,41,151,7,281,608
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 41","Lévis",1,7,0,1,39,21,46,1,116,310
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 42","Lévis",6,13,2,1,49,29,87,3,190,424
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 43","Lévis",5,16,0,5,64,44,85,4,223,505
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 44","Lévis",7,9,0,2,47,31,65,1,162,407
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 45","Lévis",2,11,3,4,45,45,50,0,160,407
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 46","Lévis",5,19,0,6,56,35,30,2,153,305
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 47","Lévis",4,17,2,9,35,28,49,2,146,362
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 48","Lévis",4,16,1,3,39,27,56,6,152,367
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 49","Lévis",7,1,0,2,24,16,56,0,106,335
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 50","Lévis",2,29,2,7,36,22,75,6,179,443
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 51","Lévis",5,14,2,6,25,31,38,2,123,380
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 52","Lévis",9,21,1,2,54,20,52,2,161,452
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 53","Lévis",0,8,0,3,32,17,50,1,111,308
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 54","Lévis",6,12,5,2,55,39,114,4,237,601
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 55","Lévis",2,11,0,4,34,36,102,4,193,414
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 56","Lévis",6,8,1,3,32,21,67,2,140,369
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 57","Lévis",4,0,0,3,38,11,74,0,130,339
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 58","Lévis",5,8,1,4,26,24,71,0,139,377
