Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelby Bertrand,Carol Clemenhagen,Richard "Rich" Joyal,Angela Keller-Herzog,Angella MacEwen,Alex McDonald,Yasir Naqvi,Regina Watteel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 177","Ottawa",0,19,2,8,70,0,70,8,1,178,489
35075,"Ottawa Centre/Ottawa-Centre"," 178","Ottawa",1,26,0,9,33,0,59,2,0,130,467
35075,"Ottawa Centre/Ottawa-Centre"," 179","Ottawa",0,23,1,5,67,1,62,4,1,164,433
35075,"Ottawa Centre/Ottawa-Centre"," 180","Ottawa",1,43,0,5,84,1,130,8,0,272,556
35075,"Ottawa Centre/Ottawa-Centre"," 181","Ottawa",0,47,0,3,84,0,116,13,0,263,575
35075,"Ottawa Centre/Ottawa-Centre"," 182","Ottawa",1,32,0,5,46,0,73,3,1,161,401
35075,"Ottawa Centre/Ottawa-Centre"," 183","Ottawa",0,46,1,7,36,0,95,3,0,188,660
35075,"Ottawa Centre/Ottawa-Centre"," 184","Ottawa",2,31,0,5,51,0,93,5,1,188,558
35075,"Ottawa Centre/Ottawa-Centre"," 185","Ottawa",0,38,0,3,29,2,62,2,0,136,426
35075,"Ottawa Centre/Ottawa-Centre"," 186","Ottawa",1,43,0,5,43,0,135,2,1,230,560
35075,"Ottawa Centre/Ottawa-Centre"," 187","Ottawa",0,20,0,9,36,0,84,2,1,152,469
35075,"Ottawa Centre/Ottawa-Centre"," 188","Ottawa",0,31,0,4,39,0,85,2,0,161,522
35075,"Ottawa Centre/Ottawa-Centre"," 189A","Ottawa",Merged with No./Fusionné avec le n°184,,,,,,,,,,141
35075,"Ottawa Centre/Ottawa-Centre"," 189B","Mobile poll/Bureau itinérant",0,17,0,3,27,0,46,1,0,94,119
35075,"Ottawa Centre/Ottawa-Centre"," 190","Ottawa",0,22,0,4,65,0,63,6,3,163,426
35075,"Ottawa Centre/Ottawa-Centre"," 191","Ottawa",2,15,1,5,68,0,86,5,2,184,475
35075,"Ottawa Centre/Ottawa-Centre"," 192","Ottawa",1,20,2,6,46,0,93,8,1,177,491
35075,"Ottawa Centre/Ottawa-Centre"," 193","Ottawa",2,17,0,4,60,0,70,9,3,165,469
35075,"Ottawa Centre/Ottawa-Centre"," 194","Ottawa",1,38,1,3,52,0,58,6,1,160,432
35075,"Ottawa Centre/Ottawa-Centre"," 195","Ottawa",0,60,0,9,55,0,99,12,1,236,575
35075,"Ottawa Centre/Ottawa-Centre"," 196","Ottawa",0,38,0,4,50,0,90,0,1,183,512
35075,"Ottawa Centre/Ottawa-Centre"," 197","Ottawa",2,55,0,4,37,1,85,4,0,188,529
35075,"Ottawa Centre/Ottawa-Centre"," 198","Ottawa",0,46,0,5,54,3,76,6,0,190,379
35075,"Ottawa Centre/Ottawa-Centre"," 199","Ottawa",0,33,0,9,71,0,48,5,1,167,439
35075,"Ottawa Centre/Ottawa-Centre"," 200","Ottawa",1,52,0,2,39,0,64,8,3,169,413
35075,"Ottawa Centre/Ottawa-Centre"," 201","Ottawa",0,80,0,4,26,0,63,3,0,176,487
35075,"Ottawa Centre/Ottawa-Centre"," 202","Ottawa",0,60,1,4,47,1,84,5,2,204,552
35075,"Ottawa Centre/Ottawa-Centre"," 203","Ottawa",2,40,0,4,23,0,56,6,2,133,362
35075,"Ottawa Centre/Ottawa-Centre"," 400","Ottawa",0,34,1,2,51,0,61,8,2,159,286
35075,"Ottawa Centre/Ottawa-Centre"," 401","Ottawa",0,28,0,6,54,1,53,5,1,148,289
35075,"Ottawa Centre/Ottawa-Centre"," 402","Ottawa",0,5,0,2,24,0,22,0,1,54,95
35075,"Ottawa Centre/Ottawa-Centre"," 403","Ottawa",1,9,0,4,52,1,28,2,0,97,161
35075,"Ottawa Centre/Ottawa-Centre"," 404","Ottawa",1,11,1,3,43,3,32,3,0,97,239
35075,"Ottawa Centre/Ottawa-Centre"," 405","Ottawa",0,19,3,3,12,0,63,2,6,108,210
35075,"Ottawa Centre/Ottawa-Centre"," 406","Ottawa",0,12,0,5,45,0,29,5,1,97,236
35075,"Ottawa Centre/Ottawa-Centre"," 407","Ottawa",2,15,2,5,27,0,42,6,1,100,221
35075,"Ottawa Centre/Ottawa-Centre"," 408","Ottawa",0,20,1,3,24,1,41,1,0,91,173
35075,"Ottawa Centre/Ottawa-Centre"," 409","Ottawa",0,14,0,2,35,0,60,1,0,112,218
35075,"Ottawa Centre/Ottawa-Centre"," 410","Ottawa",0,13,0,1,29,0,39,3,2,87,148
35075,"Ottawa Centre/Ottawa-Centre"," 411","Ottawa",Merged with No./Fusionné avec le n°52,,,,,,,,,,61
35075,"Ottawa Centre/Ottawa-Centre"," 412","Ottawa",0,10,2,5,24,0,51,3,2,97,190
35075,"Ottawa Centre/Ottawa-Centre"," 413","Ottawa",Void/Supprimé,,,,,,,,,,
35075,"Ottawa Centre/Ottawa-Centre"," 414","Ottawa",3,28,4,7,21,1,57,4,8,133,205
35075,"Ottawa Centre/Ottawa-Centre"," 415","Ottawa",1,29,0,3,64,0,54,6,0,157,330
