Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shola Agboola,Scott A. A. Anderson,Denis Berthiaume,Jean-Denis Boudreault,Sébastien CoRhino,Matthew Correia,Naomi Crisostomo,Charles Currie,Manon Lili Desbiens,Alexandra Engering,Scott Falkingham,Kerri Hildebrandt,Ryan Huard,Conrad Lukawski,Jane MacDiarmid,Laurent Poliquin,Eliana Rosenblum,Patrick Strzalkowski,Tomas Szuchewycz,Dan Vandal,Meghan Waters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 25","Winnipeg",24,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,1,78,54,0,175,339
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 26","Winnipeg",18,0,0,0,0,0,0,1,0,0,0,0,0,0,8,5,0,0,0,78,61,1,172,325
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 27","Winnipeg",36,0,0,0,1,0,0,0,0,0,0,0,0,0,9,8,0,0,0,118,45,3,220,408
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 28","Winnipeg",18,0,0,0,1,0,0,0,0,0,0,0,0,0,10,4,0,0,0,60,62,0,155,433
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 29","Winnipeg",38,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,88,39,1,174,420
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 30","Winnipeg",23,1,0,0,1,0,0,0,0,0,0,0,0,0,3,6,0,0,0,100,46,1,181,403
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 31","Winnipeg",21,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,45,42,0,122,353
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 32","Winnipeg",42,0,0,0,0,0,0,1,0,0,0,0,0,0,11,7,0,0,0,70,47,1,179,417
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 33","Winnipeg",30,0,0,0,1,0,0,0,0,0,1,0,0,0,15,2,0,0,0,105,54,0,208,468
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 34","Winnipeg",35,0,0,0,0,0,1,0,0,0,0,0,0,0,16,4,0,0,0,105,71,1,233,470
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 35","Winnipeg",33,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,0,0,0,58,53,1,154,402
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 36","Winnipeg",24,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,55,26,0,116,364
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 37","Winnipeg",53,0,0,0,1,0,1,0,0,1,0,0,1,0,9,5,0,1,0,96,44,1,213,482
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 38","Winnipeg",35,1,0,0,1,0,0,0,0,0,1,0,0,0,12,4,0,0,0,50,49,2,155,492
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 39","Winnipeg",32,0,0,0,1,0,0,0,1,0,1,0,0,0,10,2,0,0,0,44,65,0,156,598
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 40","Winnipeg",45,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,0,0,0,44,40,1,142,422
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 41","Winnipeg",50,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,67,44,0,175,487
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 42","Winnipeg",21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,38,21,0,89,336
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 43","Winnipeg",34,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,67,37,1,144,378
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 44","Winnipeg",29,0,0,1,0,0,0,0,0,1,0,1,0,0,11,3,0,0,0,72,49,0,167,425
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 45","Winnipeg",32,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,0,0,0,60,60,3,170,418
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 46","Winnipeg",31,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,0,46,58,0,145,333
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 47","Winnipeg",47,0,0,1,1,0,0,0,1,0,0,0,0,0,15,1,0,0,0,71,63,2,202,457
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 48","Winnipeg",36,0,1,1,0,0,0,0,0,1,0,0,1,0,10,3,0,0,0,57,38,2,150,385
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 49","Winnipeg",42,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,62,34,3,153,417
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 50","Winnipeg",44,0,0,0,0,1,1,0,0,0,0,0,0,0,7,2,0,0,1,55,45,0,156,433
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 51","Winnipeg",35,0,0,0,1,0,0,0,0,0,0,0,0,0,11,3,0,0,0,54,46,0,150,475
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 52","Winnipeg",41,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,0,67,43,1,164,458
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 53","Winnipeg",79,0,0,0,0,0,0,1,0,0,0,2,0,0,7,3,0,0,0,99,37,5,233,421
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 54","Winnipeg",41,1,0,0,1,0,0,0,1,0,0,0,1,0,6,3,0,0,0,47,55,1,157,381
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 55","Winnipeg",24,1,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,72,51,0,157,405
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 56","Winnipeg",58,0,1,0,1,0,0,0,0,0,0,0,0,0,13,3,0,0,0,68,50,0,194,511
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 57","Winnipeg",59,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,62,39,0,180,456
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 58","Winnipeg",41,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0,0,0,0,55,42,2,153,405
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 59","Winnipeg",53,1,0,0,1,0,0,0,0,0,0,0,0,0,9,2,0,0,0,61,46,0,173,475
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 60","Winnipeg",34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,57,37,0,138,366
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 61","Winnipeg",63,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,72,41,0,193,456
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 62","Winnipeg",47,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,59,50,0,160,338
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 63","Winnipeg",42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,74,39,0,161,361
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 64","Winnipeg",39,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,54,41,1,144,348
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 65","Winnipeg",46,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,70,42,1,176,392
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 66","Winnipeg",30,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,0,0,0,75,64,0,180,376
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 67","Winnipeg",33,0,0,0,0,0,0,1,0,0,0,0,0,0,17,3,0,0,0,85,76,0,215,343
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 68","Winnipeg",56,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10,0,0,0,88,34,0,194,379
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 69","Winnipeg",40,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,69,53,0,173,419
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 70","Winnipeg",29,2,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,45,56,0,145,385
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 71","Winnipeg",50,0,0,0,1,0,0,0,1,0,1,0,0,1,7,3,0,0,0,82,54,1,201,469
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 72","Winnipeg",Merged with No./Fusionné avec le n°75,,,,,,,,,,,,,,,,,,,,,,,317
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 73","Winnipeg",Merged with No./Fusionné avec le n°74,,,,,,,,,,,,,,,,,,,,,,,499
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 74","Winnipeg",98,0,0,0,1,0,0,0,0,1,1,0,0,0,15,4,0,0,0,126,73,2,321,523
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 75","Winnipeg",80,0,0,0,0,0,0,0,0,0,0,1,2,0,20,3,0,0,1,115,57,0,279,532
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 76","Winnipeg",45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,67,51,2,170,412
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 77A","Winnipeg",45,1,1,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0,0,66,13,4,139,109
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 77B","Winnipeg",Merged with No./Fusionné avec le n°405,,,,,,,,,,,,,,,,,,,,,,,252
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 78","Winnipeg",31,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2,0,0,0,71,48,2,167,514
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 79","Winnipeg",34,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,59,21,2,124,330
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 80","Winnipeg",Merged with No./Fusionné avec le n°82,,,,,,,,,,,,,,,,,,,,,,,291
