Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Candice Bergen,Andrew Carrier,Jerome Dondo,Ken Friesen,Solomon Wiebe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Portage--Lisgar/Portage--Lisgar"," 1","St. Ambroise",15,23,0,16,1,3,58,121
46007,"Portage--Lisgar/Portage--Lisgar"," 2","St. Marks",56,9,1,17,64,0,147,282
46007,"Portage--Lisgar/Portage--Lisgar"," 3","Macdonald",77,8,1,10,13,0,109,252
46007,"Portage--Lisgar/Portage--Lisgar"," 4","Oakland",80,12,1,18,6,0,117,304
46007,"Portage--Lisgar/Portage--Lisgar"," 5","Portage la Prairie",49,24,0,12,14,0,99,366
46007,"Portage--Lisgar/Portage--Lisgar"," 6","Portage la Prairie",56,18,5,29,13,1,122,400
46007,"Portage--Lisgar/Portage--Lisgar"," 7","Portage la Prairie",85,34,3,35,16,1,174,503
46007,"Portage--Lisgar/Portage--Lisgar"," 8","Portage la Prairie",60,14,0,31,7,0,112,397
46007,"Portage--Lisgar/Portage--Lisgar"," 9","Portage la Prairie",51,18,3,23,19,0,114,415
46007,"Portage--Lisgar/Portage--Lisgar"," 10","Portage la Prairie",64,31,1,27,19,0,142,410
46007,"Portage--Lisgar/Portage--Lisgar"," 11","Poplar Point",59,13,0,26,23,2,123,227
46007,"Portage--Lisgar/Portage--Lisgar"," 12","Portage la Prairie",84,29,1,34,14,4,166,442
46007,"Portage--Lisgar/Portage--Lisgar"," 13","Portage la Prairie",64,31,2,25,18,0,140,346
46007,"Portage--Lisgar/Portage--Lisgar"," 14","Portage la Prairie",63,27,1,35,6,1,133,423
46007,"Portage--Lisgar/Portage--Lisgar"," 15","Portage la Prairie",84,26,0,45,4,1,160,423
46007,"Portage--Lisgar/Portage--Lisgar"," 16","High Bluff",74,15,1,19,21,1,131,319
46007,"Portage--Lisgar/Portage--Lisgar"," 17","Portage la Prairie",108,28,3,28,20,1,188,429
46007,"Portage--Lisgar/Portage--Lisgar"," 18","Portage la Prairie",52,29,3,37,24,2,147,468
46007,"Portage--Lisgar/Portage--Lisgar"," 19","Portage la Prairie",53,24,1,44,10,0,132,452
46007,"Portage--Lisgar/Portage--Lisgar"," 20","Portage la Prairie",58,18,0,29,18,0,123,415
46007,"Portage--Lisgar/Portage--Lisgar"," 21","St. Eustache",102,19,1,24,15,0,161,334
46007,"Portage--Lisgar/Portage--Lisgar"," 22","St. Eustache",89,45,3,29,22,0,188,378
46007,"Portage--Lisgar/Portage--Lisgar"," 23","Portage la Prairie",0,8,0,19,0,0,27,85
46007,"Portage--Lisgar/Portage--Lisgar"," 24","Portage la Prairie",48,18,0,19,12,0,97,331
46007,"Portage--Lisgar/Portage--Lisgar"," 25","Portage la Prairie",74,28,1,25,3,0,131,366
46007,"Portage--Lisgar/Portage--Lisgar"," 26","Portage la Prairie",61,23,0,45,20,1,150,440
46007,"Portage--Lisgar/Portage--Lisgar"," 27","Portage la Prairie",69,35,1,31,11,1,148,338
46007,"Portage--Lisgar/Portage--Lisgar"," 28","Portage la Prairie",73,35,4,23,11,1,147,417
46007,"Portage--Lisgar/Portage--Lisgar"," 29A","Portage la Prairie",87,30,0,24,12,0,153,322
46007,"Portage--Lisgar/Portage--Lisgar"," 29B","Portage la Prairie",83,28,1,27,9,1,149,349
46007,"Portage--Lisgar/Portage--Lisgar"," 30","Portage la Prairie",82,17,0,41,8,1,149,368
46007,"Portage--Lisgar/Portage--Lisgar"," 31","Portage la Prairie",88,24,0,32,6,0,150,383
46007,"Portage--Lisgar/Portage--Lisgar"," 32","Portage la Prairie",97,26,1,39,16,0,179,463
46007,"Portage--Lisgar/Portage--Lisgar"," 33","Portage la Prairie",91,23,1,36,4,0,155,350
46007,"Portage--Lisgar/Portage--Lisgar"," 34","Dakota Tipi 1",3,20,0,16,4,0,43,115
46007,"Portage--Lisgar/Portage--Lisgar"," 35","Edwin",58,10,5,9,11,1,94,161
46007,"Portage--Lisgar/Portage--Lisgar"," 36","Newton",78,13,0,15,29,2,137,270
46007,"Portage--Lisgar/Portage--Lisgar"," 37","Oakville",99,14,0,10,30,0,153,314
46007,"Portage--Lisgar/Portage--Lisgar"," 38","Oakville",169,26,1,63,27,1,287,445
46007,"Portage--Lisgar/Portage--Lisgar"," 39","Layland",78,7,2,6,14,1,108,331
46007,"Portage--Lisgar/Portage--Lisgar"," 40","Skelding",80,10,0,12,17,0,119,339
46007,"Portage--Lisgar/Portage--Lisgar"," 41","Southport",50,13,0,35,23,1,122,359
46007,"Portage--Lisgar/Portage--Lisgar"," 42","Southport",69,26,1,34,6,0,136,314
46007,"Portage--Lisgar/Portage--Lisgar"," 43","Portage la Prairie",42,13,0,5,11,1,72,245
46007,"Portage--Lisgar/Portage--Lisgar"," 44","Long Plain",5,32,2,42,4,1,86,428
46007,"Portage--Lisgar/Portage--Lisgar"," 45","Rosser",80,39,2,27,10,1,159,241
46007,"Portage--Lisgar/Portage--Lisgar"," 46","St. François Xavier",83,58,1,43,11,0,196,315
46007,"Portage--Lisgar/Portage--Lisgar"," 47","St. François Xavier",88,69,4,41,22,1,225,383
46007,"Portage--Lisgar/Portage--Lisgar"," 48","Lido Plage",131,56,3,55,7,0,252,532
46007,"Portage--Lisgar/Portage--Lisgar"," 49","Elie",120,19,4,19,17,1,180,503
46007,"Portage--Lisgar/Portage--Lisgar"," 50","Elie",56,18,2,22,12,0,110,264
46007,"Portage--Lisgar/Portage--Lisgar"," 51","Dacotah",46,6,2,9,13,1,77,237
46007,"Portage--Lisgar/Portage--Lisgar"," 52","Dakota Plains 6A",2,6,1,7,2,0,18,42
46007,"Portage--Lisgar/Portage--Lisgar"," 53","Springstein",82,19,1,9,6,2,119,271
46007,"Portage--Lisgar/Portage--Lisgar"," 54","Starbuck",145,36,4,39,17,0,241,408
46007,"Portage--Lisgar/Portage--Lisgar"," 55","Rathwell",171,23,6,15,20,3,238,429
46007,"Portage--Lisgar/Portage--Lisgar"," 56","St. Claude",110,39,4,17,18,0,188,264
46007,"Portage--Lisgar/Portage--Lisgar"," 57","Haywood",105,28,8,10,22,2,175,285
46007,"Portage--Lisgar/Portage--Lisgar"," 58","St. Claude",54,28,5,15,4,0,106,188
46007,"Portage--Lisgar/Portage--Lisgar"," 59","St. Claude",84,34,11,23,15,0,167,283
46007,"Portage--Lisgar/Portage--Lisgar"," 60","Oak Bluff",55,13,0,8,3,0,79,198
46007,"Portage--Lisgar/Portage--Lisgar"," 61","Oak Bluff",62,27,0,14,4,2,109,220
46007,"Portage--Lisgar/Portage--Lisgar"," 62A","Oak Bluff",68,26,0,17,8,0,119,331
46007,"Portage--Lisgar/Portage--Lisgar"," 62B","Oak Bluff",53,17,0,21,5,0,96,324
46007,"Portage--Lisgar/Portage--Lisgar"," 63","Oak Bluff",99,16,0,20,6,1,142,263
46007,"Portage--Lisgar/Portage--Lisgar"," 64","Ferndale",94,17,0,21,11,2,145,321
46007,"Portage--Lisgar/Portage--Lisgar"," 65","Elm Creek",139,16,15,5,40,2,217,348
46007,"Portage--Lisgar/Portage--Lisgar"," 66","Elm Creek",154,20,7,15,54,2,252,408
46007,"Portage--Lisgar/Portage--Lisgar"," 67","Norfolk-Treherne",144,13,0,16,9,1,183,237
46007,"Portage--Lisgar/Portage--Lisgar"," 68","Treherne",89,19,0,18,9,0,135,323
46007,"Portage--Lisgar/Portage--Lisgar"," 69","Treherne",Merged with No./Fusionné avec le n°67,,,,,,,163
46007,"Portage--Lisgar/Portage--Lisgar"," 70","Fannystelle",74,19,0,22,15,3,133,249
46007,"Portage--Lisgar/Portage--Lisgar"," 71","Sanford",74,35,0,33,12,0,154,252
46007,"Portage--Lisgar/Portage--Lisgar"," 72","Sanford",115,41,0,41,18,0,215,417
46007,"Portage--Lisgar/Portage--Lisgar"," 73","Sanford",69,21,2,33,14,1,140,256
46007,"Portage--Lisgar/Portage--Lisgar"," 74","La Salle",80,19,1,27,12,0,139,337
46007,"Portage--Lisgar/Portage--Lisgar"," 75","La Salle",79,20,1,38,16,1,155,370
46007,"Portage--Lisgar/Portage--Lisgar"," 76","La Salle",73,27,1,30,10,1,142,358
46007,"Portage--Lisgar/Portage--Lisgar"," 77","La Salle",79,24,0,15,12,1,131,338
46007,"Portage--Lisgar/Portage--Lisgar"," 78","La Salle",79,37,0,27,5,0,148,313
46007,"Portage--Lisgar/Portage--Lisgar"," 79","La Salle",130,46,0,31,13,0,220,436
46007,"Portage--Lisgar/Portage--Lisgar"," 80","La Salle",99,32,0,48,15,3,197,373
46007,"Portage--Lisgar/Portage--Lisgar"," 81","Domain",73,14,1,12,33,1,134,311
46007,"Portage--Lisgar/Portage--Lisgar"," 82","Brunkild",101,15,2,16,13,0,147,209
46007,"Portage--Lisgar/Portage--Lisgar"," 83","Roseisle",107,11,13,19,57,0,207,337
46007,"Portage--Lisgar/Portage--Lisgar"," 84","Notre-Dame-de-Lourdes",157,79,2,33,17,0,288,451
