Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kemal Ahmed,Joel Yakov Etienne,Nixon Nguyen,Ya'ara Saks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35118,"York Centre/York-Centre"," 96","Toronto",40,65,8,80,5,198,676
35118,"York Centre/York-Centre"," 97","Toronto",31,63,16,83,1,194,386
35118,"York Centre/York-Centre"," 98","Toronto",10,20,1,49,0,80,476
35118,"York Centre/York-Centre"," 99","Toronto",13,20,1,53,1,88,515
35118,"York Centre/York-Centre"," 100","Toronto",21,52,14,83,1,171,351
35118,"York Centre/York-Centre"," 101","Toronto",26,58,2,101,1,188,682
35118,"York Centre/York-Centre"," 102","Toronto",11,57,5,96,0,169,460
35118,"York Centre/York-Centre"," 103","Toronto",23,22,1,77,0,123,480
35118,"York Centre/York-Centre"," 104","Toronto",20,28,4,56,2,110,397
35118,"York Centre/York-Centre"," 105","Toronto",Merged with No./Fusionné avec le n°108,,,,,,374
35118,"York Centre/York-Centre"," 106","Toronto",13,20,6,59,2,100,424
35118,"York Centre/York-Centre"," 107","Toronto",13,33,5,62,1,114,455
35118,"York Centre/York-Centre"," 108","Toronto",19,72,9,62,4,166,430
35118,"York Centre/York-Centre"," 109","Toronto",20,22,10,41,5,98,508
35118,"York Centre/York-Centre"," 110","Toronto",18,35,5,72,1,131,392
35118,"York Centre/York-Centre"," 111","Toronto",30,28,19,87,0,164,378
35118,"York Centre/York-Centre"," 112","Toronto",24,24,8,70,1,127,549
35118,"York Centre/York-Centre"," 113","Toronto",Merged with No./Fusionné avec le n°110,,,,,,334
35118,"York Centre/York-Centre"," 114","Toronto",14,32,5,91,3,145,431
35118,"York Centre/York-Centre"," 115","Toronto",41,54,11,80,2,188,395
35118,"York Centre/York-Centre"," 400","Toronto",12,115,8,93,9,237,299
35118,"York Centre/York-Centre"," 401","Toronto",16,108,6,67,8,205,302
35118,"York Centre/York-Centre"," 402","Toronto",Merged with No./Fusionné avec le n°404,,,,,,285
35118,"York Centre/York-Centre"," 403","Toronto",11,31,0,52,1,95,183
35118,"York Centre/York-Centre"," 404","Toronto",5,94,11,42,13,165,329
35118,"York Centre/York-Centre"," 405","Toronto",Merged with No./Fusionné avec le n°401,,,,,,193
35118,"York Centre/York-Centre"," 406","Toronto",17,54,9,58,7,145,275
35118,"York Centre/York-Centre"," 407","Toronto",Merged with No./Fusionné avec le n°400,,,,,,195
35118,"York Centre/York-Centre"," 408","Toronto",Merged with No./Fusionné avec le n°400,,,,,,180
35118,"York Centre/York-Centre"," 409","Toronto",Merged with No./Fusionné avec le n°401,,,,,,171
35118,"York Centre/York-Centre"," 410","Toronto",Merged with No./Fusionné avec le n°406,,,,,,243
35118,"York Centre/York-Centre"," 411","Toronto",12,30,5,53,0,100,178
35118,"York Centre/York-Centre"," 412","Toronto",14,27,11,24,2,78,144
35118,"York Centre/York-Centre"," 413","Toronto",5,19,4,61,1,90,178
35118,"York Centre/York-Centre"," 414","Toronto",Merged with No./Fusionné avec le n°406,,,,,,153
35118,"York Centre/York-Centre"," 415","Toronto",Merged with No./Fusionné avec le n°418,,,,,,222
35118,"York Centre/York-Centre"," 416","Toronto",6,39,5,31,3,84,170
35118,"York Centre/York-Centre"," 417","Toronto",26,78,11,61,3,179,373
35118,"York Centre/York-Centre"," 418","Toronto",13,65,11,72,0,161,330
35118,"York Centre/York-Centre"," 419","Toronto",17,41,8,65,0,131,369
35118,"York Centre/York-Centre"," 420","Toronto",32,77,15,122,2,248,560
35118,"York Centre/York-Centre"," 421","Toronto",Merged with No./Fusionné avec le n°419,,,,,,343
35118,"York Centre/York-Centre"," 422","Toronto",17,78,12,69,0,176,307
35118,"York Centre/York-Centre"," 423","Toronto",9,99,8,47,2,165,285
35118,"York Centre/York-Centre"," 424","Toronto",10,96,7,63,6,182,314
35118,"York Centre/York-Centre"," 425","Toronto",Merged with No./Fusionné avec le n°418,,,,,,208
35118,"York Centre/York-Centre"," 426","Toronto",26,72,15,71,0,184,356
35118,"York Centre/York-Centre"," 427","Toronto",Merged with No./Fusionné avec le n°464,,,,,,241
35118,"York Centre/York-Centre"," 428","Toronto",6,81,9,33,6,135,285
35118,"York Centre/York-Centre"," 429","Toronto",29,70,13,76,2,190,328
35118,"York Centre/York-Centre"," 430","Toronto",Merged with No./Fusionné avec le n°434,,,,,,144
35118,"York Centre/York-Centre"," 431","Toronto",26,67,15,66,2,176,155
35118,"York Centre/York-Centre"," 432","Toronto",21,47,13,76,3,160,252
35118,"York Centre/York-Centre"," 433","Toronto",20,49,4,92,2,167,279
35118,"York Centre/York-Centre"," 434","Toronto",11,52,10,56,1,130,157
35118,"York Centre/York-Centre"," 435","Toronto",14,69,8,80,1,172,257
35118,"York Centre/York-Centre"," 436","Toronto",Merged with No./Fusionné avec le n°428,,,,,,184
35118,"York Centre/York-Centre"," 437","Toronto",Merged with No./Fusionné avec le n°434,,,,,,152
35118,"York Centre/York-Centre"," 438","Toronto",Merged with No./Fusionné avec le n°440,,,,,,213
35118,"York Centre/York-Centre"," 439","Toronto",34,70,14,103,0,221,323
35118,"York Centre/York-Centre"," 440","Toronto",31,55,7,89,0,182,241
35118,"York Centre/York-Centre"," 441","Toronto",Merged with No./Fusionné avec le n°439,,,,,,319
35118,"York Centre/York-Centre"," 442","Toronto",Merged with No./Fusionné avec le n°443,,,,,,98
35118,"York Centre/York-Centre"," 443","Toronto",14,15,0,87,2,118,283
35118,"York Centre/York-Centre"," 444","Toronto",Merged with No./Fusionné avec le n°440,,,,,,178
35118,"York Centre/York-Centre"," 445","Toronto",22,34,6,127,5,194,364
35118,"York Centre/York-Centre"," 446","Toronto",Merged with No./Fusionné avec le n°111,,,,,,189
35118,"York Centre/York-Centre"," 447","Toronto",Merged with No./Fusionné avec le n°443,,,,,,230
35118,"York Centre/York-Centre"," 448","Toronto",61,104,17,178,2,362,571
35118,"York Centre/York-Centre"," 449","Toronto",Void/Supprimé,,,,,,
35118,"York Centre/York-Centre"," 450","Toronto",Merged with No./Fusionné avec le n°44,,,,,,189
35118,"York Centre/York-Centre"," 451","Toronto",48,31,10,139,5,233,438
35118,"York Centre/York-Centre"," 452","Toronto",15,20,9,69,1,114,185
35118,"York Centre/York-Centre"," 453","Toronto",21,18,12,79,2,132,252
35118,"York Centre/York-Centre"," 454","Toronto",18,25,9,85,3,140,229
35118,"York Centre/York-Centre"," 455","Toronto",Merged with No./Fusionné avec le n°75,,,,,,136
35118,"York Centre/York-Centre"," 456","Toronto",11,16,4,56,0,87,150
35118,"York Centre/York-Centre"," 457","Toronto",Merged with No./Fusionné avec le n°84,,,,,,240
35118,"York Centre/York-Centre"," 458","Toronto",Merged with No./Fusionné avec le n°454,,,,,,220
35118,"York Centre/York-Centre"," 459","Toronto",Merged with No./Fusionné avec le n°454,,,,,,207
35118,"York Centre/York-Centre"," 460","Toronto",22,53,12,113,6,206,321
35118,"York Centre/York-Centre"," 461","Toronto",Merged with No./Fusionné avec le n°73,,,,,,156
35118,"York Centre/York-Centre"," 462","Toronto",Merged with No./Fusionné avec le n°114,,,,,,264
35118,"York Centre/York-Centre"," 463","Toronto",20,27,6,61,1,115,199
35118,"York Centre/York-Centre"," 464","Toronto",21,79,14,135,6,255,240
35118,"York Centre/York-Centre"," 500","Toronto",Merged with No./Fusionné avec le n°12,,,,,,43
35118,"York Centre/York-Centre"," 501","Toronto",Merged with No./Fusionné avec le n°2,,,,,,62
35118,"York Centre/York-Centre"," 502","Toronto",Merged with No./Fusionné avec le n°36,,,,,,27
35118,"York Centre/York-Centre"," 503","Toronto",Merged with No./Fusionné avec le n°43,,,,,,55
35118,"York Centre/York-Centre"," 504","Toronto",Merged with No./Fusionné avec le n°111,,,,,,1
35118,"York Centre/York-Centre"," 600","Toronto",77,596,62,425,6,1166,
35118,"York Centre/York-Centre"," 601","Toronto",101,582,94,522,7,1306,
35118,"York Centre/York-Centre"," 602","Toronto",80,627,54,616,7,1384,
35118,"York Centre/York-Centre"," 603","Toronto",119,707,62,718,7,1613,
35118,"York Centre/York-Centre"," 604","Toronto",66,529,40,434,8,1077,
35118,"York Centre/York-Centre"," 605","Toronto",68,814,27,586,10,1505,
35118,"York Centre/York-Centre"," 606","Toronto",102,640,44,566,8,1360,
35118,"York Centre/York-Centre"," 607","Toronto",112,350,75,675,12,1224,
35118,"York Centre/York-Centre"," 608","Toronto",114,322,71,898,24,1429,
35118,"York Centre/York-Centre"," 609","Toronto",83,282,62,549,16,992,
35118,"York Centre/York-Centre"," 610","Toronto",117,335,61,760,26,1299,
35118,"York Centre/York-Centre",,Group 1/Groupe 1, 49,151,18,282,36,536,253
35118,"York Centre/York-Centre",,Group 2/Groupe 2, 210,735,43,1005,76,2069,
