Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pat Kelly,Jena Dianne Kieren,Rory MacLeod,Shahnaz Munir,David Robinson,Catriona Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 1","Calgary",111,45,10,53,0,6,0,225,852
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 2","Calgary",150,41,8,118,2,1,1,321,1018
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 3","Calgary",Merged with No./Fusionné avec le n°8,,,,,,,,258
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 4","Calgary",88,62,20,55,2,2,0,229,766
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 5","Calgary",60,33,6,55,2,1,0,157,499
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 6","Calgary",84,24,18,44,1,2,0,173,520
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 7","Calgary",90,35,10,48,1,1,0,185,684
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 8","Calgary",134,43,18,51,3,2,0,251,518
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 9","Calgary",84,41,8,66,2,1,0,202,598
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 10","Calgary",103,40,6,60,6,5,1,221,700
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 11","Calgary",120,29,14,81,0,3,6,253,813
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 12","Calgary",76,42,10,44,2,1,0,175,592
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 13","Calgary",100,56,20,71,1,4,0,252,923
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 14","Calgary",89,33,7,57,1,2,0,189,653
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 15","Calgary",97,39,6,55,0,5,1,203,445
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 16A","Calgary",73,28,5,37,0,4,0,147,576
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 16B","Mobile poll/Bureau itinérant",59,5,4,11,1,2,2,84,93
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 17","Calgary",120,57,11,72,0,3,1,264,1051
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 18","Calgary",214,79,19,106,2,6,1,427,1239
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 19","Calgary",131,25,7,65,2,4,0,234,391
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 20","Calgary",Merged with No./Fusionné avec le n°19,,,,,,,,335
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 21","Calgary",89,25,8,45,0,1,0,168,505
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 22","Calgary",167,51,15,76,0,3,1,313,900
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 23","Calgary",101,45,13,58,3,4,0,224,619
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 24","Calgary",Merged with No./Fusionné avec le n°27,,,,,,,,340
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 25","Calgary",65,37,11,46,0,2,1,162,423
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 26","Calgary",97,31,13,37,2,2,0,182,442
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 27","Calgary",131,35,8,42,0,4,1,221,422
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 28","Calgary",141,45,12,55,0,6,1,260,389
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 29","Calgary",83,29,13,31,1,1,0,158,434
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 30","Calgary",103,33,10,31,1,4,1,183,570
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 31","Calgary",111,44,10,51,6,3,0,225,577
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 32","Calgary",98,50,11,82,1,7,0,249,388
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 33","Calgary",226,67,10,88,1,4,2,398,1020
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 34","Calgary",93,35,4,50,1,2,0,185,564
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 35","Calgary",Merged with No./Fusionné avec le n°32,,,,,,,,384
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 36","Calgary",68,18,6,56,0,0,1,149,488
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 37","Calgary",71,27,9,29,1,3,0,140,395
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 38","Calgary",66,24,2,19,1,1,0,113,355
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 39","Calgary",113,19,6,44,3,4,0,189,344
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 40","Calgary",Merged with No./Fusionné avec le n°39,,,,,,,,325
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 41","Calgary",78,33,16,48,2,1,3,181,344
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 42","Calgary",69,30,6,45,2,2,1,155,638
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 43","Calgary",76,18,2,36,0,1,1,134,499
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 44","Calgary",76,28,10,20,0,1,0,135,411
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 45","Calgary",84,41,5,45,1,6,0,182,438
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 46","Calgary",148,45,12,53,3,4,3,268,367
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 47","Calgary",Merged with No./Fusionné avec le n°28,,,,,,,,302
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 48","Calgary",85,28,10,34,2,2,0,161,486
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 49","Calgary",Merged with No./Fusionné avec le n°46,,,,,,,,365
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 50","Calgary",100,23,9,43,1,5,0,181,507
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 51","Calgary",66,16,9,38,1,2,0,132,471
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 52","Calgary",88,15,8,52,2,2,0,167,434
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 53","Calgary",90,21,7,34,0,1,1,154,443
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 54","Calgary",137,40,8,98,2,2,0,287,1018
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 55","Calgary",110,35,8,85,1,4,4,247,807
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 56","Calgary",Merged with No./Fusionné avec le n°41,,,,,,,,329
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 57","Calgary",78,22,6,53,0,4,1,164,360
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 58","Calgary",80,30,5,65,1,2,1,184,484
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 59","Calgary",78,30,5,53,1,1,0,168,515
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 60","Calgary",87,42,10,79,0,3,2,223,561
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 61","Calgary",121,39,4,49,0,3,0,216,632
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 62","Calgary",86,39,9,31,0,1,1,167,474
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 63","Calgary",46,16,4,36,1,4,1,108,376
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 64","Calgary",51,32,12,43,1,3,2,144,473
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 65","Calgary",59,18,6,30,0,0,0,113,427
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 66","Calgary",65,19,3,32,1,1,1,122,419
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 67","Calgary",81,24,7,24,0,2,1,139,425
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 68","Calgary",60,20,5,28,0,0,0,113,428
