Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tariq Chaudary,Shawn Gray,Melanie Hoffman,Matt Jeneroux,Jennifer Peace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton Riverbend/Edmonton Riverbend"," 102","Edmonton",47,75,5,57,3,1,188,457
48018,"Edmonton Riverbend/Edmonton Riverbend"," 103","Edmonton",67,78,1,99,24,1,270,682
48018,"Edmonton Riverbend/Edmonton Riverbend"," 104","Edmonton",62,44,2,195,11,6,320,846
48018,"Edmonton Riverbend/Edmonton Riverbend"," 105","Edmonton",59,66,0,103,8,2,238,337
48018,"Edmonton Riverbend/Edmonton Riverbend"," 106","Edmonton",35,58,0,124,6,0,223,561
48018,"Edmonton Riverbend/Edmonton Riverbend"," 107","Edmonton",95,74,0,144,11,0,324,769
48018,"Edmonton Riverbend/Edmonton Riverbend"," 108","Edmonton",65,52,1,88,13,0,219,620
48018,"Edmonton Riverbend/Edmonton Riverbend"," 109A","Edmonton",64,66,1,110,15,0,256,642
48018,"Edmonton Riverbend/Edmonton Riverbend"," 109B","Edmonton",Merged with No./Fusionné avec le n°105,,,,,,,294
48018,"Edmonton Riverbend/Edmonton Riverbend"," 110","Edmonton",56,47,1,50,9,0,163,407
48018,"Edmonton Riverbend/Edmonton Riverbend"," 111","Edmonton",88,107,5,91,17,1,309,478
48018,"Edmonton Riverbend/Edmonton Riverbend"," 112","Edmonton",Merged with No./Fusionné avec le n°111,,,,,,,324
48018,"Edmonton Riverbend/Edmonton Riverbend"," 113","Edmonton",36,47,0,67,4,2,156,350
48018,"Edmonton Riverbend/Edmonton Riverbend"," 114","Edmonton",71,79,2,108,16,3,279,354
48018,"Edmonton Riverbend/Edmonton Riverbend"," 115","Edmonton",Merged with No./Fusionné avec le n°114,,,,,,,346
48018,"Edmonton Riverbend/Edmonton Riverbend"," 116","Edmonton",52,70,1,170,14,4,311,329
48018,"Edmonton Riverbend/Edmonton Riverbend"," 117A","Edmonton",59,62,4,101,14,0,240,733
48018,"Edmonton Riverbend/Edmonton Riverbend"," 117B","Edmonton",Merged with No./Fusionné avec le n°170,,,,,,,293
48018,"Edmonton Riverbend/Edmonton Riverbend"," 118A","Edmonton",Merged with No./Fusionné avec le n°119,,,,,,,243
48018,"Edmonton Riverbend/Edmonton Riverbend"," 118B","Edmonton",Merged with No./Fusionné avec le n°116,,,,,,,189
48018,"Edmonton Riverbend/Edmonton Riverbend"," 119","Edmonton",88,101,2,130,19,1,341,558
48018,"Edmonton Riverbend/Edmonton Riverbend"," 120","Edmonton",Merged with No./Fusionné avec le n°121,,,,,,,387
48018,"Edmonton Riverbend/Edmonton Riverbend"," 121","Edmonton",41,121,7,97,16,6,288,422
