Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gölök Buday,Mauro Francis,Natasha Hale,Jenny Kwan,Karin Litzcke,Cheryl Matthew,Josh Vander Vies,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Vancouver East/Vancouver-Est"," 1","Vancouver",2,25,0,77,5,16,34,1,160,406
59035,"Vancouver East/Vancouver-Est"," 2","Vancouver",1,16,0,23,2,3,31,0,76,411
59035,"Vancouver East/Vancouver-Est"," 3","Vancouver",0,9,0,34,4,9,21,1,78,389
59035,"Vancouver East/Vancouver-Est"," 4","Vancouver",2,7,1,76,9,6,20,2,123,422
59035,"Vancouver East/Vancouver-Est"," 5","Vancouver",1,6,0,30,4,1,9,0,51,347
59035,"Vancouver East/Vancouver-Est"," 6","Vancouver",0,5,1,32,6,3,6,0,53,405
59035,"Vancouver East/Vancouver-Est"," 7","Vancouver",2,5,1,42,4,2,10,0,66,945
59035,"Vancouver East/Vancouver-Est"," 8","Vancouver",1,16,2,90,7,11,38,1,166,692
59035,"Vancouver East/Vancouver-Est"," 9","Vancouver",0,8,1,34,2,9,21,0,75,405
59035,"Vancouver East/Vancouver-Est"," 10","Vancouver",1,5,2,44,4,1,17,3,77,495
59035,"Vancouver East/Vancouver-Est"," 11","Vancouver",1,7,0,29,3,3,13,2,58,392
59035,"Vancouver East/Vancouver-Est"," 12","Vancouver",2,7,0,47,1,3,14,0,74,447
59035,"Vancouver East/Vancouver-Est"," 13","Vancouver",1,5,1,45,5,4,16,4,81,443
59035,"Vancouver East/Vancouver-Est"," 14","Vancouver",3,41,1,86,6,16,71,1,225,680
59035,"Vancouver East/Vancouver-Est"," 15","Vancouver",1,13,0,43,6,4,21,1,89,427
59035,"Vancouver East/Vancouver-Est"," 16","Vancouver",2,18,0,61,6,6,26,0,119,510
59035,"Vancouver East/Vancouver-Est"," 17","Vancouver",2,28,1,41,1,5,31,0,109,457
59035,"Vancouver East/Vancouver-Est"," 18","Vancouver",0,5,1,32,2,6,16,0,62,377
59035,"Vancouver East/Vancouver-Est"," 19","Vancouver",3,14,2,40,5,3,11,0,78,495
