Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Annaliese Bos,Naomi Hunter,Cecilia Melanson,Andrew Scheer,Andrew Yubeta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 1","Dafoe",8,5,5,53,9,1,81,220
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 2","Wynyard",7,2,4,55,7,0,75,264
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 3","Wynyard",8,0,4,83,8,1,104,298
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 4","Wynyard",10,3,8,87,5,1,114,320
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 5","Wynyard",12,1,5,70,6,1,95,369
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 6","Wynyard",20,1,2,83,6,0,112,261
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 7","Elfros",8,4,11,129,11,0,163,247
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 8","Poorman 88",57,2,24,9,0,2,94,181
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 9","Day Star 87",Void/Supprimé,,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 10","Wishart",27,1,11,143,7,2,191,364
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 11","Raymore",26,3,14,111,6,1,161,486
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 12","Raymore",8,0,2,64,2,1,77,239
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 13","Punnichy",64,1,21,66,10,0,162,580
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 14","Muskowekwan 85",53,0,21,6,0,3,83,342
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 15","Gordon 86",47,2,28,6,2,1,86,336
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 16","Kelliher",24,4,20,137,5,3,193,347
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 17","Leross",21,0,8,116,21,0,166,270
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 18","Southey",34,3,8,250,13,5,313,515
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 19","Southey",34,5,13,271,13,3,339,476
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 20","Ituna",6,2,8,102,6,1,125,414
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 21","Ituna",14,0,6,75,11,1,107,303
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 22","Hubbard",9,4,1,70,9,0,93,226
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 23","Cupar",24,1,13,167,13,1,219,340
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 24","Cupar",16,0,4,90,3,0,113,231
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 25","Dysart",16,4,4,131,5,0,160,362
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 26","Lipton",19,2,11,191,10,1,234,424
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 27","Little Black Bear 84--Star Blanket 83",12,0,21,0,0,0,33,173
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 28","Okanese 82--Peepeekisis 81",26,1,30,1,1,0,59,282
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 29","Pasqua Lake",9,7,9,80,0,0,105,214
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 30","Standing Buffalo 78",51,2,23,7,1,0,84,288
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 31","Piapot 75",49,2,37,4,2,0,94,343
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 32","Muscowpetung 80",41,1,10,5,0,0,57,70
