Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,Chantale Giguère,François Jacques-Côté,Philippe-Alexandre Langlois,Richard Lehoux,Sébastien Tanguay,Solange Thibodeau,Andrzej Wisniowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauce/Beauce"," 1","Saint-Isidore",24,0,11,30,130,0,32,3,3,233,382
24007,"Beauce/Beauce"," 2","Saint-Isidore",24,5,9,38,117,1,25,1,1,221,346
24007,"Beauce/Beauce"," 3","Saint-Isidore",19,4,4,41,114,1,22,1,3,209,373
24007,"Beauce/Beauce"," 4","Saint-Isidore",29,2,9,26,149,2,38,3,1,259,462
24007,"Beauce/Beauce"," 5","Saint-Isidore",26,3,14,37,166,2,45,5,4,302,480
24007,"Beauce/Beauce"," 6","Saint-Isidore",17,2,9,27,124,2,54,4,4,243,452
24007,"Beauce/Beauce"," 7","Sainte-Hénédine",23,2,8,15,94,0,18,1,4,165,287
24007,"Beauce/Beauce"," 8","Sainte-Hénédine",35,2,5,15,140,1,30,5,2,235,395
24007,"Beauce/Beauce"," 9","Sainte-Hénédine",36,9,6,16,77,1,27,2,8,182,339
24007,"Beauce/Beauce"," 10","Sainte-Marguerite",21,4,8,15,105,2,27,0,1,183,299
24007,"Beauce/Beauce"," 11","Sainte-Marguerite",34,1,5,20,98,1,23,1,7,190,306
24007,"Beauce/Beauce"," 12","Sainte-Marguerite",35,1,8,14,119,1,21,2,1,202,332
24007,"Beauce/Beauce"," 13","Frampton",35,4,9,23,106,0,32,3,5,217,349
24007,"Beauce/Beauce"," 14","Frampton",35,0,3,24,110,1,44,8,2,227,375
24007,"Beauce/Beauce"," 15","Frampton",38,2,9,15,102,0,36,2,4,208,356
24007,"Beauce/Beauce"," 16","Scott",31,2,4,26,116,0,38,1,3,221,399
24007,"Beauce/Beauce"," 17","Scott",29,3,16,20,111,1,25,2,1,208,379
24007,"Beauce/Beauce"," 18","Scott",14,2,1,13,73,0,19,2,4,128,233
24007,"Beauce/Beauce"," 19","Scott",20,3,12,15,114,2,21,3,1,191,405
24007,"Beauce/Beauce"," 20","Scott",30,2,5,22,150,0,50,2,6,267,482
24007,"Beauce/Beauce"," 21","Saint-Bernard",27,4,10,24,185,1,38,1,4,294,467
24007,"Beauce/Beauce"," 22","Saint-Bernard",37,4,4,14,168,1,18,2,0,248,433
24007,"Beauce/Beauce"," 23","Saint-Bernard",23,1,9,25,158,0,25,5,5,251,429
24007,"Beauce/Beauce"," 24","Saint-Bernard",25,3,9,15,180,0,16,0,2,250,453
24007,"Beauce/Beauce"," 25","Saints-Anges",20,2,6,18,113,0,31,2,3,195,318
24007,"Beauce/Beauce"," 26","Saints-Anges",30,2,7,8,100,1,18,1,1,168,318
24007,"Beauce/Beauce"," 27","Saints-Anges",28,0,5,6,89,0,23,0,1,152,278
24007,"Beauce/Beauce"," 28","Sainte-Marie",25,2,8,17,138,2,33,4,3,232,549
