Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Epp,Dan Gelinas,Greg Hetherington,Liz Vallee,Mark Vercouteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 219","Leamington",34,18,36,20,2,3,113,328
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 220","Leamington",83,22,35,16,3,0,159,446
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 221","Leamington",68,34,51,12,2,1,168,459
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 222","Leamington",75,21,30,23,2,1,152,405
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 223","Leamington",55,20,31,12,1,0,119,301
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 224","Pelee Island",61,13,24,6,4,0,108,165
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 400","Chatham-Kent",36,12,37,2,6,1,94,269
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 401","Chatham-Kent",17,2,20,3,8,0,50,102
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 402","Chatham-Kent",45,8,43,3,1,3,103,151
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 403","Leamington",23,9,19,3,1,0,55,126
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 500","Mobile poll/Bureau itinérant",15,1,25,1,3,0,45,66
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 501","Mobile poll/Bureau itinérant",11,5,12,0,1,2,31,51
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 502","Mobile poll/Bureau itinérant",6,3,9,1,2,2,23,29
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 503","Mobile poll/Bureau itinérant",10,1,10,1,1,1,24,36
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 504","Mobile poll/Bureau itinérant",9,1,13,1,1,2,27,36
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 505","Mobile poll/Bureau itinérant",7,3,9,2,6,3,30,75
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 506","Mobile poll/Bureau itinérant",32,4,35,3,1,0,75,108
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 507","Mobile poll/Bureau itinérant",14,2,7,1,0,1,25,45
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 508","Mobile poll/Bureau itinérant",5,0,11,0,2,2,20,38
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°162,,,,,,,39
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 510","Mobile poll/Bureau itinérant",1,6,29,0,1,0,37,46
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 511","Mobile poll/Bureau itinérant",23,4,9,0,0,0,36,76
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°193,,,,,,,0
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 513","Mobile poll/Bureau itinérant",9,5,9,0,0,0,23,40
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 514","Mobile poll/Bureau itinérant",2,3,1,2,0,0,8,60
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 515","Mobile poll/Bureau itinérant",6,0,9,0,0,0,15,70
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 516","Mobile poll/Bureau itinérant",21,1,10,2,1,0,35,44
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 517","Mobile poll/Bureau itinérant",15,1,33,0,0,0,49,83
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°218,,,,,,,89
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 519","Mobile poll/Bureau itinérant",5,3,6,2,1,1,18,69
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 520","Mobile poll/Bureau itinérant",8,4,13,2,0,0,27,49
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 521","Mobile poll/Bureau itinérant",30,4,40,2,1,0,77,104
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 600","Ridgetown",305,86,204,79,12,2,688,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 601","Ridgetown",422,106,261,102,16,3,910,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 602","Blenheim",403,104,289,145,9,1,951,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 603","Blenheim",382,76,219,143,17,5,842,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 604","Wilsonwood",287,53,182,70,7,1,600,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 605","Chatham",311,89,242,124,11,0,777,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 606","Chatham",115,87,127,73,7,0,409,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 607","Chatham",390,135,364,136,8,7,1040,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 608","Chatham",413,156,397,154,19,12,1151,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 609","Chatham",666,154,684,133,26,12,1675,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 610","Chatham",294,126,341,107,9,10,887,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 611","Chatham",356,114,346,104,10,3,933,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 612","Chatham",402,138,407,129,12,5,1093,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 613","Raleigh",214,62,117,105,6,5,509,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 614","Tilbury",545,164,295,308,17,15,1344,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 615","Lakeshore",499,163,243,234,12,4,1155,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 616","Wheatley",260,42,90,254,7,7,660,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 617","Leamington",310,70,107,332,11,11,841,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 618","Leamington",542,124,269,265,19,8,1227,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 619","Leamington",525,117,246,181,12,16,1097,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 620","Leamington",425,116,234,164,11,8,958,
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington",,Group 1/Groupe 1, 101,74,101,23,3,33,335,140
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington",,Group 2/Groupe 2, 705,231,599,145,16,41,1737,
