Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ziad Aboultaif,Martin Halvorson,Donna Lynn Smith,Charmaine St. Germain,Andre Vachon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48016,"Edmonton Manning/Edmonton Manning"," 79","Edmonton",Merged with No./Fusionné avec le n°84,,,,,,,434
48016,"Edmonton Manning/Edmonton Manning"," 80","Edmonton",100,17,50,63,0,1,231,556
48016,"Edmonton Manning/Edmonton Manning"," 81","Edmonton",61,3,50,57,1,3,175,479
48016,"Edmonton Manning/Edmonton Manning"," 82","Edmonton",64,47,41,13,1,2,168,467
48016,"Edmonton Manning/Edmonton Manning"," 83","Edmonton",70,20,40,65,1,1,197,571
48016,"Edmonton Manning/Edmonton Manning"," 84","Edmonton",96,18,62,83,1,3,263,458
48016,"Edmonton Manning/Edmonton Manning"," 85","Edmonton",64,12,56,54,2,0,188,570
48016,"Edmonton Manning/Edmonton Manning"," 86A","Edmonton",Merged with No./Fusionné avec le n°87,,,,,,,196
48016,"Edmonton Manning/Edmonton Manning"," 86B","Edmonton",Merged with No./Fusionné avec le n°88,,,,,,,181
48016,"Edmonton Manning/Edmonton Manning"," 87","Edmonton",69,8,56,53,1,1,188,425
48016,"Edmonton Manning/Edmonton Manning"," 88","Edmonton",73,10,43,49,0,6,181,452
48016,"Edmonton Manning/Edmonton Manning"," 89","Edmonton",59,10,50,36,1,1,157,632
48016,"Edmonton Manning/Edmonton Manning"," 90","Edmonton",90,14,56,56,1,1,218,534
48016,"Edmonton Manning/Edmonton Manning"," 91","Edmonton",88,16,42,46,0,3,195,517
48016,"Edmonton Manning/Edmonton Manning"," 92","Edmonton",56,8,23,60,1,0,148,466
48016,"Edmonton Manning/Edmonton Manning"," 93","Edmonton",58,13,46,64,1,3,185,496
48016,"Edmonton Manning/Edmonton Manning"," 94","Edmonton",86,4,33,30,0,1,154,516
48016,"Edmonton Manning/Edmonton Manning"," 95","Edmonton",102,14,39,69,1,1,226,583
48016,"Edmonton Manning/Edmonton Manning"," 96","Edmonton",78,9,38,47,0,0,172,497
48016,"Edmonton Manning/Edmonton Manning"," 97","Edmonton",75,15,29,53,1,0,173,477
48016,"Edmonton Manning/Edmonton Manning"," 98","Edmonton",77,10,26,63,0,0,176,532
48016,"Edmonton Manning/Edmonton Manning"," 99","Edmonton",94,15,51,61,0,1,222,570
48016,"Edmonton Manning/Edmonton Manning"," 100A","Edmonton",Merged with No./Fusionné avec le n°104,,,,,,,181
48016,"Edmonton Manning/Edmonton Manning"," 100B","Edmonton",Merged with No./Fusionné avec le n°102,,,,,,,218
48016,"Edmonton Manning/Edmonton Manning"," 101","Edmonton",73,14,46,71,3,4,211,527
48016,"Edmonton Manning/Edmonton Manning"," 102","Edmonton",86,18,40,60,2,8,214,412
48016,"Edmonton Manning/Edmonton Manning"," 103","Edmonton",57,14,28,57,0,2,158,456
48016,"Edmonton Manning/Edmonton Manning"," 104","Edmonton",59,25,43,77,0,1,205,423
48016,"Edmonton Manning/Edmonton Manning"," 105","Edmonton",33,11,32,51,0,1,128,553
48016,"Edmonton Manning/Edmonton Manning"," 106","Edmonton",44,10,30,57,0,0,141,446
48016,"Edmonton Manning/Edmonton Manning"," 107","Edmonton",86,15,41,48,0,4,194,616
48016,"Edmonton Manning/Edmonton Manning"," 108","Edmonton",Merged with No./Fusionné avec le n°117,,,,,,,405
48016,"Edmonton Manning/Edmonton Manning"," 109","Edmonton",85,15,54,66,0,2,222,595
48016,"Edmonton Manning/Edmonton Manning"," 110","Edmonton",68,16,59,79,0,1,223,546
48016,"Edmonton Manning/Edmonton Manning"," 111A","Edmonton",49,13,46,55,0,0,163,544
48016,"Edmonton Manning/Edmonton Manning"," 111B","Edmonton",63,9,38,58,0,0,168,543
48016,"Edmonton Manning/Edmonton Manning"," 112","Edmonton",73,7,41,64,0,0,185,530
48016,"Edmonton Manning/Edmonton Manning"," 113","Edmonton",73,18,49,79,0,1,220,561
48016,"Edmonton Manning/Edmonton Manning"," 114","Edmonton",126,12,51,57,0,0,246,553
48016,"Edmonton Manning/Edmonton Manning"," 115","Edmonton",65,13,20,53,3,2,156,460
48016,"Edmonton Manning/Edmonton Manning"," 116","Edmonton",70,12,38,41,1,2,164,517
48016,"Edmonton Manning/Edmonton Manning"," 117","Edmonton",102,12,55,71,2,3,245,422
48016,"Edmonton Manning/Edmonton Manning"," 118","Edmonton",78,15,69,76,2,2,242,558
48016,"Edmonton Manning/Edmonton Manning"," 119","Edmonton",69,9,59,104,2,2,245,449
48016,"Edmonton Manning/Edmonton Manning"," 120","Edmonton",65,8,48,59,0,1,181,445
48016,"Edmonton Manning/Edmonton Manning"," 121","Edmonton",81,27,58,71,0,2,239,423
48016,"Edmonton Manning/Edmonton Manning"," 122","Edmonton",77,13,34,88,0,2,214,450
48016,"Edmonton Manning/Edmonton Manning"," 123A","Edmonton",Merged with No./Fusionné avec le n°119,,,,,,,196
48016,"Edmonton Manning/Edmonton Manning"," 123B","Edmonton",Merged with No./Fusionné avec le n°121,,,,,,,200
48016,"Edmonton Manning/Edmonton Manning"," 124","Edmonton",57,12,49,55,0,3,176,606
48016,"Edmonton Manning/Edmonton Manning"," 125","Edmonton",100,28,33,65,1,2,229,462
48016,"Edmonton Manning/Edmonton Manning"," 126","Edmonton",89,20,43,72,0,1,225,439
48016,"Edmonton Manning/Edmonton Manning"," 127A","Edmonton",Merged with No./Fusionné avec le n°125,,,,,,,209
48016,"Edmonton Manning/Edmonton Manning"," 127B","Edmonton",Merged with No./Fusionné avec le n°126,,,,,,,207
48016,"Edmonton Manning/Edmonton Manning"," 128","Edmonton",86,16,39,57,0,0,198,497
48016,"Edmonton Manning/Edmonton Manning"," 129","Edmonton",50,15,37,43,0,0,145,464
48016,"Edmonton Manning/Edmonton Manning"," 130A","Edmonton",Merged with No./Fusionné avec le n°136,,,,,,,181
48016,"Edmonton Manning/Edmonton Manning"," 130B","Edmonton",Merged with No./Fusionné avec le n°137,,,,,,,170
48016,"Edmonton Manning/Edmonton Manning"," 131","Edmonton",132,23,68,99,0,3,325,723
48016,"Edmonton Manning/Edmonton Manning"," 132","Edmonton",100,18,50,104,1,5,278,550
48016,"Edmonton Manning/Edmonton Manning"," 133","Edmonton",83,12,28,91,0,5,219,533
48016,"Edmonton Manning/Edmonton Manning"," 134","Edmonton",122,16,36,50,0,1,225,561
48016,"Edmonton Manning/Edmonton Manning"," 135","Edmonton",Merged with No./Fusionné avec le n°138,,,,,,,281
48016,"Edmonton Manning/Edmonton Manning"," 136","Edmonton",78,30,59,86,2,2,257,495
48016,"Edmonton Manning/Edmonton Manning"," 137","Edmonton",84,16,42,66,2,4,214,435
48016,"Edmonton Manning/Edmonton Manning"," 138","Edmonton",38,16,61,75,2,3,195,375
48016,"Edmonton Manning/Edmonton Manning"," 139A","Edmonton",Merged with No./Fusionné avec le n°128,,,,,,,110
48016,"Edmonton Manning/Edmonton Manning"," 139B","Edmonton",Merged with No./Fusionné avec le n°129,,,,,,,105
48016,"Edmonton Manning/Edmonton Manning"," 140","Edmonton",73,18,68,76,0,0,235,320
48016,"Edmonton Manning/Edmonton Manning"," 141","Edmonton",Merged with No./Fusionné avec le n°140,,,,,,,309
48016,"Edmonton Manning/Edmonton Manning"," 142","Edmonton",44,18,40,81,0,0,183,480
48016,"Edmonton Manning/Edmonton Manning"," 143","Edmonton",60,15,24,87,0,2,188,478
48016,"Edmonton Manning/Edmonton Manning"," 144","Edmonton",90,23,45,86,2,0,246,536
48016,"Edmonton Manning/Edmonton Manning"," 145","Edmonton",85,21,42,88,0,3,239,491
48016,"Edmonton Manning/Edmonton Manning"," 146","Edmonton",64,18,32,57,0,0,171,440
48016,"Edmonton Manning/Edmonton Manning"," 147","Edmonton",92,17,51,92,1,8,261,622
48016,"Edmonton Manning/Edmonton Manning"," 148","Edmonton",106,26,65,115,2,3,317,434
48016,"Edmonton Manning/Edmonton Manning"," 149","Edmonton",Merged with No./Fusionné avec le n°148,,,,,,,370
48016,"Edmonton Manning/Edmonton Manning"," 150","Edmonton",82,30,35,55,1,4,207,409
48016,"Edmonton Manning/Edmonton Manning"," 151","Edmonton",62,22,29,57,1,0,171,411
48016,"Edmonton Manning/Edmonton Manning"," 152A","Edmonton",Merged with No./Fusionné avec le n°150,,,,,,,192
48016,"Edmonton Manning/Edmonton Manning"," 152B","Edmonton",Merged with No./Fusionné avec le n°151,,,,,,,189
48016,"Edmonton Manning/Edmonton Manning"," 153","Edmonton",53,6,64,57,0,2,182,450
48016,"Edmonton Manning/Edmonton Manning"," 154","Edmonton",46,8,43,53,1,1,152,481
48016,"Edmonton Manning/Edmonton Manning"," 155","Edmonton",98,12,48,82,0,0,240,479
48016,"Edmonton Manning/Edmonton Manning"," 156","Edmonton",71,16,46,89,1,1,224,510
48016,"Edmonton Manning/Edmonton Manning"," 157A","Edmonton",Merged with No./Fusionné avec le n°153,,,,,,,201
48016,"Edmonton Manning/Edmonton Manning"," 157B","Edmonton",Merged with No./Fusionné avec le n°155,,,,,,,193
48016,"Edmonton Manning/Edmonton Manning"," 158","Edmonton",70,22,25,52,1,0,170,512
48016,"Edmonton Manning/Edmonton Manning"," 159","Edmonton",73,10,49,85,2,0,219,501
48016,"Edmonton Manning/Edmonton Manning"," 160","Edmonton",57,24,17,55,1,0,154,488
48016,"Edmonton Manning/Edmonton Manning"," 161A","Edmonton",Merged with No./Fusionné avec le n°159,,,,,,,197
