Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Barber,Margaret Bennett,Nigel Cheriyan,Matthew Green,Fabian Grenning,Avra Caroline Weinstein,Nathalie Xian Yi Yan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35035,"Hamilton Centre/Hamilton-Centre"," 1","Hamilton",25,41,0,81,27,7,1,2,184,510
35035,"Hamilton Centre/Hamilton-Centre"," 2","Hamilton",32,34,2,121,37,19,1,1,247,490
35035,"Hamilton Centre/Hamilton-Centre"," 3","Hamilton",12,47,1,103,42,3,0,1,209,382
35035,"Hamilton Centre/Hamilton-Centre"," 4","Hamilton",Merged with No./Fusionné avec le n°3,,,,,,,,,364
35035,"Hamilton Centre/Hamilton-Centre"," 5","Hamilton",8,35,1,81,24,1,0,2,152,443
35035,"Hamilton Centre/Hamilton-Centre"," 6A","Hamilton",Merged with No./Fusionné avec le n°12,,,,,,,,,231
35035,"Hamilton Centre/Hamilton-Centre"," 6B","Hamilton",Merged with No./Fusionné avec le n°17,,,,,,,,,280
35035,"Hamilton Centre/Hamilton-Centre"," 7","Hamilton",15,68,0,125,27,2,0,4,241,534
35035,"Hamilton Centre/Hamilton-Centre"," 8","Hamilton",14,51,2,110,45,8,0,0,230,632
35035,"Hamilton Centre/Hamilton-Centre"," 9","Hamilton",25,50,0,138,35,7,2,2,259,628
35035,"Hamilton Centre/Hamilton-Centre"," 10","Hamilton",16,35,1,68,33,6,0,2,161,478
35035,"Hamilton Centre/Hamilton-Centre"," 11","Hamilton",16,63,2,117,48,8,0,3,257,548
35035,"Hamilton Centre/Hamilton-Centre"," 12","Hamilton",15,90,0,133,35,11,1,0,285,416
35035,"Hamilton Centre/Hamilton-Centre"," 13","Hamilton",25,72,1,137,44,7,0,1,287,614
35035,"Hamilton Centre/Hamilton-Centre"," 14","Hamilton",18,68,2,92,36,6,0,1,223,455
35035,"Hamilton Centre/Hamilton-Centre"," 15","Hamilton",10,50,2,99,27,6,0,1,195,429
35035,"Hamilton Centre/Hamilton-Centre"," 16","Hamilton",15,70,1,95,29,4,2,2,218,408
35035,"Hamilton Centre/Hamilton-Centre"," 17","Hamilton",17,97,0,145,56,11,0,2,328,478
35035,"Hamilton Centre/Hamilton-Centre"," 18","Hamilton",10,25,1,79,16,4,0,1,136,383
35035,"Hamilton Centre/Hamilton-Centre"," 19","Hamilton",19,106,2,190,57,10,0,0,384,540
35035,"Hamilton Centre/Hamilton-Centre"," 20","Hamilton",7,45,1,75,23,2,0,0,153,419
35035,"Hamilton Centre/Hamilton-Centre"," 21","Hamilton",20,105,2,211,52,9,3,2,404,567
35035,"Hamilton Centre/Hamilton-Centre"," 22A","Hamilton",Merged with No./Fusionné avec le n°19,,,,,,,,,249
35035,"Hamilton Centre/Hamilton-Centre"," 22B","Hamilton",Merged with No./Fusionné avec le n°21,,,,,,,,,253
35035,"Hamilton Centre/Hamilton-Centre"," 23","Hamilton",7,71,2,111,26,7,0,1,225,536
35035,"Hamilton Centre/Hamilton-Centre"," 24","Hamilton",9,95,1,46,19,1,0,8,179,545
35035,"Hamilton Centre/Hamilton-Centre"," 25","Hamilton",6,77,0,101,31,4,2,0,221,337
35035,"Hamilton Centre/Hamilton-Centre"," 26","Hamilton",18,52,2,98,27,5,1,0,203,599
35035,"Hamilton Centre/Hamilton-Centre"," 27","Hamilton",10,50,0,75,35,8,0,8,186,382
35035,"Hamilton Centre/Hamilton-Centre"," 28","Hamilton",14,28,0,64,36,11,1,0,154,452
35035,"Hamilton Centre/Hamilton-Centre"," 29","Hamilton",15,40,3,91,24,6,0,1,180,583
35035,"Hamilton Centre/Hamilton-Centre"," 30","Hamilton",15,37,2,65,18,5,0,0,142,407
35035,"Hamilton Centre/Hamilton-Centre"," 31","Hamilton",11,35,0,62,23,6,0,1,138,593
35035,"Hamilton Centre/Hamilton-Centre"," 32","Hamilton",8,38,1,71,26,5,0,0,149,376
35035,"Hamilton Centre/Hamilton-Centre"," 33","Hamilton",17,28,0,59,17,1,0,1,123,349
