Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathan Lang,Philip Lawrence,Alison Lester,Kim McArthur-Jackson,Christina Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 1","Trent Hills",8,47,34,18,5,2,114,367
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 2","Trent Hills",5,70,36,21,3,0,135,406
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 3","Trent Hills",13,64,54,32,3,0,166,470
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 4","Trent Hills",4,53,43,21,3,1,125,354
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 5","Trent Hills",8,91,50,16,3,0,168,493
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 6","Campbellford",10,32,48,26,7,1,124,403
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 7","Campbellford",11,48,38,20,6,3,126,416
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 8","Trent Hills",3,98,37,30,3,2,173,506
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 9","Trent Hills",7,59,36,18,6,0,126,346
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 10","Trent Hills",8,38,38,17,0,0,101,318
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 11","Campbellford",7,41,38,36,1,0,123,344
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 12","Campbellford",11,73,48,24,3,1,160,476
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 13","Asphodel-Norwood",7,47,20,33,5,0,112,305
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 14","Asphodel-Norwood",6,73,42,21,1,0,143,333
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 15","Norwood",11,39,28,28,5,1,112,294
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 16","Asphodel-Norwood",20,127,63,68,7,0,285,806
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 17","Norwood",12,82,42,42,5,0,183,513
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 18","Asphodel-Norwood",5,72,44,18,2,0,141,374
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 19","Campbellford",1,29,18,14,0,0,62,246
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 20","Campbellford",10,30,17,16,3,1,77,260
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 21","Campbellford",10,30,19,23,6,2,90,344
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 22","Trent Hills",2,35,31,13,3,0,84,341
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 23","Asphodel-Norwood",4,50,22,16,1,2,95,307
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 24","Hastings",9,58,33,31,2,0,133,424
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 25","Hastings",20,88,62,25,5,2,202,610
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 26","Asphodel-Norwood",12,64,41,15,2,2,136,461
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 27","Trent Hills",4,56,31,24,1,1,117,300
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 28","Trent Hills",5,79,58,27,8,0,177,422
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 29","Trent Hills",8,108,46,29,7,0,198,608
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 30","Trent Hills",8,73,54,32,8,0,175,527
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 31","Trent Hills",15,92,46,28,7,0,188,521
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 32","Trent Hills",11,72,41,30,7,0,161,548
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 33","Otonabee-South Monaghan",15,92,53,19,3,0,182,428
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 34","Otonabee-South Monaghan",15,121,75,44,6,0,261,605
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 35","Otonabee-South Monaghan",5,84,39,26,5,1,160,477
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 36","Otonabee-South Monaghan",17,123,68,28,2,2,240,474
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 37","Asphodel-Norwood",7,75,35,24,6,0,147,329
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 38","Otonabee-South Monaghan",11,98,82,19,8,1,219,443
