Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cynthia Charbonneau-Lavictoire,Denise Dubé,Marc Miller,Soledad Orihuela-Bouchard,Steve Shanahan,Linda Sullivan,Sophie Thiébaut,Hans Armando Vargas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 1A","Montréal",3,2,68,19,23,0,15,0,1,131,401
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 1B","Montréal",2,3,59,16,23,0,17,2,0,122,306
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 2","Montréal",3,2,48,20,11,1,22,0,1,108,363
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 3","Montréal",4,5,88,25,19,0,27,1,0,169,472
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 4","Montréal",5,6,164,41,67,0,33,2,0,318,837
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 5","Montréal",4,3,62,19,9,0,15,0,1,113,398
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 6","Montréal",6,5,78,29,33,0,32,1,0,184,510
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 7","Montréal",5,5,57,19,18,3,38,0,5,150,480
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 8","Montréal",Merged with No./Fusionné avec le n°34,,,,,,,,,,376
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 9","Montréal",3,4,51,12,18,0,56,1,2,147,383
