Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Cotter,Sean Fraser,Chris Frazer,Harvey Henderson,Betsy MacDonald,Al Muir,Katerina Nikas,Ryan Smyth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 1","Morristown",74,61,1,0,12,6,1,0,0,155,231
12002,"Central Nova/Nova-Centre"," 2","Morristown",32,62,0,0,17,1,1,1,2,116,238
12002,"Central Nova/Nova-Centre"," 3","Cape George",47,79,0,0,14,2,0,0,1,143,311
12002,"Central Nova/Nova-Centre"," 4","Arisaig",45,63,1,1,13,0,1,1,0,125,229
12002,"Central Nova/Nova-Centre"," 5","Maryvale",54,106,1,0,39,6,2,3,0,211,451
12002,"Central Nova/Nova-Centre"," 6","North Grant",43,73,2,0,22,6,2,1,2,151,384
12002,"Central Nova/Nova-Centre"," 7","Cloverville",31,44,3,0,14,1,0,1,2,96,241
12002,"Central Nova/Nova-Centre"," 8","Clydesdale",30,64,1,0,23,3,1,0,0,122,288
12002,"Central Nova/Nova-Centre"," 9","Lanark--Antigonish Landing",50,100,1,0,28,8,3,0,1,191,514
12002,"Central Nova/Nova-Centre"," 10","Antigonish",40,70,2,0,79,4,2,0,3,200,445
12002,"Central Nova/Nova-Centre"," 11","Williams Point",34,51,0,0,28,7,3,0,1,124,431
12002,"Central Nova/Nova-Centre"," 12","Antigonish",31,67,3,0,39,5,3,0,1,149,409
12002,"Central Nova/Nova-Centre"," 13","West River",43,56,0,0,26,6,3,2,0,136,352
12002,"Central Nova/Nova-Centre"," 14","Antigonish",45,70,1,1,69,1,3,0,6,196,477
12002,"Central Nova/Nova-Centre"," 15","Antigonish",27,52,0,0,28,3,2,0,0,112,213
12002,"Central Nova/Nova-Centre"," 16","Antigonish",21,44,2,1,30,1,0,1,0,100,275
12002,"Central Nova/Nova-Centre"," 17","Sylvan Valley",14,69,0,0,13,1,0,0,1,98,317
12002,"Central Nova/Nova-Centre"," 18","Antigonish",24,57,2,0,30,1,0,0,0,114,337
12002,"Central Nova/Nova-Centre"," 19","Antigonish",10,61,0,0,19,5,1,0,0,96,227
12002,"Central Nova/Nova-Centre"," 20","Antigonish",23,49,1,0,30,3,3,0,0,109,295
12002,"Central Nova/Nova-Centre"," 21","Antigonish",14,43,0,0,20,2,3,1,0,83,206
12002,"Central Nova/Nova-Centre"," 22","Antigonish, Subd. A",32,53,1,0,24,4,1,1,0,116,255
12002,"Central Nova/Nova-Centre"," 23","Antigonish",116,110,0,0,285,9,15,0,2,537,583
12002,"Central Nova/Nova-Centre"," 24","Antigonish",29,45,3,1,55,2,5,1,0,141,371
12002,"Central Nova/Nova-Centre"," 25","Antigonish",35,67,2,0,36,8,4,0,0,152,353
12002,"Central Nova/Nova-Centre"," 26","Pictou Island",7,14,1,0,1,0,1,0,0,24,26
12002,"Central Nova/Nova-Centre"," 27","West River",27,72,0,0,14,4,0,0,0,117,355
12002,"Central Nova/Nova-Centre"," 28","Lismore",62,122,0,2,22,4,0,0,2,214,387
12002,"Central Nova/Nova-Centre"," 29","Antigonish",20,47,0,0,28,0,2,0,1,98,286
12002,"Central Nova/Nova-Centre"," 30","Post Road",26,78,1,1,41,11,2,2,0,162,409
12002,"Central Nova/Nova-Centre"," 31","James River",26,50,0,0,19,1,0,0,0,96,268
12002,"Central Nova/Nova-Centre"," 32","Lower South River",46,55,0,0,29,9,2,0,0,141,348
12002,"Central Nova/Nova-Centre"," 33","West River",35,62,0,0,14,6,0,0,1,118,325
12002,"Central Nova/Nova-Centre"," 34","Pitchers Farm",44,69,1,0,34,10,1,0,2,161,435
12002,"Central Nova/Nova-Centre"," 35","Caribou Island",25,69,0,0,15,4,2,1,0,116,246
12002,"Central Nova/Nova-Centre"," 36","Central Caribou",37,61,0,3,25,10,1,0,0,137,279
12002,"Central Nova/Nova-Centre"," 37","Cape John",51,70,0,9,12,1,3,0,3,149,309
12002,"Central Nova/Nova-Centre"," 38","Pictou, Subd. A",34,57,1,7,11,5,1,0,0,116,244
12002,"Central Nova/Nova-Centre"," 39","Pictou, Subd. A",26,70,0,2,15,4,1,0,1,119,250
12002,"Central Nova/Nova-Centre"," 40","Toney River",66,112,0,11,24,2,3,1,0,219,400
12002,"Central Nova/Nova-Centre"," 41","Kenzieville",Merged with No./Fusionné avec le n°66,,,,,,,,,,252
12002,"Central Nova/Nova-Centre"," 42","Little Harbour",34,75,0,1,17,5,1,0,1,134,406
12002,"Central Nova/Nova-Centre"," 43","Little Harbour",38,74,0,0,23,4,2,0,1,142,381
12002,"Central Nova/Nova-Centre"," 44","Little Harbour",56,46,0,2,13,6,2,1,1,127,307
12002,"Central Nova/Nova-Centre"," 45","Merigomish",40,65,0,0,15,9,2,0,0,131,250
12002,"Central Nova/Nova-Centre"," 46A","St. Joseph",Merged with No./Fusionné avec le n°47A,,,,,,,,,,112
12002,"Central Nova/Nova-Centre"," 46B","St. Joseph",Merged with No./Fusionné avec le n°47B,,,,,,,,,,157
12002,"Central Nova/Nova-Centre"," 47A","St. Joseph",56,93,1,2,17,13,2,0,1,185,172
12002,"Central Nova/Nova-Centre"," 47B","St. Joseph",67,92,2,1,34,11,3,0,2,212,175
12002,"Central Nova/Nova-Centre"," 48","Fisher's Grant 24",5,48,1,1,48,2,1,0,0,106,172
12002,"Central Nova/Nova-Centre"," 49A","St. Joseph",Merged with No./Fusionné avec le n°47A,,,,,,,,,,93
12002,"Central Nova/Nova-Centre"," 49B","St. Joseph",Merged with No./Fusionné avec le n°47B,,,,,,,,,,100
12002,"Central Nova/Nova-Centre"," 50","Pictou",31,57,0,0,15,4,4,1,1,113,287
12002,"Central Nova/Nova-Centre"," 51","Pictou",31,35,0,1,26,6,3,0,1,103,325
12002,"Central Nova/Nova-Centre"," 52","Pictou",14,48,0,0,15,10,0,0,1,88,285
12002,"Central Nova/Nova-Centre"," 53","Pictou",31,34,1,3,13,4,2,1,0,89,309
12002,"Central Nova/Nova-Centre"," 54","Pictou",19,37,0,1,18,2,1,0,1,79,294
12002,"Central Nova/Nova-Centre"," 55","Pictou",24,52,0,2,14,2,1,0,0,95,236
12002,"Central Nova/Nova-Centre"," 56","Pictou",23,39,1,1,21,1,7,0,0,93,320
12002,"Central Nova/Nova-Centre"," 57","Pictou",21,48,0,2,7,1,3,0,0,82,215
12002,"Central Nova/Nova-Centre"," 58","Pine Tree",64,59,1,2,22,6,0,0,1,155,354
12002,"Central Nova/Nova-Centre"," 59","Pictou Landing",58,97,0,0,24,5,2,2,0,188,347
12002,"Central Nova/Nova-Centre"," 60","River John",46,33,0,5,14,6,4,0,0,108,306
12002,"Central Nova/Nova-Centre"," 61","Welsford",37,48,0,5,15,4,5,0,4,118,314
12002,"Central Nova/Nova-Centre"," 62","Pictou",36,44,0,1,27,4,3,0,1,116,374
12002,"Central Nova/Nova-Centre"," 63","Hillside",42,40,0,3,25,3,2,0,0,115,283
12002,"Central Nova/Nova-Centre"," 64","Trenton",44,65,1,0,28,3,0,0,1,142,379
12002,"Central Nova/Nova-Centre"," 65","Trenton",47,66,1,1,26,5,2,1,3,152,397
12002,"Central Nova/Nova-Centre"," 66","French River",86,69,2,0,17,9,1,0,0,184,264
12002,"Central Nova/Nova-Centre"," 67","Lyons Brook",27,41,0,6,11,5,1,0,1,92,219
12002,"Central Nova/Nova-Centre"," 68","Dufferin",68,55,0,8,22,7,1,0,0,161,371
12002,"Central Nova/Nova-Centre"," 69","Lyons Brook",32,53,0,1,15,5,1,0,0,107,215
12002,"Central Nova/Nova-Centre"," 70","Trenton",23,28,1,1,9,6,0,0,0,68,205
12002,"Central Nova/Nova-Centre"," 71","Linacy",76,58,2,1,22,8,0,0,1,168,331
12002,"Central Nova/Nova-Centre"," 72","Linacy",74,75,0,1,28,8,0,0,0,186,379
12002,"Central Nova/Nova-Centre"," 73","Trenton",63,51,1,4,29,6,2,0,2,158,393
12002,"Central Nova/Nova-Centre"," 74","Trenton",40,51,0,5,31,4,2,0,0,133,341
12002,"Central Nova/Nova-Centre"," 75","Trenton",56,56,0,1,21,5,0,0,4,143,402
12002,"Central Nova/Nova-Centre"," 76","Abercrombie",55,55,0,0,14,9,0,0,0,133,240
12002,"Central Nova/Nova-Centre"," 77","Abercrombie",51,67,1,4,21,2,3,0,0,149,349
12002,"Central Nova/Nova-Centre"," 78","New Glasgow",52,105,2,2,34,6,0,0,0,201,465
12002,"Central Nova/Nova-Centre"," 79","New Glasgow",34,63,0,0,19,2,2,0,1,121,261
12002,"Central Nova/Nova-Centre"," 80","New Glasgow",42,57,0,1,22,5,0,0,1,128,319
12002,"Central Nova/Nova-Centre"," 81","New Glasgow",31,70,0,2,34,8,5,0,0,150,372
12002,"Central Nova/Nova-Centre"," 82","New Glasgow",40,54,1,0,22,9,2,0,4,132,363
12002,"Central Nova/Nova-Centre"," 83","Thorburn",64,49,0,2,14,7,0,1,3,140,408
12002,"Central Nova/Nova-Centre"," 84","New Glasgow",34,82,2,1,30,5,0,1,1,156,392
12002,"Central Nova/Nova-Centre"," 85","New Glasgow",42,111,0,3,14,14,3,0,0,187,448
12002,"Central Nova/Nova-Centre"," 86","New Glasgow",27,98,0,0,20,1,0,0,0,146,345
12002,"Central Nova/Nova-Centre"," 87","New Glasgow",44,99,0,1,15,1,0,0,0,160,424
12002,"Central Nova/Nova-Centre"," 88","New Glasgow",31,60,0,2,22,3,5,0,0,123,341
12002,"Central Nova/Nova-Centre"," 89","New Glasgow",47,85,0,0,32,7,2,0,0,173,470
12002,"Central Nova/Nova-Centre"," 90","New Glasgow",44,94,0,0,35,3,1,0,1,178,500
12002,"Central Nova/Nova-Centre"," 91","New Glasgow",28,65,0,0,24,8,4,0,0,129,410
12002,"Central Nova/Nova-Centre"," 92","New Glasgow",25,37,0,0,14,5,1,1,0,83,338
12002,"Central Nova/Nova-Centre"," 93","New Glasgow",25,40,0,0,21,6,0,0,2,94,294
12002,"Central Nova/Nova-Centre"," 94","East River St. Mary's",14,33,0,0,4,3,2,0,0,56,93
12002,"Central Nova/Nova-Centre"," 95","New Glasgow",33,39,0,0,29,6,1,0,1,109,336
12002,"Central Nova/Nova-Centre"," 96","New Glasgow",22,43,0,1,15,3,1,0,2,87,323
12002,"Central Nova/Nova-Centre"," 97","Thorburn",45,38,0,4,6,2,0,0,2,97,245
12002,"Central Nova/Nova-Centre"," 98","McLellan Mountain",79,53,1,3,15,10,1,0,0,162,421
12002,"Central Nova/Nova-Centre"," 99","New Glasgow",10,42,0,0,26,10,4,0,1,93,313
12002,"Central Nova/Nova-Centre"," 100","New Glasgow",21,59,1,1,25,5,3,0,0,115,402
12002,"Central Nova/Nova-Centre"," 101","New Glasgow",31,37,0,0,21,4,1,0,3,97,389
12002,"Central Nova/Nova-Centre"," 102","Loch Broom",51,67,0,2,36,14,1,1,0,172,449
12002,"Central Nova/Nova-Centre"," 103","Alma",47,44,0,2,3,9,0,2,0,107,213
12002,"Central Nova/Nova-Centre"," 104","Blue Mountain",21,31,1,2,7,4,0,0,0,66,125
12002,"Central Nova/Nova-Centre"," 105","Goshen",Merged with No./Fusionné avec le n°152,,,,,,,,,,261
