Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Grace Adamu,Gord Elliott,Peter Fonseca,Dagmar Sullivan,Tom Takacs,Joseph Westover,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 1","Mississauga",77,4,47,0,9,16,0,153,359
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 2","Mississauga",70,3,63,1,10,16,1,164,386
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 3","Mississauga",56,2,80,2,35,8,0,183,476
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 4","Mississauga",40,0,56,0,8,8,1,113,299
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 5","Mississauga",40,0,83,0,30,11,2,166,414
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 6","Mississauga",77,1,94,0,28,7,0,207,430
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 7","Mississauga",62,1,74,1,14,7,0,159,316
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 8","Mississauga",133,0,88,2,11,8,1,243,425
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 9","Mississauga",70,0,60,0,11,9,1,151,337
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 10","Mississauga",59,2,78,0,18,15,2,174,352
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 11","Mississauga",41,1,46,0,7,7,0,102,319
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 12","Mississauga",93,2,106,1,26,10,0,238,484
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 13","Mississauga",58,0,51,0,20,1,0,130,347
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 14","Mississauga",59,0,62,0,12,14,1,148,360
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 15","Mississauga",44,2,51,0,17,2,0,116,324
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 16","Mississauga",43,4,70,0,23,18,2,160,339
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 17","Mississauga",64,3,75,1,18,13,0,174,538
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 18","Mississauga",77,0,69,1,24,15,0,186,515
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 19","Mississauga",63,0,62,0,14,13,1,153,481
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 20","Mississauga",56,1,50,0,19,10,1,137,376
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 21","Mississauga",33,0,32,1,10,11,0,87,421
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 22","Mississauga",21,1,41,2,11,17,2,95,426
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 23","Mississauga",28,2,57,0,17,6,0,110,391
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 24","Mississauga",10,0,75,0,3,5,0,93,379
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 25","Mississauga",41,37,0,0,11,7,0,96,356
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 26","Mississauga",36,2,74,0,15,14,0,141,559
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 27","Mississauga",51,0,49,0,14,4,0,118,371
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 28","Mississauga",41,1,36,1,12,2,1,94,327
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 29","Mississauga",16,1,71,0,13,6,0,107,470
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 30","Mississauga",44,1,39,0,16,4,0,104,361
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 31","Mississauga",63,1,53,0,20,14,0,151,447
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 32","Mississauga",26,0,37,0,14,22,0,99,387
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 33","Mississauga",32,0,40,0,13,8,0,93,361
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 34","Mississauga",65,1,89,1,10,15,1,182,539
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 35","Mississauga",42,0,61,0,17,9,1,130,402
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 36","Mississauga",49,2,43,0,5,11,0,110,397
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 37","Mississauga",79,2,117,3,18,7,0,226,438
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 38","Mississauga",72,3,65,0,18,11,0,169,537
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 39","Mississauga",55,1,81,1,11,10,2,161,381
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 40","Mississauga",82,0,112,0,9,20,0,223,434
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 41","Mississauga",84,1,83,0,14,9,1,192,424
