Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laurel Collins,Hannah Hodson,Nick Loughton,Nikki Macdonald,John Randal Phipps,Jordan Reichert,Janis Zroback,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59041,"Victoria/Victoria"," 1","Victoria",70,24,14,26,5,0,0,0,139,476
59041,"Victoria/Victoria"," 2","Victoria",86,18,18,38,5,3,1,0,169,512
59041,"Victoria/Victoria"," 3","Victoria",81,21,16,34,9,4,0,0,165,452
59041,"Victoria/Victoria"," 4","Victoria",124,31,17,70,8,1,1,0,252,894
59041,"Victoria/Victoria"," 5","Victoria",55,15,13,29,11,0,3,1,127,496
59041,"Victoria/Victoria"," 6","Saanich",75,28,17,27,3,1,1,0,152,477
59041,"Victoria/Victoria"," 7","Saanich",130,35,37,43,1,1,0,0,247,659
59041,"Victoria/Victoria"," 8","Saanich",106,28,44,59,5,0,3,0,245,547
59041,"Victoria/Victoria"," 9","Saanich",77,33,34,50,11,1,1,2,209,448
59041,"Victoria/Victoria"," 10","Saanich",111,31,23,40,7,2,0,0,214,511
59041,"Victoria/Victoria"," 11","Saanich",34,24,7,28,1,2,0,0,96,295
59041,"Victoria/Victoria"," 12","Victoria",92,15,27,27,7,0,1,1,170,520
59041,"Victoria/Victoria"," 13","Victoria",77,13,16,22,10,0,0,0,138,438
59041,"Victoria/Victoria"," 14","Victoria",83,17,17,22,10,1,1,2,153,482
59041,"Victoria/Victoria"," 15","Victoria",102,24,33,50,1,1,1,2,214,660
59041,"Victoria/Victoria"," 16","Victoria",73,20,23,30,5,0,1,1,153,437
59041,"Victoria/Victoria"," 17","Victoria",81,16,26,28,4,0,0,0,155,548
59041,"Victoria/Victoria"," 18","Victoria",89,12,26,19,7,0,1,0,154,517
59041,"Victoria/Victoria"," 19","Victoria",66,16,18,37,9,0,1,1,148,489
59041,"Victoria/Victoria"," 20","Victoria",42,14,16,23,7,1,1,2,106,353
59041,"Victoria/Victoria"," 21","Victoria",49,7,10,27,1,0,1,0,95,394
59041,"Victoria/Victoria"," 22","Victoria",64,22,16,23,3,0,0,0,128,458
59041,"Victoria/Victoria"," 23","Victoria",60,18,13,7,9,1,1,0,109,542
59041,"Victoria/Victoria"," 24","Victoria",48,11,9,34,7,0,0,0,109,530
59041,"Victoria/Victoria"," 25","Victoria",38,20,11,14,4,1,2,0,90,566
