Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Corrado Brancato,John Brassard,Aleesha Gostkowski,Lisa-Marie Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie--Innisfil/Barrie--Innisfil"," 1","Innisfil",23,93,15,62,1,194,584
35004,"Barrie--Innisfil/Barrie--Innisfil"," 2","Innisfil",10,98,27,47,4,186,573
35004,"Barrie--Innisfil/Barrie--Innisfil"," 3","Innisfil",19,166,39,83,1,308,1016
35004,"Barrie--Innisfil/Barrie--Innisfil"," 4","Innisfil",18,109,30,34,2,193,535
35004,"Barrie--Innisfil/Barrie--Innisfil"," 5","Innisfil",17,113,30,48,0,208,539
35004,"Barrie--Innisfil/Barrie--Innisfil"," 6","Innisfil",12,119,22,56,1,210,516
35004,"Barrie--Innisfil/Barrie--Innisfil"," 7","Innisfil",5,86,26,73,2,192,547
35004,"Barrie--Innisfil/Barrie--Innisfil"," 8","Innisfil",1,109,26,72,3,211,564
35004,"Barrie--Innisfil/Barrie--Innisfil"," 9","Innisfil",3,108,18,69,0,198,525
35004,"Barrie--Innisfil/Barrie--Innisfil"," 10","Barrie",7,115,27,64,0,213,581
35004,"Barrie--Innisfil/Barrie--Innisfil"," 11","Barrie",13,100,30,77,1,221,638
35004,"Barrie--Innisfil/Barrie--Innisfil"," 12","Barrie",8,122,35,60,1,226,592
35004,"Barrie--Innisfil/Barrie--Innisfil"," 13","Barrie",10,108,29,75,1,223,653
35004,"Barrie--Innisfil/Barrie--Innisfil"," 14","Barrie",8,108,34,49,0,199,571
35004,"Barrie--Innisfil/Barrie--Innisfil"," 15","Barrie",7,110,10,56,1,184,532
35004,"Barrie--Innisfil/Barrie--Innisfil"," 16","Barrie",10,72,29,73,2,186,540
35004,"Barrie--Innisfil/Barrie--Innisfil"," 17","Barrie",3,186,13,76,6,284,380
35004,"Barrie--Innisfil/Barrie--Innisfil"," 18","Barrie",17,84,31,40,2,174,651
35004,"Barrie--Innisfil/Barrie--Innisfil"," 19","Barrie",12,95,28,35,1,171,528
35004,"Barrie--Innisfil/Barrie--Innisfil"," 20","Barrie",13,63,17,54,1,148,486
35004,"Barrie--Innisfil/Barrie--Innisfil"," 21","Barrie",6,90,20,33,1,150,463
35004,"Barrie--Innisfil/Barrie--Innisfil"," 22","Barrie",13,120,23,41,1,198,620
35004,"Barrie--Innisfil/Barrie--Innisfil"," 23","Barrie",8,79,30,54,1,172,554
35004,"Barrie--Innisfil/Barrie--Innisfil"," 24","Barrie",13,86,28,48,1,176,564
35004,"Barrie--Innisfil/Barrie--Innisfil"," 25","Barrie",9,83,23,69,1,185,554
35004,"Barrie--Innisfil/Barrie--Innisfil"," 26","Barrie",21,94,48,49,0,212,774
35004,"Barrie--Innisfil/Barrie--Innisfil"," 27","Barrie",12,54,72,61,1,200,584
35004,"Barrie--Innisfil/Barrie--Innisfil"," 28","Barrie",16,79,48,44,2,189,577
35004,"Barrie--Innisfil/Barrie--Innisfil"," 29","Barrie",15,68,60,76,2,221,485
35004,"Barrie--Innisfil/Barrie--Innisfil"," 30","Barrie",10,92,25,54,4,185,524
35004,"Barrie--Innisfil/Barrie--Innisfil"," 31A","Barrie",0,60,12,43,4,119,256
35004,"Barrie--Innisfil/Barrie--Innisfil"," 31B","Barrie",Merged with No./Fusionné avec le n°29,,,,,,100
35004,"Barrie--Innisfil/Barrie--Innisfil"," 32","Barrie",Merged with No./Fusionné avec le n°49,,,,,,445
35004,"Barrie--Innisfil/Barrie--Innisfil"," 33","Barrie",32,123,75,95,1,326,510
35004,"Barrie--Innisfil/Barrie--Innisfil"," 34","Barrie",18,73,42,57,1,191,483
35004,"Barrie--Innisfil/Barrie--Innisfil"," 35","Barrie",Merged with No./Fusionné avec le n°33,,,,,,429
35004,"Barrie--Innisfil/Barrie--Innisfil"," 36","Barrie",13,78,29,41,0,161,441
35004,"Barrie--Innisfil/Barrie--Innisfil"," 37","Barrie",11,72,36,55,2,176,600
35004,"Barrie--Innisfil/Barrie--Innisfil"," 38","Barrie",11,98,28,77,0,214,589
35004,"Barrie--Innisfil/Barrie--Innisfil"," 39","Barrie",12,98,30,55,0,195,551
35004,"Barrie--Innisfil/Barrie--Innisfil"," 40","Barrie",8,101,41,55,2,207,591
35004,"Barrie--Innisfil/Barrie--Innisfil"," 41","Barrie",17,107,34,86,2,246,620
35004,"Barrie--Innisfil/Barrie--Innisfil"," 42","Barrie",13,111,42,64,0,230,589
35004,"Barrie--Innisfil/Barrie--Innisfil"," 43","Barrie",8,88,44,49,0,189,623
35004,"Barrie--Innisfil/Barrie--Innisfil"," 44","Barrie",21,93,35,64,0,213,702
35004,"Barrie--Innisfil/Barrie--Innisfil"," 45","Barrie",14,67,27,56,0,164,545
35004,"Barrie--Innisfil/Barrie--Innisfil"," 46","Barrie",4,63,45,40,0,152,499
35004,"Barrie--Innisfil/Barrie--Innisfil"," 47","Barrie",5,45,32,36,0,118,488
35004,"Barrie--Innisfil/Barrie--Innisfil"," 48","Barrie",13,58,35,18,0,124,543
35004,"Barrie--Innisfil/Barrie--Innisfil"," 49","Barrie",23,130,56,79,0,288,508
35004,"Barrie--Innisfil/Barrie--Innisfil"," 50","Barrie",15,76,50,51,0,192,642
35004,"Barrie--Innisfil/Barrie--Innisfil"," 51","Barrie",12,89,24,79,0,204,571
35004,"Barrie--Innisfil/Barrie--Innisfil"," 52","Barrie",12,85,46,94,7,244,546
35004,"Barrie--Innisfil/Barrie--Innisfil"," 53","Barrie",19,88,52,59,0,218,573
35004,"Barrie--Innisfil/Barrie--Innisfil"," 54","Barrie",18,86,36,39,1,180,511
35004,"Barrie--Innisfil/Barrie--Innisfil"," 55","Barrie",2,58,14,73,3,150,209
35004,"Barrie--Innisfil/Barrie--Innisfil"," 56","Barrie",20,75,38,54,0,187,606
35004,"Barrie--Innisfil/Barrie--Innisfil"," 57","Barrie",19,94,58,84,8,263,715
35004,"Barrie--Innisfil/Barrie--Innisfil"," 58","Barrie",16,106,38,76,0,236,574
35004,"Barrie--Innisfil/Barrie--Innisfil"," 59","Barrie",27,92,40,66,0,225,623
35004,"Barrie--Innisfil/Barrie--Innisfil"," 60","Barrie",11,50,40,46,27,174,591
35004,"Barrie--Innisfil/Barrie--Innisfil"," 61","Barrie",9,70,45,73,3,200,620
35004,"Barrie--Innisfil/Barrie--Innisfil"," 62","Barrie",24,98,45,101,3,271,529
35004,"Barrie--Innisfil/Barrie--Innisfil"," 63","Barrie",9,71,36,58,0,174,499
35004,"Barrie--Innisfil/Barrie--Innisfil"," 64","Barrie",Merged with No./Fusionné avec le n°62,,,,,,369
35004,"Barrie--Innisfil/Barrie--Innisfil"," 65","Barrie",14,90,42,48,4,198,574
35004,"Barrie--Innisfil/Barrie--Innisfil"," 66","Barrie",15,134,31,102,4,286,705
35004,"Barrie--Innisfil/Barrie--Innisfil"," 67","Innisfil",16,67,30,34,4,151,506
35004,"Barrie--Innisfil/Barrie--Innisfil"," 68","Innisfil",11,102,33,47,1,194,515
35004,"Barrie--Innisfil/Barrie--Innisfil"," 69","Innisfil",11,99,42,42,1,195,599
35004,"Barrie--Innisfil/Barrie--Innisfil"," 70","Innisfil",22,53,30,38,0,143,483
35004,"Barrie--Innisfil/Barrie--Innisfil"," 71","Barrie",7,63,41,43,2,156,556
35004,"Barrie--Innisfil/Barrie--Innisfil"," 72","Barrie",12,92,35,67,3,209,638
35004,"Barrie--Innisfil/Barrie--Innisfil"," 73","Barrie",19,57,46,44,2,168,593
35004,"Barrie--Innisfil/Barrie--Innisfil"," 74","Barrie",12,86,36,53,0,187,551
35004,"Barrie--Innisfil/Barrie--Innisfil"," 75","Barrie",19,78,43,47,0,187,601
35004,"Barrie--Innisfil/Barrie--Innisfil"," 76","Barrie",16,64,44,40,2,166,542
35004,"Barrie--Innisfil/Barrie--Innisfil"," 77","Barrie",6,47,31,41,0,125,457
35004,"Barrie--Innisfil/Barrie--Innisfil"," 78","Barrie",10,63,30,39,1,143,520
35004,"Barrie--Innisfil/Barrie--Innisfil"," 79","Barrie",9,63,29,31,1,133,546
35004,"Barrie--Innisfil/Barrie--Innisfil"," 80","Barrie",17,120,48,73,2,260,863
35004,"Barrie--Innisfil/Barrie--Innisfil"," 81","Barrie",13,73,50,79,0,215,575
35004,"Barrie--Innisfil/Barrie--Innisfil"," 82","Barrie",14,70,20,50,2,156,595
35004,"Barrie--Innisfil/Barrie--Innisfil"," 83","Barrie",13,96,41,70,2,222,595
35004,"Barrie--Innisfil/Barrie--Innisfil"," 84","Barrie",13,79,20,48,0,160,442
35004,"Barrie--Innisfil/Barrie--Innisfil"," 85","Barrie",15,74,40,56,1,186,545
35004,"Barrie--Innisfil/Barrie--Innisfil"," 86","Barrie",23,67,45,46,0,181,553
35004,"Barrie--Innisfil/Barrie--Innisfil"," 87","Barrie",18,73,34,52,0,177,635
35004,"Barrie--Innisfil/Barrie--Innisfil"," 88","Barrie",18,92,33,40,0,183,647
35004,"Barrie--Innisfil/Barrie--Innisfil"," 89","Barrie",6,73,20,44,0,143,454
35004,"Barrie--Innisfil/Barrie--Innisfil"," 90","Barrie",6,89,29,35,1,160,486
35004,"Barrie--Innisfil/Barrie--Innisfil"," 91","Barrie",19,95,35,61,0,210,602
35004,"Barrie--Innisfil/Barrie--Innisfil"," 92","Barrie",9,80,30,50,2,171,525
35004,"Barrie--Innisfil/Barrie--Innisfil"," 93","Barrie",22,129,37,112,4,304,814
35004,"Barrie--Innisfil/Barrie--Innisfil"," 94","Innisfil",15,78,32,39,1,165,477
35004,"Barrie--Innisfil/Barrie--Innisfil"," 95","Innisfil",20,118,33,49,1,221,599
35004,"Barrie--Innisfil/Barrie--Innisfil"," 96","Innisfil",32,132,34,35,0,233,568
35004,"Barrie--Innisfil/Barrie--Innisfil"," 97","Innisfil",14,76,33,49,1,173,532
35004,"Barrie--Innisfil/Barrie--Innisfil"," 98","Innisfil",16,88,49,43,0,196,469
35004,"Barrie--Innisfil/Barrie--Innisfil"," 99","Barrie",13,62,27,60,2,164,566
35004,"Barrie--Innisfil/Barrie--Innisfil"," 100","Barrie",5,57,20,61,0,143,526
35004,"Barrie--Innisfil/Barrie--Innisfil"," 101","Barrie",7,82,29,53,0,171,600
35004,"Barrie--Innisfil/Barrie--Innisfil"," 102","Barrie",5,42,38,37,2,124,490
35004,"Barrie--Innisfil/Barrie--Innisfil"," 103","Barrie",14,66,29,40,3,152,525
35004,"Barrie--Innisfil/Barrie--Innisfil"," 104","Barrie",15,62,34,36,0,147,514
35004,"Barrie--Innisfil/Barrie--Innisfil"," 105","Barrie",14,65,30,52,0,161,600
35004,"Barrie--Innisfil/Barrie--Innisfil"," 106","Barrie",10,63,46,27,0,146,517
35004,"Barrie--Innisfil/Barrie--Innisfil"," 107","Barrie",8,48,39,55,1,151,570
35004,"Barrie--Innisfil/Barrie--Innisfil"," 108","Barrie",24,67,47,44,0,182,610
35004,"Barrie--Innisfil/Barrie--Innisfil"," 109","Innisfil",16,96,38,30,2,182,580
35004,"Barrie--Innisfil/Barrie--Innisfil"," 110","Innisfil",14,116,36,48,1,215,607
35004,"Barrie--Innisfil/Barrie--Innisfil"," 111","Innisfil",14,102,27,45,0,188,482
35004,"Barrie--Innisfil/Barrie--Innisfil"," 112","Barrie",29,80,31,38,0,178,451
35004,"Barrie--Innisfil/Barrie--Innisfil"," 113","Innisfil",14,71,35,49,0,169,592
35004,"Barrie--Innisfil/Barrie--Innisfil"," 114","Innisfil",16,86,47,53,1,203,664
35004,"Barrie--Innisfil/Barrie--Innisfil"," 115","Innisfil",23,124,57,60,0,264,604
35004,"Barrie--Innisfil/Barrie--Innisfil"," 116","Innisfil",18,71,22,56,0,167,550
35004,"Barrie--Innisfil/Barrie--Innisfil"," 117","Innisfil",25,60,33,42,0,160,565
35004,"Barrie--Innisfil/Barrie--Innisfil"," 118","Innisfil",14,92,27,54,1,188,586
35004,"Barrie--Innisfil/Barrie--Innisfil"," 119","Innisfil",20,89,47,64,0,220,524
35004,"Barrie--Innisfil/Barrie--Innisfil"," 120","Innisfil",15,142,33,69,1,260,615
35004,"Barrie--Innisfil/Barrie--Innisfil"," 121","Innisfil",18,98,39,84,5,244,794
35004,"Barrie--Innisfil/Barrie--Innisfil"," 122","Innisfil",9,52,23,29,3,116,448
35004,"Barrie--Innisfil/Barrie--Innisfil"," 123","Innisfil",15,74,39,61,0,189,612
35004,"Barrie--Innisfil/Barrie--Innisfil"," 124","Barrie",9,73,36,45,2,165,560
35004,"Barrie--Innisfil/Barrie--Innisfil"," 125","Barrie",22,72,34,36,1,165,562
35004,"Barrie--Innisfil/Barrie--Innisfil"," 126","Barrie",17,76,52,31,0,176,523
35004,"Barrie--Innisfil/Barrie--Innisfil"," 127","Barrie",17,62,47,48,0,174,616
35004,"Barrie--Innisfil/Barrie--Innisfil"," 128","Barrie",13,80,48,51,0,192,640
35004,"Barrie--Innisfil/Barrie--Innisfil"," 129","Barrie",14,75,42,43,1,175,591
35004,"Barrie--Innisfil/Barrie--Innisfil"," 130","Innisfil",6,98,42,51,2,199,569
35004,"Barrie--Innisfil/Barrie--Innisfil"," 131","Innisfil",10,92,25,47,0,174,510
35004,"Barrie--Innisfil/Barrie--Innisfil"," 132","Innisfil",9,68,21,48,0,146,430
35004,"Barrie--Innisfil/Barrie--Innisfil"," 133A","Innisfil",19,119,25,72,0,235,795
35004,"Barrie--Innisfil/Barrie--Innisfil"," 133B","Innisfil",19,145,27,80,4,275,870
35004,"Barrie--Innisfil/Barrie--Innisfil"," 134","Innisfil",Merged with No./Fusionné avec le n°138,,,,,,481
35004,"Barrie--Innisfil/Barrie--Innisfil"," 135","Innisfil",16,73,42,56,1,188,581
35004,"Barrie--Innisfil/Barrie--Innisfil"," 136","Innisfil",21,80,23,42,0,166,582
35004,"Barrie--Innisfil/Barrie--Innisfil"," 137","Innisfil",32,101,38,121,5,297,871
35004,"Barrie--Innisfil/Barrie--Innisfil"," 138","Innisfil",32,167,63,55,1,318,508
35004,"Barrie--Innisfil/Barrie--Innisfil"," 139","Barrie",Merged with No./Fusionné avec le n°140,,,,,,389
35004,"Barrie--Innisfil/Barrie--Innisfil"," 140","Barrie",17,109,51,78,3,258,447
35004,"Barrie--Innisfil/Barrie--Innisfil"," 141","Barrie",18,94,53,79,0,244,600
35004,"Barrie--Innisfil/Barrie--Innisfil"," 142","Barrie",18,66,36,36,0,156,511
35004,"Barrie--Innisfil/Barrie--Innisfil"," 143","Barrie",37,184,71,115,0,407,1095
35004,"Barrie--Innisfil/Barrie--Innisfil"," 144","Innisfil",28,106,36,39,1,210,583
35004,"Barrie--Innisfil/Barrie--Innisfil"," 145","Innisfil",31,151,36,62,1,281,712
35004,"Barrie--Innisfil/Barrie--Innisfil"," 146","Innisfil",12,86,31,33,0,162,607
35004,"Barrie--Innisfil/Barrie--Innisfil"," 147","Innisfil",19,110,21,36,1,187,574
35004,"Barrie--Innisfil/Barrie--Innisfil"," 148","Innisfil",16,84,16,24,1,141,437
35004,"Barrie--Innisfil/Barrie--Innisfil"," 149","Innisfil",26,106,34,78,3,247,958
35004,"Barrie--Innisfil/Barrie--Innisfil"," 150","Innisfil",20,62,9,24,0,115,561
35004,"Barrie--Innisfil/Barrie--Innisfil"," 151","Innisfil",12,94,18,44,2,170,527
35004,"Barrie--Innisfil/Barrie--Innisfil"," 152","Innisfil",17,122,27,42,0,208,608
35004,"Barrie--Innisfil/Barrie--Innisfil"," 153","Innisfil",19,93,33,35,0,180,448
35004,"Barrie--Innisfil/Barrie--Innisfil"," 154","Innisfil",24,156,54,109,2,345,743
35004,"Barrie--Innisfil/Barrie--Innisfil"," 155","Innisfil",14,119,26,90,3,252,535
35004,"Barrie--Innisfil/Barrie--Innisfil"," 156","Innisfil",18,100,24,68,4,214,456
35004,"Barrie--Innisfil/Barrie--Innisfil"," 500","Mobile poll/Bureau itinérant",0,12,5,5,0,22,29
35004,"Barrie--Innisfil/Barrie--Innisfil"," 501","Mobile poll/Bureau itinérant",3,15,6,10,1,35,153
35004,"Barrie--Innisfil/Barrie--Innisfil"," 502","Mobile poll/Bureau itinérant",3,17,4,12,0,36,60
35004,"Barrie--Innisfil/Barrie--Innisfil"," 503","Mobile poll/Bureau itinérant",3,18,5,19,1,46,73
35004,"Barrie--Innisfil/Barrie--Innisfil"," 504","Mobile poll/Bureau itinérant",0,15,9,17,2,43,110
35004,"Barrie--Innisfil/Barrie--Innisfil"," 505","Mobile poll/Bureau itinérant",4,19,3,16,4,46,103
35004,"Barrie--Innisfil/Barrie--Innisfil"," 600","Innisfil",76,624,116,322,11,1149,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 601","Barrie",115,699,109,385,0,1308,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 602","Barrie",94,898,168,518,7,1685,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 603","Barrie",90,537,128,365,10,1130,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 604","Barrie",88,519,141,296,11,1055,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 605","Barrie",87,586,157,324,1,1155,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 606","Barrie",75,499,213,412,2,1201,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 607","Barrie",89,653,189,476,5,1412,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 608","Barrie",139,797,175,417,5,1533,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 609","Barrie",129,610,223,373,1,1336,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 610","Barrie",118,707,216,426,8,1475,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 611","Innisfil",144,704,158,348,5,1359,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 612","Innisfil",108,579,160,238,2,1087,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 613","Innisfil",129,712,158,363,4,1366,
35004,"Barrie--Innisfil/Barrie--Innisfil"," 614","Innisfil",132,766,122,355,4,1379,
35004,"Barrie--Innisfil/Barrie--Innisfil",,Group 1/Groupe 1, 43,233,157,191,65,689,110
35004,"Barrie--Innisfil/Barrie--Innisfil",,Group 2/Groupe 2, 137,1353,409,937,74,2910,
