Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Todd Doherty,Garth Frizzell,Jeremy Gustafson,Leigh Hunsinger-Chang,Audrey McKinnon,Henry Thiessen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 56","Prince George",24,31,5,6,35,1,0,102,438
59004,"Cariboo--Prince George/Cariboo--Prince George"," 57","Prince George",23,32,16,14,46,1,0,132,412
59004,"Cariboo--Prince George/Cariboo--Prince George"," 58","Prince George",41,21,19,7,40,0,0,128,544
59004,"Cariboo--Prince George/Cariboo--Prince George"," 59","Prince George",28,17,13,7,49,0,0,114,464
59004,"Cariboo--Prince George/Cariboo--Prince George"," 60","Prince George",22,12,6,8,26,0,1,75,450
59004,"Cariboo--Prince George/Cariboo--Prince George"," 61","Prince George",39,29,7,4,28,0,0,107,483
59004,"Cariboo--Prince George/Cariboo--Prince George"," 62","Prince George",42,38,8,13,54,0,0,155,432
59004,"Cariboo--Prince George/Cariboo--Prince George"," 63","Prince George",90,38,3,5,39,1,1,177,546
59004,"Cariboo--Prince George/Cariboo--Prince George"," 64","Prince George",70,38,8,18,62,0,1,197,482
59004,"Cariboo--Prince George/Cariboo--Prince George"," 65","Prince George",49,41,5,4,42,0,1,142,480
59004,"Cariboo--Prince George/Cariboo--Prince George"," 66","Prince George",50,27,5,4,27,0,1,114,417
59004,"Cariboo--Prince George/Cariboo--Prince George"," 67","Prince George",68,32,10,5,29,1,3,148,436
59004,"Cariboo--Prince George/Cariboo--Prince George"," 68","Prince George",71,54,10,10,47,0,0,192,545
59004,"Cariboo--Prince George/Cariboo--Prince George"," 69","Prince George",72,38,7,8,41,0,0,166,497
59004,"Cariboo--Prince George/Cariboo--Prince George"," 70","Prince George",80,24,11,13,41,0,1,170,511
59004,"Cariboo--Prince George/Cariboo--Prince George"," 71","Prince George",61,37,10,8,42,0,1,159,391
59004,"Cariboo--Prince George/Cariboo--Prince George"," 72","Prince George",46,13,8,3,36,0,0,106,484
59004,"Cariboo--Prince George/Cariboo--Prince George"," 73","Prince George",39,16,21,10,31,1,0,118,503
59004,"Cariboo--Prince George/Cariboo--Prince George"," 74","Prince George",77,29,12,6,33,0,1,158,401
59004,"Cariboo--Prince George/Cariboo--Prince George"," 75","Prince George",44,18,10,2,26,0,0,100,351
59004,"Cariboo--Prince George/Cariboo--Prince George"," 76","Prince George",81,43,7,10,42,0,1,184,523
59004,"Cariboo--Prince George/Cariboo--Prince George"," 77","Prince George",112,40,10,5,50,3,0,220,578
59004,"Cariboo--Prince George/Cariboo--Prince George"," 78","Prince George",77,33,11,13,51,0,0,185,640
59004,"Cariboo--Prince George/Cariboo--Prince George"," 79","Prince George",89,36,3,4,31,0,0,163,489
59004,"Cariboo--Prince George/Cariboo--Prince George"," 80","Prince George",55,32,5,1,24,0,0,117,399
59004,"Cariboo--Prince George/Cariboo--Prince George"," 81","Prince George",67,33,5,4,23,0,0,132,357
59004,"Cariboo--Prince George/Cariboo--Prince George"," 82","Prince George",93,38,8,8,37,0,0,184,544
59004,"Cariboo--Prince George/Cariboo--Prince George"," 83","Prince George",111,30,11,10,47,1,1,211,545
59004,"Cariboo--Prince George/Cariboo--Prince George"," 84","Prince George",90,14,13,7,34,0,2,160,448
59004,"Cariboo--Prince George/Cariboo--Prince George"," 85","Prince George",74,24,4,6,28,0,0,136,428
59004,"Cariboo--Prince George/Cariboo--Prince George"," 86","Prince George",107,50,6,6,41,0,0,210,671
59004,"Cariboo--Prince George/Cariboo--Prince George"," 87","Prince George",109,38,21,16,25,0,1,210,497
59004,"Cariboo--Prince George/Cariboo--Prince George"," 88","Prince George",119,31,15,8,39,0,0,212,531
59004,"Cariboo--Prince George/Cariboo--Prince George"," 89","Prince George",89,50,18,9,72,1,2,241,584
59004,"Cariboo--Prince George/Cariboo--Prince George"," 90","Prince George",84,49,10,10,60,0,0,213,606
59004,"Cariboo--Prince George/Cariboo--Prince George"," 91","Prince George",67,36,22,9,54,0,1,189,498
59004,"Cariboo--Prince George/Cariboo--Prince George"," 92","Prince George",108,51,13,12,51,1,1,237,665
59004,"Cariboo--Prince George/Cariboo--Prince George"," 93","Prince George",71,25,13,6,32,0,1,148,395
59004,"Cariboo--Prince George/Cariboo--Prince George"," 94","Prince George",58,25,13,7,38,0,0,141,415
59004,"Cariboo--Prince George/Cariboo--Prince George"," 95","Prince George",97,28,6,11,53,1,1,197,516
59004,"Cariboo--Prince George/Cariboo--Prince George"," 96","Nechako",105,23,16,4,22,0,0,170,411
59004,"Cariboo--Prince George/Cariboo--Prince George"," 97","Beaverley",127,17,5,3,31,0,1,184,400
59004,"Cariboo--Prince George/Cariboo--Prince George"," 98","Beaverley",108,35,17,3,22,0,0,185,471
59004,"Cariboo--Prince George/Cariboo--Prince George"," 99","Beaverley",115,31,8,9,29,0,0,192,480
59004,"Cariboo--Prince George/Cariboo--Prince George"," 100","Beaverley",82,11,11,2,6,0,0,112,273
59004,"Cariboo--Prince George/Cariboo--Prince George"," 101","Telachick",97,15,18,2,20,3,2,157,350
59004,"Cariboo--Prince George/Cariboo--Prince George"," 102","Baldy Hughes",75,24,9,4,17,0,0,129,313
59004,"Cariboo--Prince George/Cariboo--Prince George"," 103","Anahim Lake",73,26,14,9,23,0,0,145,464
59004,"Cariboo--Prince George/Cariboo--Prince George"," 104","Nazko",20,11,9,2,10,2,0,54,202
59004,"Cariboo--Prince George/Cariboo--Prince George"," 105","Strathnaver",190,34,44,8,26,2,1,305,619
