Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harrison Andruschak,Kelly Block,Micheal Bohach,Shannon O'Toole,Diane Pastoor,Cherese Reemaul,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 1","Mullingar",0,63,4,12,3,1,2,85,134
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 2","Mayfair",1,87,12,6,4,1,0,111,162
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 3","Pebble Baye",23,40,12,23,3,0,1,102,88
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 4","Muskeg Lake Cree Nation 102",Merged with No./Fusionné avec le n°3,,,,,,,,144
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 5","Parkside",9,89,9,11,7,2,0,127,218
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 6","Leask",18,126,29,23,12,6,2,216,702
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 7","Marcelin",11,62,6,27,10,0,0,116,337
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 8","Speers",5,86,7,7,2,1,1,109,282
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 9","Carlton",0,62,13,13,1,1,0,90,146
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 10","Duck Lake",16,68,12,59,4,1,0,160,512
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 11","Duck Lake",24,37,5,39,0,1,1,107,414
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 12","Hafford",3,67,6,10,1,2,0,89,258
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 13","Hafford",5,62,16,17,2,1,0,103,288
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 14","Blaine Lake",7,68,16,15,2,1,1,110,384
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 15","Blaine Lake",3,75,4,5,3,0,0,90,204
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 16","Beardy's 97 and Okemasis 96",59,13,1,75,0,1,0,149,319
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 17","Maymont",7,144,19,25,8,0,0,203,287
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 18","Laird",20,153,47,28,17,3,0,268,440
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 19","Rosthern",4,26,3,3,2,0,0,38,114
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 20","Waldheim",11,175,41,12,3,1,4,247,382
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 21","Waldheim",4,112,30,23,5,1,0,175,272
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 22","Waldheim",7,151,34,22,4,3,2,223,420
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 23","Radisson",4,106,13,19,7,3,1,153,300
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 24","Radisson",5,115,16,18,6,4,0,164,314
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 25","Rosthern",7,88,18,12,8,1,0,134,393
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 26","Rosthern",8,80,7,26,5,1,0,127,382
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 27","Rosthern",9,58,11,21,1,1,1,102,350
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 28","Rosthern",12,55,18,17,1,2,1,106,336
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 29","Hepburn",4,137,24,8,9,0,0,182,309
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 30","Hepburn",7,203,52,23,12,3,2,302,445
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 31","One Arrow 95-1A",0,3,0,1,0,0,0,4,4
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 32","Sokal",2,35,6,3,0,0,0,46,130
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 33","Wakaw",8,67,7,16,3,3,4,108,345
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 34","Bonne Madone",2,91,3,9,3,1,0,109,241
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 35","Wakaw",7,41,7,13,2,3,0,73,262
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 36","Wakaw",5,41,2,9,1,0,0,58,181
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 37","Lizard Lake",2,50,8,1,3,0,0,64,162
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 38","Struan",0,66,5,13,3,0,0,87,196
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 39","Borden",12,202,29,54,7,5,1,310,450
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 40","Hague",7,147,47,9,17,1,0,228,411
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 41","Hague",5,177,25,22,2,2,0,233,343
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 42","Hague",5,138,24,8,7,2,1,185,306
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 43","Greenfeld",2,53,27,5,6,0,0,93,209
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 44","Dalmeny",9,88,17,13,6,1,0,134,313
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 45","Dalmeny",10,74,16,25,7,2,0,134,394
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 46","Dalmeny",11,93,8,32,4,3,0,151,367
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 47","Dalmeny",6,134,13,25,3,2,0,183,484
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 48","Smuts",6,79,18,22,4,3,0,132,271
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 49","Blumenthal",3,177,62,22,4,0,1,269,544
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 50","Osler",4,143,42,29,5,1,1,225,517
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 51","Osler",7,123,57,8,6,0,0,201,484
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 52","Osler",7,174,40,32,0,0,1,254,388
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 53","Osler",4,91,33,8,2,2,0,140,263
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 54","St. Benedict",3,87,4,4,2,1,0,101,223
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 55","Langham",5,114,17,29,5,0,0,170,323
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 56","Langham",7,118,14,33,8,2,1,183,334
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 57","Langham",14,217,29,36,2,3,2,303,535
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 58","Langham",10,147,22,39,11,5,0,234,412
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 59","Cudworth",2,69,6,3,6,1,0,87,165
