Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Javin Ames-Sinclair,Greg Douglas,Hannah Ann Duerr,Robert Kitchen,Diane Neufeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 1","Sakimay 74",15,0,14,7,0,0,36,135
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 2","Cowessess 73",45,1,72,12,3,1,134,544
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 3","Kahkewistahaw 72",Merged with No./Fusionné avec le n°6,,,,,,,145
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 4","Vibank",21,2,27,218,21,1,290,446
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 5","Summerberry",0,2,1,84,2,0,89,191
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 6","Grenfell",3,4,8,62,6,0,83,230
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 7","Grenfell",3,4,5,81,15,0,108,248
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 8","Grenfell",7,3,11,64,11,0,96,265
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 9","Grenfell",4,2,12,60,5,0,83,298
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 10","Assiniboine 76",36,0,59,3,0,0,98,321
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 11","Odessa",5,6,21,190,15,2,239,360
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 12","Kronau",5,3,34,80,10,0,132,320
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 13","Lajord",1,3,18,99,14,1,136,335
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 14","Riceton--Gray",2,3,17,61,11,1,95,225
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 15","Ochapowace 71",8,0,23,1,0,0,32,146
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 16","Broadview",29,5,61,97,3,0,195,317
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 17","Broadview",26,3,44,88,8,2,171,361
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 18","Sedley",6,2,12,78,11,0,109,322
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 19","Rocanville",10,11,16,178,32,2,249,414
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 20","Rocanville",6,1,22,157,17,1,204,324
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 21","Rocanville",16,4,16,177,22,1,236,352
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 22","Whitewood",14,0,15,117,20,1,167,395
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 23","Whitewood",4,0,21,63,8,3,99,311
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 24","St. Hubert Mission",4,1,20,90,21,1,137,331
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 25","Kendal--Montmartre",14,2,16,102,6,0,140,381
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 26","Candiac--Montmartre",9,1,2,82,7,0,101,381
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 27","Wapella",1,4,10,114,14,0,143,281
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 28","Wapella",0,2,4,112,13,0,131,235
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 29","Francis",8,9,17,104,8,0,146,243
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 30","Glenavon",5,1,13,164,15,0,198,302
