Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cade Desjarlais,Tracy Gray,Tim Krupa,Brian Rogers,Imre Szeman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 1","Lake Country",13,58,19,3,2,0,95,363
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 2","Lake Country",10,61,35,12,5,0,123,455
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 3","Lake Country",24,60,57,15,11,0,167,530
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 4","Lake Country",24,67,39,13,6,0,149,425
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 5","Lake Country",17,74,42,15,6,0,154,565
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 6","Lake Country",18,79,37,15,9,0,158,577
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 7","Lake Country",35,148,40,21,5,0,249,859
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 8","Lake Country",49,106,38,20,12,0,225,636
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 9","Lake Country",48,101,73,18,15,1,256,582
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 10","Oyama",45,92,52,14,18,0,221,489
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 11","Lake Country",30,98,34,16,7,0,185,696
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 12","Lake Country",27,112,53,10,6,1,209,798
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 13","Lake Country",46,76,40,4,3,2,171,666
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 14","Lake Country",38,110,57,22,13,0,240,796
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 15","Lake Country",41,102,34,4,13,0,194,633
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 16","Lake Country",26,55,36,3,6,2,128,422
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 17","Lake Country",29,53,28,3,4,1,118,381
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 18","Woodsdale",Merged with No./Fusionné avec le n°10,,,,,,,97
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 19","Duck Lake 7",30,64,29,11,2,0,136,687
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 20","Lake Country",40,50,37,12,2,1,142,506
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 21","Lake Country",48,81,61,14,9,0,213,669
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 22","Lake Country",35,62,28,12,6,0,143,524
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 23A","Duck Lake 7",29,40,21,10,8,0,108,418
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 23B","Duck Lake 7",19,44,25,9,2,0,99,395
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 24","Duck Lake 7",26,41,42,18,4,1,132,557
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 25","Lake Country",30,69,41,14,3,1,158,493
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 26","Kelowna",23,39,30,5,1,1,99,396
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 27A","Kelowna",31,52,24,5,3,1,116,500
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 27B","Kelowna",24,67,31,6,7,0,135,516
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 28","Kelowna",20,61,41,13,6,0,141,457
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 29","Kelowna",56,149,83,9,12,0,309,751
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 30","Kelowna",45,116,80,6,3,0,250,602
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 31","Kelowna",51,93,44,14,5,0,207,452
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 32","Kelowna",37,63,56,12,6,1,175,427
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 33","Kelowna",51,79,54,6,10,0,200,520
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 34","Kelowna",95,107,78,19,6,0,305,683
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 35","Kelowna",33,105,37,19,8,0,202,628
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 36","Kelowna",38,68,52,18,1,0,177,511
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 37","Kelowna",31,102,69,11,1,1,215,628
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 38","Kelowna",44,87,64,9,8,3,215,491
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 39","Kelowna",43,164,74,3,6,0,290,745
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 40","Kelowna",54,72,73,9,5,0,213,444
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 41","Kelowna",34,51,39,12,7,0,143,455
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 42","Kelowna",34,62,46,9,4,1,156,458
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 43","Kelowna",32,78,59,6,6,0,181,487
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 44","Kelowna",31,80,63,4,6,1,185,532
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 45","Kelowna",29,62,41,14,10,0,156,483
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 46","Kelowna",44,93,79,9,5,1,231,564
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 47","Kelowna",45,68,51,11,16,2,193,534
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 48","Kelowna",50,132,62,18,6,1,269,693
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 49","Kelowna",25,71,48,12,8,2,166,491
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 50","Kelowna",27,84,63,6,7,0,187,491
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 51A","Kelowna",56,41,51,16,9,0,173,430
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 51B","Kelowna",53,48,53,5,7,0,166,436
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 52","Kelowna",183,81,75,7,14,0,360,427
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 53","Kelowna",54,28,22,7,6,0,117,148
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 54","Kelowna",119,58,41,11,11,1,241,382
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 55","Kelowna",27,104,32,6,7,1,177,488
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 56","Kelowna",32,99,61,6,2,0,200,577
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 57","Kelowna",73,136,65,12,7,1,294,667
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 58","Kelowna",19,58,33,9,6,1,126,380
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 59","Ellison",19,77,52,6,3,1,158,470
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 60","Ellison",22,79,24,7,6,0,138,400
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 61","Ellison",20,96,46,9,4,0,175,499
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 62","Ellison",43,121,48,12,8,0,232,637
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 63","Kelowna",33,46,21,7,5,0,112,332
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 64","Kelowna",42,112,68,12,4,0,238,885
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 65","Kelowna",71,86,81,12,12,0,262,602
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 66","Kelowna",45,53,51,9,5,0,163,582
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 67","Kelowna",40,74,41,7,4,2,168,653
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 68","Kelowna",32,103,68,5,4,1,213,497
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 69A","Kelowna",39,52,36,5,6,0,138,444
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 69B","Kelowna",41,57,29,1,8,0,136,458
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 70","Kelowna",34,104,53,11,8,0,210,765
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 71","Kelowna",53,100,70,10,14,1,248,692
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 72","Kelowna",50,53,60,8,7,1,179,564
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 73","Kelowna",52,32,42,8,8,1,143,494
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 74","Kelowna",39,44,36,18,6,1,144,494
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 75","Kelowna",71,73,70,8,12,1,235,737
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 76","Kelowna",46,50,31,9,12,0,148,470
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 77","Kelowna",27,58,48,7,8,0,148,470
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 78","Kelowna",22,56,34,2,3,1,118,462
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 79","Kelowna",52,111,66,7,6,0,242,595
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 80","Kelowna",34,43,52,3,0,0,132,392
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 81","Kelowna",59,58,79,9,12,2,219,574
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 82","Kelowna",53,55,95,15,7,2,227,528
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 83","Kelowna",59,117,97,14,9,0,296,410
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 84","Kelowna",49,91,67,22,9,1,239,601
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 85","Kelowna",43,76,48,8,3,2,180,544
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 86","Kelowna",51,76,54,18,18,0,217,579
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 87","Kelowna",45,45,45,13,9,0,157,501
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 88","Kelowna",45,79,55,13,8,2,202,496
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 89","Kelowna",27,82,41,16,2,1,169,509
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 90","Kelowna",75,53,63,16,11,0,218,558
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 91","Kelowna",46,49,61,15,6,0,177,573
