Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Boykowich,Blake Desjarlais,Kerry Diotte,Mary Joyce,Heather Lau,Thomas Matty,Habiba Mohamud,Morgan Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton Griesbach/Edmonton Griesbach"," 1","Edmonton",1,54,44,1,3,6,22,0,0,131,403
48015,"Edmonton Griesbach/Edmonton Griesbach"," 2","Edmonton",0,50,67,0,2,14,10,0,0,143,448
48015,"Edmonton Griesbach/Edmonton Griesbach"," 3","Edmonton",0,88,90,1,0,8,35,4,2,228,341
48015,"Edmonton Griesbach/Edmonton Griesbach"," 4","Edmonton",1,71,82,0,0,7,19,0,0,180,402
48015,"Edmonton Griesbach/Edmonton Griesbach"," 5","Edmonton",0,53,54,0,0,8,7,0,0,122,371
48015,"Edmonton Griesbach/Edmonton Griesbach"," 6","Edmonton",0,74,83,0,3,20,26,1,3,210,468
48015,"Edmonton Griesbach/Edmonton Griesbach"," 7","Edmonton",1,52,49,0,2,15,27,3,1,150,523
48015,"Edmonton Griesbach/Edmonton Griesbach"," 8","Edmonton",0,85,51,0,4,13,15,0,1,169,510
48015,"Edmonton Griesbach/Edmonton Griesbach"," 9A","Edmonton",0,79,46,0,0,6,28,3,1,163,535
48015,"Edmonton Griesbach/Edmonton Griesbach"," 9B","Edmonton",0,99,84,0,4,2,28,0,0,217,594
48015,"Edmonton Griesbach/Edmonton Griesbach"," 10","Edmonton",0,99,42,0,0,18,12,0,0,171,501
48015,"Edmonton Griesbach/Edmonton Griesbach"," 11","Edmonton",0,87,85,0,3,7,30,1,1,214,574
48015,"Edmonton Griesbach/Edmonton Griesbach"," 12","Edmonton",0,134,88,0,0,7,43,1,2,275,896
48015,"Edmonton Griesbach/Edmonton Griesbach"," 13","Edmonton",1,54,51,0,0,8,36,2,1,153,362
48015,"Edmonton Griesbach/Edmonton Griesbach"," 14","Edmonton",0,62,63,2,1,8,14,0,0,150,399
48015,"Edmonton Griesbach/Edmonton Griesbach"," 15","Edmonton",0,25,35,0,1,0,29,1,0,91,332
48015,"Edmonton Griesbach/Edmonton Griesbach"," 16","Edmonton",0,29,23,0,4,7,37,1,0,101,361
48015,"Edmonton Griesbach/Edmonton Griesbach"," 17","Edmonton",0,42,22,0,2,8,48,1,0,123,434
48015,"Edmonton Griesbach/Edmonton Griesbach"," 18","Edmonton",0,54,46,0,2,3,22,1,1,129,402
48015,"Edmonton Griesbach/Edmonton Griesbach"," 19","Edmonton",0,50,62,1,1,4,11,0,0,129,337
48015,"Edmonton Griesbach/Edmonton Griesbach"," 20","Edmonton",0,20,18,1,2,3,17,1,0,62,332
48015,"Edmonton Griesbach/Edmonton Griesbach"," 21","Edmonton",0,34,43,1,1,4,19,0,0,102,330
48015,"Edmonton Griesbach/Edmonton Griesbach"," 22","Edmonton",0,59,89,0,3,12,30,0,0,193,389
48015,"Edmonton Griesbach/Edmonton Griesbach"," 23","Edmonton",1,88,96,0,1,12,44,3,1,246,504
48015,"Edmonton Griesbach/Edmonton Griesbach"," 24","Edmonton",0,100,115,0,4,13,19,1,1,253,506
48015,"Edmonton Griesbach/Edmonton Griesbach"," 25","Edmonton",0,63,61,0,0,10,31,2,1,168,483
48015,"Edmonton Griesbach/Edmonton Griesbach"," 26A","Edmonton",Merged with No./Fusionné avec le n°29,,,,,,,,,,133
48015,"Edmonton Griesbach/Edmonton Griesbach"," 26B","Edmonton",Merged with No./Fusionné avec le n°6,,,,,,,,,,12
48015,"Edmonton Griesbach/Edmonton Griesbach"," 26C","Edmonton",1,29,115,1,1,3,32,0,0,182,288
48015,"Edmonton Griesbach/Edmonton Griesbach"," 27","Edmonton",0,60,68,0,3,17,14,2,1,165,435
48015,"Edmonton Griesbach/Edmonton Griesbach"," 28","Edmonton",0,85,86,0,0,13,20,2,0,206,496
48015,"Edmonton Griesbach/Edmonton Griesbach"," 29","Edmonton",1,53,72,1,1,14,19,2,2,165,451
48015,"Edmonton Griesbach/Edmonton Griesbach"," 30","Edmonton",0,59,76,0,1,8,20,0,1,165,416
48015,"Edmonton Griesbach/Edmonton Griesbach"," 31","Edmonton",0,95,58,0,2,10,24,0,0,189,441
48015,"Edmonton Griesbach/Edmonton Griesbach"," 32","Edmonton",0,61,100,0,5,3,29,2,0,200,503
48015,"Edmonton Griesbach/Edmonton Griesbach"," 33","Edmonton",0,88,90,1,0,8,35,4,2,228,515
48015,"Edmonton Griesbach/Edmonton Griesbach"," 34","Edmonton",0,41,47,0,1,8,32,1,0,130,367
48015,"Edmonton Griesbach/Edmonton Griesbach"," 35","Edmonton",0,59,45,1,4,8,25,1,0,143,446
48015,"Edmonton Griesbach/Edmonton Griesbach"," 36","Edmonton",1,42,66,2,0,7,28,5,3,154,510
48015,"Edmonton Griesbach/Edmonton Griesbach"," 37","Edmonton",1,61,56,1,5,14,44,0,1,183,353
48015,"Edmonton Griesbach/Edmonton Griesbach"," 38","Edmonton",0,53,61,0,1,8,30,3,0,156,381
48015,"Edmonton Griesbach/Edmonton Griesbach"," 39","Edmonton",0,43,75,0,4,10,32,0,1,165,384
48015,"Edmonton Griesbach/Edmonton Griesbach"," 40","Edmonton",0,50,74,0,2,10,25,1,2,164,450
48015,"Edmonton Griesbach/Edmonton Griesbach"," 41","Edmonton",0,40,59,1,0,17,23,0,0,140,337
48015,"Edmonton Griesbach/Edmonton Griesbach"," 42","Edmonton",0,26,37,0,1,11,11,0,2,88,425
48015,"Edmonton Griesbach/Edmonton Griesbach"," 43","Edmonton",0,32,31,0,1,3,6,0,0,73,468
48015,"Edmonton Griesbach/Edmonton Griesbach"," 44","Edmonton",0,42,38,0,1,8,31,3,0,123,330
48015,"Edmonton Griesbach/Edmonton Griesbach"," 45","Edmonton",0,49,29,0,3,10,14,0,2,107,388
48015,"Edmonton Griesbach/Edmonton Griesbach"," 46","Edmonton",1,35,16,0,0,11,20,0,2,85,466
48015,"Edmonton Griesbach/Edmonton Griesbach"," 47","Edmonton",1,61,78,0,2,5,21,0,4,172,442
48015,"Edmonton Griesbach/Edmonton Griesbach"," 48","Edmonton",1,72,52,0,4,11,36,0,0,176,448
48015,"Edmonton Griesbach/Edmonton Griesbach"," 49","Edmonton",1,68,62,0,3,21,24,2,5,186,499
48015,"Edmonton Griesbach/Edmonton Griesbach"," 50","Edmonton",0,60,69,0,1,9,24,2,3,168,449
48015,"Edmonton Griesbach/Edmonton Griesbach"," 51","Edmonton",5,48,54,0,2,15,22,0,2,148,448
48015,"Edmonton Griesbach/Edmonton Griesbach"," 52","Edmonton",2,65,60,1,3,13,17,2,5,168,441
48015,"Edmonton Griesbach/Edmonton Griesbach"," 53","Edmonton",0,48,43,0,1,5,21,0,2,120,463
48015,"Edmonton Griesbach/Edmonton Griesbach"," 54A","Edmonton",1,45,53,0,0,12,23,2,1,137,379
48015,"Edmonton Griesbach/Edmonton Griesbach"," 54B","Mobile poll/Bureau itinérant",0,6,3,1,1,0,1,0,0,12,35
48015,"Edmonton Griesbach/Edmonton Griesbach"," 55","Edmonton",0,40,60,0,2,15,11,0,0,128,413
48015,"Edmonton Griesbach/Edmonton Griesbach"," 56","Edmonton",0,39,63,0,3,8,19,0,2,134,465
48015,"Edmonton Griesbach/Edmonton Griesbach"," 57","Edmonton",0,86,77,0,6,20,24,1,4,218,519
48015,"Edmonton Griesbach/Edmonton Griesbach"," 58","Edmonton",3,53,42,0,2,4,24,3,2,133,424
48015,"Edmonton Griesbach/Edmonton Griesbach"," 59","Edmonton",0,48,21,2,4,4,15,0,2,96,338
48015,"Edmonton Griesbach/Edmonton Griesbach"," 60","Edmonton",1,37,51,0,0,14,21,1,0,125,372
48015,"Edmonton Griesbach/Edmonton Griesbach"," 61","Edmonton",0,77,63,0,1,7,18,2,0,168,394
48015,"Edmonton Griesbach/Edmonton Griesbach"," 62","Edmonton",0,40,102,0,0,4,24,0,0,170,361
48015,"Edmonton Griesbach/Edmonton Griesbach"," 63","Edmonton",1,54,79,0,0,6,20,0,0,160,355
48015,"Edmonton Griesbach/Edmonton Griesbach"," 64","Edmonton",0,45,48,0,1,7,51,1,3,156,390
48015,"Edmonton Griesbach/Edmonton Griesbach"," 65","Edmonton",0,28,21,0,0,6,14,1,2,72,387
48015,"Edmonton Griesbach/Edmonton Griesbach"," 66","Edmonton",2,80,111,0,4,13,25,3,2,240,476
48015,"Edmonton Griesbach/Edmonton Griesbach"," 67","Edmonton",0,26,21,0,0,5,7,0,0,59,403
48015,"Edmonton Griesbach/Edmonton Griesbach"," 68","Edmonton",0,77,46,0,3,9,16,0,0,151,413
48015,"Edmonton Griesbach/Edmonton Griesbach"," 69","Edmonton",0,38,35,0,1,3,17,0,1,95,339
48015,"Edmonton Griesbach/Edmonton Griesbach"," 70","Edmonton",1,49,41,0,2,16,23,1,0,133,396
48015,"Edmonton Griesbach/Edmonton Griesbach"," 71","Edmonton",0,40,43,0,0,11,16,0,0,110,350
48015,"Edmonton Griesbach/Edmonton Griesbach"," 72","Edmonton",2,31,31,0,1,12,14,0,0,91,370
48015,"Edmonton Griesbach/Edmonton Griesbach"," 73","Edmonton",1,33,47,0,3,9,33,2,0,128,427
