Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Aldag,Tamara Jansen,Rajesh Jayaprakash,Ian Kennedy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 1","Surrey",72,25,22,1,4,124,390
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 2","Surrey",137,38,58,7,11,251,386
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 3","Surrey",84,8,17,1,0,110,366
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 4","Surrey",79,28,17,1,6,131,517
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 5","Surrey",Merged with No./Fusionné avec le n°2,,,,,,328
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 6","Surrey",Merged with No./Fusionné avec le n°11,,,,,,340
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 7","Surrey",121,40,47,1,0,209,524
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 8","Surrey",127,50,48,8,3,236,652
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 9","Surrey",106,35,28,2,3,174,472
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 10","Surrey",139,61,50,5,0,255,706
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 11","Surrey",169,38,54,2,0,263,393
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 12","Surrey",108,57,51,3,1,220,631
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 13","Surrey",50,47,28,18,1,144,479
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 14","Surrey",47,33,14,5,0,99,381
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 15","Surrey",81,72,41,4,3,201,647
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 16","Surrey",133,80,41,10,2,266,757
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 17","Surrey",91,55,44,3,3,196,480
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 18","Langley",35,25,27,4,2,93,375
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 19","Surrey",87,58,45,8,0,198,539
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 20","Surrey",59,50,42,7,0,158,489
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 21","Surrey",90,85,66,8,0,249,732
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 22","Surrey",40,53,36,4,0,133,480
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 23","Langley",56,60,34,5,0,155,435
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 24","Surrey",Merged with No./Fusionné avec le n°28,,,,,,310
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 25","Surrey",72,37,24,4,1,138,455
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 26","Surrey",67,42,48,1,2,160,481
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 27","Surrey",113,48,57,5,1,224,595
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 28","Surrey",112,58,47,6,2,225,340
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 29","Surrey",150,83,59,6,3,301,675
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 30","Surrey",110,83,51,2,2,248,567
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 31","Surrey",132,61,59,14,3,269,609
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 32","Surrey",95,60,46,9,4,214,568
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 33","Surrey",77,58,40,1,1,177,506
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 34A","Surrey",82,43,35,7,1,168,446
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 34B","Surrey",77,33,33,5,1,149,395
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 35","Surrey",80,62,11,8,2,163,593
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 36","Surrey",96,96,39,8,1,240,559
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 37","Langley",56,57,25,15,1,154,445
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 38","Surrey",58,51,35,13,2,159,485
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 39","Surrey",49,36,25,5,0,115,413
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 40","Surrey",72,68,52,7,0,199,670
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 41A","Surrey",60,41,25,11,3,140,441
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 41B","Surrey",48,39,24,8,0,119,413
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 42","Surrey",61,68,39,13,2,183,589
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 43","Langley",48,61,24,14,0,147,476
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 44","Surrey",62,50,21,1,0,134,524
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 45","Surrey",61,48,26,10,1,146,487
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 46A","Surrey",49,46,20,8,3,126,432
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 46B","Surrey",59,46,29,7,0,141,440
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 47","Surrey",98,52,32,11,1,194,534
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 48","Surrey",71,58,36,5,0,170,696
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 49","Surrey",79,57,30,3,1,170,543
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 50","Surrey",69,51,34,2,0,156,419
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 51","Surrey",58,51,24,4,0,137,375
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 52","Surrey",56,64,34,3,2,159,504
