Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Brisbin,Jeff Golka,John Irwin,Damien Kurek,Leah Diane McLeod,Tonya Ratushniak,Dennis Trepanier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 1","Lindbrook",4,7,0,101,13,32,18,0,175,489
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 2","Tofield",2,5,1,141,6,40,21,0,216,498
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 3","Tofield",2,7,0,108,6,19,12,0,154,377
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 4","Tofield",4,0,1,106,19,35,14,0,179,526
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 5","Tofield",2,10,2,105,5,23,14,0,161,434
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 6","Shonts",3,11,0,102,4,11,26,0,157,389
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 7","New Sarepta",1,7,0,188,18,43,38,1,296,525
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 8","New Sarepta",3,2,0,243,10,42,52,0,352,571
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 9","New Sarepta",4,3,1,232,13,28,43,0,324,522
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 10","Tofield",0,5,2,91,13,42,29,2,184,486
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 11","Spilstead",0,2,1,175,13,35,30,3,259,585
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 12","Spilstead",1,5,0,144,16,43,42,0,251,466
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 13","Ellswick",4,11,0,218,13,44,53,1,344,612
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 14","Hay Lakes",1,3,0,91,4,11,22,0,132,193
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 15","Miquelon Beach",3,8,3,158,13,24,21,1,231,374
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 16","Ryley",4,6,1,137,15,41,30,1,235,375
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 17","Ryley",3,9,1,176,7,12,30,3,241,351
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 18","Armena",5,13,1,165,10,31,17,0,242,502
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 19","Round Hill",1,4,0,173,4,32,39,0,253,420
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 20","Holden",1,6,1,112,6,31,18,1,176,308
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 21","Holden",3,8,0,79,10,17,14,1,132,298
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 22","Barlee Junction",3,9,0,96,7,25,18,3,161,486
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 23","Camrose",1,5,0,123,10,36,10,1,186,478
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 24","Camrose",3,5,0,103,13,40,17,0,181,461
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 25","Camrose",0,12,0,107,10,21,20,1,171,403
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 26","Bittern Lake",1,5,1,121,3,9,21,0,161,411
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 27","Camrose",5,7,0,127,13,42,18,1,213,655
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 28","Camrose",2,2,1,92,19,27,17,0,160,517
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 29","Camrose",1,6,0,74,10,42,10,2,145,474
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 30","Camrose",2,8,0,65,11,23,7,1,117,324
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 31","Bittern Lake",2,3,0,68,3,9,10,1,96,261
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 32","Camrose",4,5,0,86,7,26,20,0,148,424
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 33","Camrose",1,2,0,64,6,25,15,0,113,437
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 34","Barlee Junction",1,12,0,106,8,32,20,0,179,474
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 35","Camrose",3,4,1,84,5,47,13,1,158,476
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 36","Camrose",2,4,0,78,14,57,6,2,163,423
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 37","Camrose",3,2,0,75,6,36,12,0,134,385
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 38","Camrose",2,5,0,80,6,28,6,1,128,390
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 39","Camrose",3,2,1,88,14,33,23,1,165,422
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 40","Camrose",2,3,2,98,10,32,15,0,162,402
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 41","Camrose",2,4,1,65,8,30,15,0,125,456
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 42","Camrose",2,5,0,61,10,40,19,0,137,349
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 43","Camrose",3,3,1,91,11,36,11,0,156,402
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 44","Camrose",0,2,0,70,5,36,10,0,123,312
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 45","Camrose",3,9,0,87,10,37,3,1,150,401
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 46","Camrose",1,2,0,114,15,52,8,1,193,485
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 47","Camrose",1,3,0,97,16,42,18,0,177,409
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 48","Camrose",0,4,0,102,13,41,11,0,171,408
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 49","Camrose",3,5,0,71,17,28,13,0,137,374
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 50","Bruce",0,4,0,118,2,13,13,0,150,335
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 51","Camrose",1,5,0,74,8,20,11,0,119,320
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 52","Camrose",5,2,0,73,3,37,20,1,141,390
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 53","Camrose",2,6,0,108,18,38,10,1,183,469
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 54","Camrose",3,1,0,83,6,29,16,0,138,430
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 55A","Camrose",2,3,1,169,24,47,18,0,264,498
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 55B","Camrose",Merged with No./Fusionné avec le n°56,,,,,,,,,220
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 56","Camrose",0,6,0,81,8,21,5,1,122,362
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 57","Camrose",1,7,0,158,11,36,20,0,233,556
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 58","New Norway",2,12,1,187,9,52,31,0,294,533
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 59","Ohaton",2,12,0,183,8,27,19,1,252,486
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 60","Bawlf",0,20,0,133,7,15,25,0,200,362
