Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Bennett,Robin Goldsbury,Rob Morrison,Rana Nelson,Wayne Stetski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kootenay--Columbia/Kootenay--Columbia"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°159,,,,,,,119
59015,"Kootenay--Columbia/Kootenay--Columbia"," 517","Mobile poll/Bureau itinérant",0,4,3,0,2,3,12,30
59015,"Kootenay--Columbia/Kootenay--Columbia"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°21,,,,,,,21
59015,"Kootenay--Columbia/Kootenay--Columbia"," 519","Mobile poll/Bureau itinérant",2,5,8,1,10,0,26,46
59015,"Kootenay--Columbia/Kootenay--Columbia"," 520","Mobile poll/Bureau itinérant",1,11,27,2,7,1,49,85
59015,"Kootenay--Columbia/Kootenay--Columbia"," 521","Mobile poll/Bureau itinérant",0,1,9,1,5,0,16,32
59015,"Kootenay--Columbia/Kootenay--Columbia"," 522","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,38
59015,"Kootenay--Columbia/Kootenay--Columbia"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°211,,,,,,,1
59015,"Kootenay--Columbia/Kootenay--Columbia"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°159,,,,,,,21
59015,"Kootenay--Columbia/Kootenay--Columbia"," 600","Revelstoke",34,119,240,50,470,4,917,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 601","Revelstoke",84,111,293,40,446,1,975,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 602","Golden",52,77,303,23,213,1,669,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 603","Golden",52,98,343,25,362,1,881,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 604","Kaslo",74,37,229,75,318,1,734,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 605","Radium Hot Springs",31,40,221,9,99,2,402,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 606","Fairmont",54,54,354,16,211,1,690,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 607","Invermere",70,100,514,22,289,2,997,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 608","Sparwood",53,21,427,6,68,2,577,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 609","Sparwood",77,46,662,15,138,5,943,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 610","Kimberley",91,97,513,35,434,5,1175,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 611","Kimberley",83,106,580,44,535,2,1350,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 612","Crawford Bay--Riondel",42,27,180,24,147,1,421,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 613","Nelson--Balfour",52,70,185,35,290,4,636,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 614","Nelson",88,93,174,57,647,1,1060,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 615","Nelson",75,86,191,61,579,6,998,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 616","Nelson",70,39,136,39,274,4,562,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 617","Salmo",71,59,182,20,208,2,542,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 618","Creston",88,38,452,19,164,4,765,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 619","Creston",102,124,736,29,380,9,1380,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 620","Creston",125,53,558,20,160,6,922,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 621","Cranbrook--Yahk",51,53,583,22,195,0,904,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 622","Cranbrook",85,106,758,21,354,2,1326,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 623","Cranbrook",79,126,770,28,395,10,1408,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 624","Cranbrook",65,138,865,20,352,6,1446,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 625","Cranbrook--Fort Steele",80,55,694,12,206,6,1053,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 626","Fernie",35,118,382,33,363,6,937,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 627","Baynes Lake--Jaffray",46,24,401,4,89,2,566,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 628","Fernie",42,66,389,22,239,1,759,
59015,"Kootenay--Columbia/Kootenay--Columbia",,Group 1/Groupe 1, 53,74,252,36,346,55,816,150
59015,"Kootenay--Columbia/Kootenay--Columbia",,Group 2/Groupe 2, 147,397,1209,166,1807,43,3769,
