Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Bennett,Robin Goldsbury,Rob Morrison,Rana Nelson,Wayne Stetski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kootenay--Columbia/Kootenay--Columbia"," 83","Kimberley",Merged with No./Fusionné avec le n°87,,,,,,,301
59015,"Kootenay--Columbia/Kootenay--Columbia"," 84","Kimberley",7,14,53,7,78,0,159,441
59015,"Kootenay--Columbia/Kootenay--Columbia"," 85","Kimberley",5,8,49,7,93,0,162,409
59015,"Kootenay--Columbia/Kootenay--Columbia"," 86","Kimberley",4,23,74,8,103,0,212,544
59015,"Kootenay--Columbia/Kootenay--Columbia"," 87","Kimberley",13,39,71,7,124,2,256,357
59015,"Kootenay--Columbia/Kootenay--Columbia"," 88","Kimberley",16,12,43,5,82,1,159,463
59015,"Kootenay--Columbia/Kootenay--Columbia"," 89","Kimberley",4,15,45,6,96,0,166,460
59015,"Kootenay--Columbia/Kootenay--Columbia"," 90","Kimberley",12,6,39,7,58,0,122,511
59015,"Kootenay--Columbia/Kootenay--Columbia"," 91","Kimberley",8,11,47,7,64,0,137,450
59015,"Kootenay--Columbia/Kootenay--Columbia"," 92","Kimberley",6,17,56,4,92,1,176,444
59015,"Kootenay--Columbia/Kootenay--Columbia"," 93","Kimberley",10,14,44,3,52,0,123,451
59015,"Kootenay--Columbia/Kootenay--Columbia"," 94","Kimberley",10,10,55,7,55,0,137,419
59015,"Kootenay--Columbia/Kootenay--Columbia"," 95","Nelson",10,12,45,7,76,1,151,419
59015,"Kootenay--Columbia/Kootenay--Columbia"," 96","Nelson",5,15,22,20,73,0,135,391
59015,"Kootenay--Columbia/Kootenay--Columbia"," 97","Nelson",7,11,16,6,104,1,145,349
59015,"Kootenay--Columbia/Kootenay--Columbia"," 98","Nelson",11,15,23,9,59,1,118,436
59015,"Kootenay--Columbia/Kootenay--Columbia"," 99","Granite--Nelson",16,9,24,18,70,0,137,401
59015,"Kootenay--Columbia/Kootenay--Columbia"," 100","Blewett",20,10,32,7,74,0,143,350
59015,"Kootenay--Columbia/Kootenay--Columbia"," 101","Blewett",13,16,34,18,102,1,184,473
59015,"Kootenay--Columbia/Kootenay--Columbia"," 102","Wasa",12,15,103,9,57,0,196,366
59015,"Kootenay--Columbia/Kootenay--Columbia"," 103","Wasa",15,10,86,1,23,0,135,262
59015,"Kootenay--Columbia/Kootenay--Columbia"," 104","Harrop--Sunshine Bay",5,10,41,7,73,0,136,255
59015,"Kootenay--Columbia/Kootenay--Columbia"," 105","Procter",12,13,47,10,97,0,179,295
59015,"Kootenay--Columbia/Kootenay--Columbia"," 106","Nelson",5,16,23,11,102,1,158,420
59015,"Kootenay--Columbia/Kootenay--Columbia"," 107","Nelson",12,9,12,24,100,1,158,450
59015,"Kootenay--Columbia/Kootenay--Columbia"," 108","Nelson",8,11,16,12,108,1,156,441
