Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andréane Simone Chénier,Craig Gravelle,David Hobbs,Charles Humphrey,Marc G. Serré,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"Nickel Belt/Nickel Belt"," 1","Mattagami 71",28,0,0,2,9,0,39,118
35069,"Nickel Belt/Nickel Belt"," 2","Gogama",14,0,7,10,19,1,51,160
35069,"Nickel Belt/Nickel Belt"," 3","Gogama",10,1,11,16,19,1,58,179
35069,"Nickel Belt/Nickel Belt"," 4","Westree/Shining Tree",5,2,4,23,24,0,58,97
35069,"Nickel Belt/Nickel Belt"," 5","Capreol",43,4,19,48,27,1,142,433
35069,"Nickel Belt/Nickel Belt"," 6","Capreol",57,3,20,30,43,0,153,528
35069,"Nickel Belt/Nickel Belt"," 7","Capreol",34,4,18,35,33,0,124,478
35069,"Nickel Belt/Nickel Belt"," 8","Capreol",58,1,18,53,28,0,158,478
35069,"Nickel Belt/Nickel Belt"," 9","Capreol",37,6,12,40,48,0,143,459
35069,"Nickel Belt/Nickel Belt"," 10","Capreol",56,4,9,47,33,1,150,443
35069,"Nickel Belt/Nickel Belt"," 11","Biscotasing",3,2,4,4,4,0,17,24
35069,"Nickel Belt/Nickel Belt"," 12","River Valley",22,3,27,26,63,0,141,246
35069,"Nickel Belt/Nickel Belt"," 13","Wahnapitei 11",36,4,6,0,17,0,63,117
35069,"Nickel Belt/Nickel Belt"," 14","Cartier",52,3,23,34,48,1,161,310
35069,"Nickel Belt/Nickel Belt"," 15","Wahnapitae",55,4,24,54,54,2,193,523
35069,"Nickel Belt/Nickel Belt"," 16","Wahnapitae",48,1,24,45,40,0,158,480
35069,"Nickel Belt/Nickel Belt"," 17","Wahnapitae",45,6,17,36,39,1,144,456
35069,"Nickel Belt/Nickel Belt"," 18","Wahnapitae",61,3,19,52,33,1,169,518
35069,"Nickel Belt/Nickel Belt"," 19","Wahnapitae",24,10,21,40,21,1,117,373
35069,"Nickel Belt/Nickel Belt"," 20","Skead",50,1,10,84,71,2,218,354
35069,"Nickel Belt/Nickel Belt"," 21","Skead",42,0,13,55,43,0,153,304
35069,"Nickel Belt/Nickel Belt"," 22","Val Caron",57,3,12,51,69,1,193,501
35069,"Nickel Belt/Nickel Belt"," 23","Val Caron",38,1,22,20,32,1,114,323
35069,"Nickel Belt/Nickel Belt"," 24","Val Caron",29,2,15,34,42,1,123,385
35069,"Nickel Belt/Nickel Belt"," 25","Val Caron",29,2,15,29,57,0,132,387
35069,"Nickel Belt/Nickel Belt"," 26","Val Caron",40,1,8,31,34,1,115,340
35069,"Nickel Belt/Nickel Belt"," 27","Val Caron",32,5,13,42,33,2,127,323
35069,"Nickel Belt/Nickel Belt"," 28","Val Caron",61,2,18,36,42,1,160,435
35069,"Nickel Belt/Nickel Belt"," 29","Val Caron",55,3,6,55,39,1,159,441
35069,"Nickel Belt/Nickel Belt"," 30","Val Caron",46,1,16,32,42,2,139,484
35069,"Nickel Belt/Nickel Belt"," 31","Val Caron",45,4,18,56,50,1,174,555
35069,"Nickel Belt/Nickel Belt"," 32","Val Caron",22,1,13,42,37,0,115,367
35069,"Nickel Belt/Nickel Belt"," 33","Val Caron",43,3,13,47,41,3,150,414
35069,"Nickel Belt/Nickel Belt"," 34","Val Caron",42,1,14,46,41,2,146,421
35069,"Nickel Belt/Nickel Belt"," 35","Val Caron",43,1,7,52,54,0,157,484
35069,"Nickel Belt/Nickel Belt"," 36","Val Caron",48,5,23,61,24,0,161,483
35069,"Nickel Belt/Nickel Belt"," 37","Field",41,4,16,39,70,3,173,341
35069,"Nickel Belt/Nickel Belt"," 38","Field",36,3,17,53,83,0,192,331
35069,"Nickel Belt/Nickel Belt"," 39","Hanmer",61,3,38,39,39,0,180,448
35069,"Nickel Belt/Nickel Belt"," 40","Hanmer",78,4,43,104,61,0,290,654
35069,"Nickel Belt/Nickel Belt"," 41","Hanmer",77,4,18,61,36,2,198,474
35069,"Nickel Belt/Nickel Belt"," 42","Hanmer",76,3,16,53,44,2,194,471
35069,"Nickel Belt/Nickel Belt"," 43","Hanmer",23,6,12,27,29,1,98,277
35069,"Nickel Belt/Nickel Belt"," 44","Hanmer",61,2,6,68,61,2,200,504
35069,"Nickel Belt/Nickel Belt"," 45","Hanmer",61,2,9,31,17,0,120,356
35069,"Nickel Belt/Nickel Belt"," 46","Hanmer",50,1,15,30,39,0,135,369
35069,"Nickel Belt/Nickel Belt"," 47","Hanmer",53,2,24,29,46,0,154,427
35069,"Nickel Belt/Nickel Belt"," 48","Hanmer",61,3,27,37,59,3,190,505
35069,"Nickel Belt/Nickel Belt"," 49","Hanmer",78,3,21,48,47,3,200,461
35069,"Nickel Belt/Nickel Belt"," 50","Hanmer",67,1,20,49,63,1,201,464
35069,"Nickel Belt/Nickel Belt"," 51","Hanmer",53,3,15,48,63,1,183,467
35069,"Nickel Belt/Nickel Belt"," 52","Hanmer",49,4,22,46,69,2,192,477
35069,"Nickel Belt/Nickel Belt"," 53","Hagar",53,6,42,76,62,0,239,488
35069,"Nickel Belt/Nickel Belt"," 54","Val Therese",43,1,11,36,42,2,135,350
35069,"Nickel Belt/Nickel Belt"," 55","Val Therese",40,3,16,25,41,1,126,347
35069,"Nickel Belt/Nickel Belt"," 56","Val Therese",62,3,17,30,55,1,168,430
35069,"Nickel Belt/Nickel Belt"," 57","Val Therese",66,0,30,57,45,0,198,458
35069,"Nickel Belt/Nickel Belt"," 58","Val Therese",45,1,11,41,37,1,136,346
35069,"Nickel Belt/Nickel Belt"," 59","Val Therese",83,1,12,42,50,0,188,481
