Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Margaret Andrade,Sean Casey,Doug Currie,Darcie Lanthier,Scott McPhee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11002,"Charlottetown/Charlottetown"," 1","Charlottetown",25,119,101,27,4,1,277,560
11002,"Charlottetown/Charlottetown"," 2","Charlottetown",24,101,98,11,10,1,245,558
11002,"Charlottetown/Charlottetown"," 3","Charlottetown",24,78,56,11,0,0,169,353
11002,"Charlottetown/Charlottetown"," 4","Charlottetown",43,87,75,17,9,10,241,614
11002,"Charlottetown/Charlottetown"," 5","Charlottetown",20,114,80,16,4,2,236,525
11002,"Charlottetown/Charlottetown"," 6","Charlottetown",25,66,47,16,0,2,156,368
11002,"Charlottetown/Charlottetown"," 7","Charlottetown",10,58,47,6,2,0,123,326
11002,"Charlottetown/Charlottetown"," 8","Charlottetown",21,56,35,16,7,4,139,439
11002,"Charlottetown/Charlottetown"," 9","Charlottetown",31,128,63,25,3,2,252,518
11002,"Charlottetown/Charlottetown"," 10","Charlottetown",11,43,49,12,5,2,122,319
11002,"Charlottetown/Charlottetown"," 11","Charlottetown",10,145,113,21,6,3,298,580
11002,"Charlottetown/Charlottetown"," 12","Charlottetown",21,67,52,14,3,1,158,358
11002,"Charlottetown/Charlottetown"," 13","Charlottetown",24,117,78,23,2,3,247,537
11002,"Charlottetown/Charlottetown"," 14","Charlottetown",32,86,38,17,7,3,183,464
11002,"Charlottetown/Charlottetown"," 15A","Charlottetown",17,91,48,30,5,0,191,422
11002,"Charlottetown/Charlottetown"," 15B","Mobile poll/Bureau itinérant",0,3,1,0,0,0,4,4
11002,"Charlottetown/Charlottetown"," 16","Charlottetown",19,127,94,18,4,1,263,489
11002,"Charlottetown/Charlottetown"," 17","Charlottetown",22,75,43,12,0,1,153,331
11002,"Charlottetown/Charlottetown"," 18","Charlottetown",17,32,32,10,4,1,96,277
11002,"Charlottetown/Charlottetown"," 19","Charlottetown",24,86,78,23,2,2,215,383
11002,"Charlottetown/Charlottetown"," 20","Charlottetown",31,115,87,25,9,1,268,576
11002,"Charlottetown/Charlottetown"," 21","Charlottetown",19,109,103,17,2,2,252,568
11002,"Charlottetown/Charlottetown"," 22","Charlottetown",9,92,36,28,4,0,169,350
11002,"Charlottetown/Charlottetown"," 23","Charlottetown",19,115,57,33,2,0,226,385
11002,"Charlottetown/Charlottetown"," 24A","Charlottetown",13,38,33,8,2,2,96,235
11002,"Charlottetown/Charlottetown"," 24B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°24A,,,,,,,23
11002,"Charlottetown/Charlottetown"," 25","Charlottetown",34,87,53,20,4,1,199,573
