Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gene Balfour,Alison Davidson,Judi Forbes,Angel Godsoe,Zac Miller,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 73","Kawartha Lakes",0,6,34,3,23,67,1,134,393
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 74","Kawartha Lakes",0,7,29,6,20,68,2,132,401
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 75","Kawartha Lakes",2,7,52,4,28,88,4,185,504
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 76","Kawartha Lakes",0,5,43,0,9,39,1,97,556
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 77","Kawartha Lakes",1,2,48,2,12,53,0,118,457
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 78","Kawartha Lakes",2,19,51,5,24,70,1,172,535
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 79","Kawartha Lakes",0,8,37,4,23,71,0,143,464
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 80","Kawartha Lakes",0,8,14,0,16,66,1,105,426
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 81","Kawartha Lakes",1,2,27,3,11,38,0,82,414
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 82","Kawartha Lakes",1,16,24,7,20,86,1,155,442
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 83","Kawartha Lakes",2,13,44,3,26,146,0,234,393
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 84","Kawartha Lakes",4,30,40,6,34,151,2,267,480
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 85","Kawartha Lakes",3,12,41,9,19,129,0,213,525
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 86","Kawartha Lakes",1,14,14,3,26,113,0,171,443
