Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Tim Flemming,Andre Gagnon,Yvonne Kelly,Harold Kim,Tony Van Bynen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Newmarket--Aurora/Newmarket--Aurora"," 1","East Gwillimbury",2,14,12,43,127,139,1,338,369
35065,"Newmarket--Aurora/Newmarket--Aurora"," 2","Newmarket",3,8,21,62,114,133,2,343,381
35065,"Newmarket--Aurora/Newmarket--Aurora"," 3","Newmarket",Merged with No./Fusionné avec le n°2,,,,,,,,369
35065,"Newmarket--Aurora/Newmarket--Aurora"," 4","Newmarket",1,6,14,34,77,60,1,193,482
35065,"Newmarket--Aurora/Newmarket--Aurora"," 5","Newmarket",0,4,6,30,113,119,0,272,532
35065,"Newmarket--Aurora/Newmarket--Aurora"," 6","Newmarket",Merged with No./Fusionné avec le n°8,,,,,,,,396
35065,"Newmarket--Aurora/Newmarket--Aurora"," 7","Newmarket",2,5,13,33,68,62,0,183,494
35065,"Newmarket--Aurora/Newmarket--Aurora"," 8","Newmarket",3,4,11,31,106,112,4,271,404
35065,"Newmarket--Aurora/Newmarket--Aurora"," 9","Newmarket",1,8,5,34,67,95,1,211,510
35065,"Newmarket--Aurora/Newmarket--Aurora"," 10","Newmarket",0,1,6,30,47,36,0,120,411
35065,"Newmarket--Aurora/Newmarket--Aurora"," 11","Newmarket",Merged with No./Fusionné avec le n°116,,,,,,,,467
35065,"Newmarket--Aurora/Newmarket--Aurora"," 12","Newmarket",1,4,3,35,82,89,1,215,544
35065,"Newmarket--Aurora/Newmarket--Aurora"," 13","Newmarket",Merged with No./Fusionné avec le n°56,,,,,,,,472
35065,"Newmarket--Aurora/Newmarket--Aurora"," 14","Newmarket",5,8,12,47,103,147,2,324,395
35065,"Newmarket--Aurora/Newmarket--Aurora"," 15","Newmarket",Merged with No./Fusionné avec le n°14,,,,,,,,372
35065,"Newmarket--Aurora/Newmarket--Aurora"," 16","Newmarket",1,5,17,22,51,54,1,151,416
35065,"Newmarket--Aurora/Newmarket--Aurora"," 17","Newmarket",1,6,11,20,61,52,1,152,426
35065,"Newmarket--Aurora/Newmarket--Aurora"," 18","Newmarket",3,7,16,27,53,72,0,178,510
35065,"Newmarket--Aurora/Newmarket--Aurora"," 19","Newmarket",1,1,11,33,63,46,0,155,436
35065,"Newmarket--Aurora/Newmarket--Aurora"," 20","Newmarket",1,2,10,17,72,52,1,155,425
35065,"Newmarket--Aurora/Newmarket--Aurora"," 21","Newmarket",Merged with No./Fusionné avec le n°1,,,,,,,,370
35065,"Newmarket--Aurora/Newmarket--Aurora"," 22","Newmarket",1,3,14,28,45,42,0,133,448
35065,"Newmarket--Aurora/Newmarket--Aurora"," 23","Newmarket",0,2,10,28,54,67,1,162,454
35065,"Newmarket--Aurora/Newmarket--Aurora"," 24","Newmarket",0,4,11,25,68,74,2,184,460
35065,"Newmarket--Aurora/Newmarket--Aurora"," 25","Newmarket",0,3,7,27,44,48,0,129,389
35065,"Newmarket--Aurora/Newmarket--Aurora"," 26","Newmarket",2,4,13,25,57,77,0,178,455
35065,"Newmarket--Aurora/Newmarket--Aurora"," 27","Newmarket",Merged with No./Fusionné avec le n°28,,,,,,,,317
35065,"Newmarket--Aurora/Newmarket--Aurora"," 28","Newmarket",7,13,16,64,119,101,2,322,376
35065,"Newmarket--Aurora/Newmarket--Aurora"," 29","East Gwillimbury",1,1,9,19,51,72,0,153,470
35065,"Newmarket--Aurora/Newmarket--Aurora"," 30","Newmarket",1,5,8,29,56,88,0,187,561
35065,"Newmarket--Aurora/Newmarket--Aurora"," 31","Newmarket",0,3,11,25,71,48,0,158,492
35065,"Newmarket--Aurora/Newmarket--Aurora"," 32","East Gwillimbury",1,4,9,22,87,90,1,214,613
35065,"Newmarket--Aurora/Newmarket--Aurora"," 33","East Gwillimbury",0,1,5,16,52,55,3,132,460
35065,"Newmarket--Aurora/Newmarket--Aurora"," 34","Newmarket",0,6,10,29,69,78,0,192,577
35065,"Newmarket--Aurora/Newmarket--Aurora"," 35","Newmarket",1,6,9,25,55,61,3,160,435
35065,"Newmarket--Aurora/Newmarket--Aurora"," 36","Newmarket",3,1,6,22,50,57,2,141,428
35065,"Newmarket--Aurora/Newmarket--Aurora"," 37","Newmarket",0,3,15,18,63,74,0,173,500
35065,"Newmarket--Aurora/Newmarket--Aurora"," 38","Newmarket",0,1,8,22,59,60,0,150,490
35065,"Newmarket--Aurora/Newmarket--Aurora"," 39","Newmarket",1,7,7,14,74,64,0,167,366
35065,"Newmarket--Aurora/Newmarket--Aurora"," 40","Newmarket",2,1,12,15,30,63,0,123,184
35065,"Newmarket--Aurora/Newmarket--Aurora"," 41","Newmarket",2,6,14,25,54,59,2,162,398
35065,"Newmarket--Aurora/Newmarket--Aurora"," 42","Newmarket",0,3,10,33,59,90,5,200,545
35065,"Newmarket--Aurora/Newmarket--Aurora"," 43","Newmarket",3,1,16,35,42,59,1,157,416
35065,"Newmarket--Aurora/Newmarket--Aurora"," 44A","Newmarket",Merged with No./Fusionné avec le n°40,,,,,,,,181
35065,"Newmarket--Aurora/Newmarket--Aurora"," 44B","Newmarket",0,3,3,12,21,24,0,63,147
35065,"Newmarket--Aurora/Newmarket--Aurora"," 45","Newmarket",0,3,15,33,48,48,1,148,436
35065,"Newmarket--Aurora/Newmarket--Aurora"," 46","Newmarket",2,7,17,58,70,78,4,236,397
35065,"Newmarket--Aurora/Newmarket--Aurora"," 47","Newmarket",Merged with No./Fusionné avec le n°48,,,,,,,,354
35065,"Newmarket--Aurora/Newmarket--Aurora"," 48","Newmarket",1,2,15,43,64,69,2,196,368
35065,"Newmarket--Aurora/Newmarket--Aurora"," 49","Newmarket",Merged with No./Fusionné avec le n°46,,,,,,,,375
35065,"Newmarket--Aurora/Newmarket--Aurora"," 50","Newmarket",0,6,5,32,58,70,0,171,521
35065,"Newmarket--Aurora/Newmarket--Aurora"," 51","Newmarket",0,4,9,17,59,53,0,142,456
35065,"Newmarket--Aurora/Newmarket--Aurora"," 52","Newmarket",1,6,6,19,56,65,1,154,482
35065,"Newmarket--Aurora/Newmarket--Aurora"," 53","Newmarket",0,4,7,22,84,78,0,195,521
35065,"Newmarket--Aurora/Newmarket--Aurora"," 54A","Newmarket",0,4,3,17,24,31,0,79,260
35065,"Newmarket--Aurora/Newmarket--Aurora"," 54B","Mobile poll/Bureau itinérant",1,1,0,4,13,9,0,28,100
35065,"Newmarket--Aurora/Newmarket--Aurora"," 55","Newmarket",3,4,11,28,43,34,4,127,457
35065,"Newmarket--Aurora/Newmarket--Aurora"," 56","Newmarket",1,14,23,65,95,134,0,332,504
35065,"Newmarket--Aurora/Newmarket--Aurora"," 57","Newmarket",5,12,16,50,69,94,1,247,585
35065,"Newmarket--Aurora/Newmarket--Aurora"," 58","Newmarket",1,9,16,50,53,66,0,195,586
35065,"Newmarket--Aurora/Newmarket--Aurora"," 59","Newmarket",1,8,8,25,65,84,0,191,462
35065,"Newmarket--Aurora/Newmarket--Aurora"," 60","Newmarket",1,7,4,20,45,61,0,138,485
35065,"Newmarket--Aurora/Newmarket--Aurora"," 61A","Newmarket",1,6,13,52,90,124,0,286,790
35065,"Newmarket--Aurora/Newmarket--Aurora"," 61B","Newmarket",3,4,2,20,12,32,1,74,171
35065,"Newmarket--Aurora/Newmarket--Aurora"," 62","Newmarket",2,2,8,29,89,80,2,212,627
35065,"Newmarket--Aurora/Newmarket--Aurora"," 63","Newmarket",0,1,3,8,57,56,1,126,408
35065,"Newmarket--Aurora/Newmarket--Aurora"," 64","Newmarket",0,5,14,35,111,111,0,276,920
35065,"Newmarket--Aurora/Newmarket--Aurora"," 65","Newmarket",1,2,9,18,62,72,0,164,513
35065,"Newmarket--Aurora/Newmarket--Aurora"," 66","Newmarket",0,3,2,14,53,129,1,202,602
35065,"Newmarket--Aurora/Newmarket--Aurora"," 67","Newmarket",Merged with No./Fusionné avec le n°61A,,,,,,,,265
35065,"Newmarket--Aurora/Newmarket--Aurora"," 68","Newmarket",0,10,13,32,74,98,3,230,537
35065,"Newmarket--Aurora/Newmarket--Aurora"," 69","Newmarket",0,9,14,27,56,76,2,184,482
35065,"Newmarket--Aurora/Newmarket--Aurora"," 70","Newmarket",Merged with No./Fusionné avec le n°93,,,,,,,,434
35065,"Newmarket--Aurora/Newmarket--Aurora"," 71","Newmarket",3,2,6,35,72,108,0,226,612
35065,"Newmarket--Aurora/Newmarket--Aurora"," 72","Newmarket",4,0,6,12,48,54,0,124,376
35065,"Newmarket--Aurora/Newmarket--Aurora"," 73","Newmarket",2,4,5,28,57,73,1,170,513
35065,"Newmarket--Aurora/Newmarket--Aurora"," 74","Newmarket",1,1,5,23,55,61,0,146,372
35065,"Newmarket--Aurora/Newmarket--Aurora"," 75","Newmarket",0,3,11,20,63,82,0,179,474
35065,"Newmarket--Aurora/Newmarket--Aurora"," 76","Newmarket",Merged with No./Fusionné avec le n°104,,,,,,,,407
35065,"Newmarket--Aurora/Newmarket--Aurora"," 77A","Newmarket",Merged with No./Fusionné avec le n°87,,,,,,,,219
35065,"Newmarket--Aurora/Newmarket--Aurora"," 77B","Newmarket",0,1,1,5,17,39,1,64,141
35065,"Newmarket--Aurora/Newmarket--Aurora"," 78","Newmarket",1,5,6,7,65,44,1,129,475
35065,"Newmarket--Aurora/Newmarket--Aurora"," 79","Newmarket",0,2,1,11,83,62,1,160,403
35065,"Newmarket--Aurora/Newmarket--Aurora"," 80","Newmarket",1,8,3,13,78,49,0,152,439
35065,"Newmarket--Aurora/Newmarket--Aurora"," 81","Newmarket",1,0,7,9,88,70,0,175,449
35065,"Newmarket--Aurora/Newmarket--Aurora"," 82","Newmarket",0,3,10,19,83,78,1,194,582
35065,"Newmarket--Aurora/Newmarket--Aurora"," 83","Newmarket",0,3,0,5,96,89,3,196,604
35065,"Newmarket--Aurora/Newmarket--Aurora"," 84","Newmarket",1,0,5,10,62,52,2,132,451
35065,"Newmarket--Aurora/Newmarket--Aurora"," 85","Newmarket",0,3,1,6,50,48,0,108,334
35065,"Newmarket--Aurora/Newmarket--Aurora"," 86","Newmarket",0,2,14,31,66,106,3,222,687
35065,"Newmarket--Aurora/Newmarket--Aurora"," 87","Newmarket",2,5,8,28,89,101,1,234,366
35065,"Newmarket--Aurora/Newmarket--Aurora"," 88","Newmarket",0,5,10,34,67,58,0,174,495
35065,"Newmarket--Aurora/Newmarket--Aurora"," 89","Newmarket",Merged with No./Fusionné avec le n°119,,,,,,,,501
35065,"Newmarket--Aurora/Newmarket--Aurora"," 90","Newmarket",2,5,19,37,78,89,0,230,682
35065,"Newmarket--Aurora/Newmarket--Aurora"," 91","Newmarket",0,4,8,24,120,114,1,271,837
35065,"Newmarket--Aurora/Newmarket--Aurora"," 92","Newmarket",1,4,9,29,100,113,0,256,384
35065,"Newmarket--Aurora/Newmarket--Aurora"," 93","Newmarket",2,8,18,49,87,132,0,296,671
35065,"Newmarket--Aurora/Newmarket--Aurora"," 94","Newmarket",0,3,11,24,86,92,0,216,594
35065,"Newmarket--Aurora/Newmarket--Aurora"," 95","Newmarket",1,5,4,32,92,91,0,225,735
35065,"Newmarket--Aurora/Newmarket--Aurora"," 96","Newmarket",1,4,3,21,46,81,0,156,459
35065,"Newmarket--Aurora/Newmarket--Aurora"," 97","Newmarket",0,2,1,14,66,57,2,142,465
35065,"Newmarket--Aurora/Newmarket--Aurora"," 98","Newmarket",1,5,6,32,55,64,3,166,464
35065,"Newmarket--Aurora/Newmarket--Aurora"," 99","Newmarket",0,6,4,22,69,78,0,179,455
35065,"Newmarket--Aurora/Newmarket--Aurora"," 100","Newmarket",1,2,9,21,62,54,3,152,474
35065,"Newmarket--Aurora/Newmarket--Aurora"," 101","Newmarket",2,6,15,53,89,95,1,261,599
35065,"Newmarket--Aurora/Newmarket--Aurora"," 102","Newmarket",Merged with No./Fusionné avec le n°103,,,,,,,,286
35065,"Newmarket--Aurora/Newmarket--Aurora"," 103","Newmarket",1,4,14,43,118,166,1,347,336
35065,"Newmarket--Aurora/Newmarket--Aurora"," 104","Newmarket",2,12,15,51,106,107,1,294,420
35065,"Newmarket--Aurora/Newmarket--Aurora"," 105A","Newmarket",5,4,14,20,106,112,0,261,603
35065,"Newmarket--Aurora/Newmarket--Aurora"," 105B","Newmarket",0,2,7,8,23,19,0,59,148
35065,"Newmarket--Aurora/Newmarket--Aurora"," 106","Newmarket",0,3,11,29,51,86,1,181,485
35065,"Newmarket--Aurora/Newmarket--Aurora"," 107","Newmarket",2,3,8,19,57,101,0,190,505
35065,"Newmarket--Aurora/Newmarket--Aurora"," 108","Newmarket",0,3,5,19,83,96,2,208,686
35065,"Newmarket--Aurora/Newmarket--Aurora"," 109","Newmarket",0,0,5,16,70,70,0,161,517
35065,"Newmarket--Aurora/Newmarket--Aurora"," 110","Newmarket",0,1,10,9,77,94,3,194,443
