Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tammy Bentz,John Galloway,Leslie (Les) Jickling,Archie Kaario,Jonathan Wilkinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Vancouver/North Vancouver"," 1","North Vancouver",19,1,52,14,74,0,160,530
59021,"North Vancouver/North Vancouver"," 2","North Vancouver",41,2,62,10,84,0,199,483
59021,"North Vancouver/North Vancouver"," 3","North Vancouver",61,2,57,12,113,0,245,633
59021,"North Vancouver/North Vancouver"," 4","North Vancouver",56,8,39,14,76,1,194,494
59021,"North Vancouver/North Vancouver"," 5","North Vancouver",24,4,54,5,70,0,157,514
59021,"North Vancouver/North Vancouver"," 6","North Vancouver",13,4,57,10,74,0,158,497
59021,"North Vancouver/North Vancouver"," 7","North Vancouver",13,0,51,0,62,0,126,356
59021,"North Vancouver/North Vancouver"," 8","North Vancouver",12,4,36,11,60,0,123,410
59021,"North Vancouver/North Vancouver"," 9","North Vancouver",23,3,46,7,60,1,140,459
59021,"North Vancouver/North Vancouver"," 10","North Vancouver",19,1,38,6,38,0,102,439
59021,"North Vancouver/North Vancouver"," 11","North Vancouver",12,6,34,3,58,0,113,538
59021,"North Vancouver/North Vancouver"," 12","North Vancouver",18,4,61,8,83,0,174,520
59021,"North Vancouver/North Vancouver"," 13","North Vancouver",28,0,46,11,76,0,161,506
59021,"North Vancouver/North Vancouver"," 14","North Vancouver",11,3,40,5,74,0,133,394
59021,"North Vancouver/North Vancouver"," 15","North Vancouver",24,3,40,4,85,2,158,412
59021,"North Vancouver/North Vancouver"," 16","North Vancouver",24,4,26,3,76,0,133,394
59021,"North Vancouver/North Vancouver"," 17","North Vancouver",15,2,40,3,41,0,101,330
59021,"North Vancouver/North Vancouver"," 18","North Vancouver",21,3,97,8,125,0,254,761
59021,"North Vancouver/North Vancouver"," 19","North Vancouver",8,1,18,3,50,0,80,299
59021,"North Vancouver/North Vancouver"," 20","North Vancouver",25,1,79,4,97,0,206,567
59021,"North Vancouver/North Vancouver"," 21","North Vancouver",11,0,36,6,69,0,122,393
59021,"North Vancouver/North Vancouver"," 22","North Vancouver",24,3,46,8,84,0,165,442
59021,"North Vancouver/North Vancouver"," 23","North Vancouver",16,1,72,3,48,0,140,447
59021,"North Vancouver/North Vancouver"," 24","North Vancouver",35,3,70,7,81,0,196,691
59021,"North Vancouver/North Vancouver"," 25","North Vancouver",15,2,41,11,47,1,117,399
59021,"North Vancouver/North Vancouver"," 26","North Vancouver",17,1,37,3,68,0,126,517
59021,"North Vancouver/North Vancouver"," 27","North Vancouver",19,3,34,6,55,0,117,427
59021,"North Vancouver/North Vancouver"," 28","North Vancouver",26,5,65,5,61,0,162,483
59021,"North Vancouver/North Vancouver"," 29","North Vancouver",31,3,49,9,85,1,178,585
59021,"North Vancouver/North Vancouver"," 30","North Vancouver",17,7,51,5,83,0,163,524
59021,"North Vancouver/North Vancouver"," 31","North Vancouver",23,0,54,11,77,1,166,478
59021,"North Vancouver/North Vancouver"," 32","North Vancouver",12,3,41,9,50,0,115,367
59021,"North Vancouver/North Vancouver"," 33","North Vancouver",27,3,42,10,78,0,160,398
59021,"North Vancouver/North Vancouver"," 34","North Vancouver",37,3,64,7,99,0,210,625
59021,"North Vancouver/North Vancouver"," 35","North Vancouver",29,5,34,7,130,1,206,590
59021,"North Vancouver/North Vancouver"," 36","North Vancouver",27,4,38,1,178,1,249,495
59021,"North Vancouver/North Vancouver"," 37","North Vancouver",30,5,35,8,92,2,172,492
59021,"North Vancouver/North Vancouver"," 38","North Vancouver",19,2,34,5,50,0,110,397
59021,"North Vancouver/North Vancouver"," 39","North Vancouver",18,2,41,2,47,0,110,450
59021,"North Vancouver/North Vancouver"," 40","North Vancouver",15,0,36,7,64,0,122,472
59021,"North Vancouver/North Vancouver"," 41","North Vancouver",19,2,24,3,54,0,102,440
59021,"North Vancouver/North Vancouver"," 42","North Vancouver",32,1,33,13,59,2,140,466
59021,"North Vancouver/North Vancouver"," 43","North Vancouver",19,2,26,4,45,1,97,452
59021,"North Vancouver/North Vancouver"," 44","North Vancouver",25,3,28,8,43,1,108,381
59021,"North Vancouver/North Vancouver"," 45","North Vancouver",16,5,29,5,38,0,93,432
59021,"North Vancouver/North Vancouver"," 46","North Vancouver",27,6,46,3,53,1,136,489
59021,"North Vancouver/North Vancouver"," 47","North Vancouver",27,7,53,6,67,0,160,355
59021,"North Vancouver/North Vancouver"," 48","North Vancouver",25,1,44,6,86,0,162,398
59021,"North Vancouver/North Vancouver"," 49","North Vancouver",39,6,33,11,94,0,183,448
59021,"North Vancouver/North Vancouver"," 50","North Vancouver",35,4,75,12,94,1,221,476
59021,"North Vancouver/North Vancouver"," 51","North Vancouver",16,0,30,4,74,1,125,351
59021,"North Vancouver/North Vancouver"," 52","North Vancouver",48,19,30,2,57,1,157,491
59021,"North Vancouver/North Vancouver"," 53","North Vancouver",33,2,35,5,58,0,133,399
59021,"North Vancouver/North Vancouver"," 54","North Vancouver",39,9,52,7,102,0,209,566
59021,"North Vancouver/North Vancouver"," 55","North Vancouver",40,9,47,10,95,0,201,563
59021,"North Vancouver/North Vancouver"," 56","North Vancouver",36,3,24,4,45,0,112,454
59021,"North Vancouver/North Vancouver"," 57","North Vancouver",32,4,28,9,50,0,123,372
59021,"North Vancouver/North Vancouver"," 58","North Vancouver",35,2,40,1,60,1,139,304
59021,"North Vancouver/North Vancouver"," 59","North Vancouver",34,5,47,7,84,1,178,435
59021,"North Vancouver/North Vancouver"," 60","North Vancouver",46,2,60,18,103,0,229,477
59021,"North Vancouver/North Vancouver"," 61","North Vancouver",55,4,68,13,79,0,219,501
59021,"North Vancouver/North Vancouver"," 62","North Vancouver",18,1,42,8,53,0,122,442
59021,"North Vancouver/North Vancouver"," 63","North Vancouver",32,3,48,4,71,0,158,385
59021,"North Vancouver/North Vancouver"," 64","North Vancouver",41,5,65,4,89,3,207,476
59021,"North Vancouver/North Vancouver"," 65","North Vancouver",47,5,34,13,92,2,193,542
59021,"North Vancouver/North Vancouver"," 66","North Vancouver",55,4,43,7,94,0,203,599
59021,"North Vancouver/North Vancouver"," 67","North Vancouver",34,4,25,10,76,1,150,467
59021,"North Vancouver/North Vancouver"," 68","North Vancouver",Merged with No./Fusionné avec le n°158,,,,,,,278
59021,"North Vancouver/North Vancouver"," 69","North Vancouver",46,5,49,11,120,2,233,592
59021,"North Vancouver/North Vancouver"," 70","North Vancouver",31,5,66,8,86,0,196,522
59021,"North Vancouver/North Vancouver"," 71","North Vancouver",Void/Supprimé,,,,,,,
59021,"North Vancouver/North Vancouver"," 72A","North Vancouver",35,3,30,8,59,1,136,426
59021,"North Vancouver/North Vancouver"," 72B","North Vancouver",26,3,23,6,80,0,138,441
59021,"North Vancouver/North Vancouver"," 73","North Vancouver",24,4,25,4,78,0,135,391
59021,"North Vancouver/North Vancouver"," 74","North Vancouver",20,1,30,6,35,0,92,323
59021,"North Vancouver/North Vancouver"," 75","North Vancouver",39,3,35,5,78,0,160,528
59021,"North Vancouver/North Vancouver"," 76","North Vancouver",53,8,62,8,70,0,201,499
59021,"North Vancouver/North Vancouver"," 77","North Vancouver",26,3,61,16,82,0,188,463
59021,"North Vancouver/North Vancouver"," 78","North Vancouver",65,4,61,8,79,0,217,555
59021,"North Vancouver/North Vancouver"," 79","North Vancouver",26,6,52,7,78,0,169,456
59021,"North Vancouver/North Vancouver"," 80","North Vancouver",45,2,44,9,80,0,180,408
59021,"North Vancouver/North Vancouver"," 81","North Vancouver",39,3,52,11,70,0,175,443
59021,"North Vancouver/North Vancouver"," 82","North Vancouver",72,8,61,17,109,1,268,629
59021,"North Vancouver/North Vancouver"," 83","North Vancouver",39,1,58,7,89,0,194,438
59021,"North Vancouver/North Vancouver"," 84","North Vancouver",57,1,59,9,97,3,226,696
59021,"North Vancouver/North Vancouver"," 85","North Vancouver",39,2,43,12,71,0,167,528
59021,"North Vancouver/North Vancouver"," 86","North Vancouver",32,1,50,7,77,1,168,450
59021,"North Vancouver/North Vancouver"," 87","North Vancouver",38,6,38,8,72,0,162,446
59021,"North Vancouver/North Vancouver"," 88","North Vancouver",24,4,31,8,79,0,146,512
59021,"North Vancouver/North Vancouver"," 89","North Vancouver",50,6,51,13,101,1,222,599
59021,"North Vancouver/North Vancouver"," 90","North Vancouver",43,4,40,12,91,0,190,646
59021,"North Vancouver/North Vancouver"," 91","North Vancouver",51,7,25,6,73,1,163,567
59021,"North Vancouver/North Vancouver"," 92","North Vancouver",54,6,38,8,79,1,186,576
59021,"North Vancouver/North Vancouver"," 93","North Vancouver",37,6,28,6,48,0,125,489
59021,"North Vancouver/North Vancouver"," 94","North Vancouver",30,3,44,10,96,2,185,586
59021,"North Vancouver/North Vancouver"," 95","North Vancouver",28,4,29,8,70,1,140,488
59021,"North Vancouver/North Vancouver"," 96","North Vancouver",26,4,51,13,66,0,160,411
59021,"North Vancouver/North Vancouver"," 97","North Vancouver",21,1,25,8,53,0,108,348
59021,"North Vancouver/North Vancouver"," 98","North Vancouver",31,5,37,6,72,0,151,467
59021,"North Vancouver/North Vancouver"," 99","North Vancouver",54,18,58,16,112,1,259,555
59021,"North Vancouver/North Vancouver"," 100","North Vancouver",42,5,83,17,122,1,270,584
59021,"North Vancouver/North Vancouver"," 101","North Vancouver",35,5,25,10,50,0,125,389
