Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jordan Ames-Sinclair,Valerie Brooks,Denise Loucks,Braden Robertson,Halsten David Rust,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 57","Preeceville",8,1,0,8,11,76,0,104,319
47014,"Yorkton--Melville/Yorkton--Melville"," 58A","Preeceville",Merged with No./Fusionné avec le n°59,,,,,,,,114
47014,"Yorkton--Melville/Yorkton--Melville"," 58B","Preeceville",Merged with No./Fusionné avec le n°60,,,,,,,,127
47014,"Yorkton--Melville/Yorkton--Melville"," 59","Preeceville",9,4,1,22,20,86,0,142,285
47014,"Yorkton--Melville/Yorkton--Melville"," 60","Preeceville",4,2,2,12,5,68,0,93,257
47014,"Yorkton--Melville/Yorkton--Melville"," 61","Sturgis",7,1,1,19,15,68,0,111,227
47014,"Yorkton--Melville/Yorkton--Melville"," 62","Sturgis",10,1,3,16,19,66,1,116,231
47014,"Yorkton--Melville/Yorkton--Melville"," 63","Crystal Lake",9,4,1,13,18,108,0,153,344
47014,"Yorkton--Melville/Yorkton--Melville"," 64","Invermay",Merged with No./Fusionné avec le n°65,,,,,,,,117
47014,"Yorkton--Melville/Yorkton--Melville"," 65","Invermay",7,1,4,12,15,154,0,193,179
47014,"Yorkton--Melville/Yorkton--Melville"," 66","Hyas",4,2,0,8,8,62,2,86,245
47014,"Yorkton--Melville/Yorkton--Melville"," 67","Rama",12,2,3,7,7,77,1,109,166
47014,"Yorkton--Melville/Yorkton--Melville"," 68","Norquay",4,1,2,20,7,59,0,93,416
47014,"Yorkton--Melville/Yorkton--Melville"," 69","Norquay",0,1,3,10,3,46,0,63,155
47014,"Yorkton--Melville/Yorkton--Melville"," 70","Pelly",12,1,7,22,27,101,0,170,338
47014,"Yorkton--Melville/Yorkton--Melville"," 71","The Key 65",18,1,1,0,14,0,0,34,35
47014,"Yorkton--Melville/Yorkton--Melville"," 72","Buchanan",10,0,5,40,19,128,3,205,352
