Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thierry Bilodeau,Daniel Chicoine,Guillaume Côté,Gérard Deltell,Mélanie Fortin,Yu-Ti Eva Huang,Nathanielle Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 154","Québec",22,7,2,78,0,12,13,2,136,369
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 155","Québec",25,1,7,75,1,17,21,1,148,369
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 156","Québec",17,0,3,60,0,11,27,2,120,325
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 157","Québec",22,3,3,60,1,11,19,2,121,356
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 158","Québec",46,2,6,123,8,19,41,2,247,726
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 159","Québec",31,4,5,110,7,11,21,4,193,583
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 160","Québec",14,6,7,18,1,8,27,3,84,268
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 161","Québec",41,5,1,64,1,16,31,4,163,405
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 162","Québec",25,8,1,59,2,7,16,6,124,419
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 163","Québec",34,2,2,72,1,5,20,4,140,622
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 164","Québec",13,0,5,27,3,15,17,1,81,362
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 165","Québec",29,2,5,139,1,12,25,4,217,487
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 166","Québec",20,3,4,34,1,4,20,4,90,398
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 167","L'Ancienne-Lorette",35,4,5,99,1,14,32,0,190,372
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 168","L'Ancienne-Lorette",34,1,0,125,2,14,29,5,210,395
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 169","L'Ancienne-Lorette",41,5,4,92,0,16,22,1,181,419
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 170","L'Ancienne-Lorette",41,2,0,83,2,6,35,4,173,378
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 171","L'Ancienne-Lorette",35,2,2,90,2,7,43,4,185,402
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 172","L'Ancienne-Lorette",24,1,3,77,2,8,27,4,146,401
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 173","L'Ancienne-Lorette",40,2,1,78,2,20,23,2,168,342
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 174","L'Ancienne-Lorette",24,6,4,71,3,7,15,1,131,326
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 175","L'Ancienne-Lorette",31,2,2,88,0,17,20,1,161,423
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 176","Québec",18,3,5,71,7,10,21,2,137,429
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 177","Québec",35,4,9,122,3,21,32,3,229,756
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 178","Québec",23,1,2,105,1,14,16,0,162,439
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 179","Québec",29,1,2,54,3,7,16,1,113,371
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 180","Québec",29,4,13,96,1,10,25,10,188,521
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 181","Québec",Merged with No./Fusionné avec le n°185,,,,,,,,,322
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 182","Québec",39,3,4,156,3,18,33,15,271,379
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 183","Québec",33,1,11,78,1,9,23,0,156,516
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 184","Québec",32,6,9,144,3,19,49,5,267,440
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 185","Québec",26,4,7,148,5,25,27,4,246,378
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 186","Québec",26,4,7,92,2,16,22,3,172,522
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 187","Québec",Merged with No./Fusionné avec le n°182,,,,,,,,,373
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 188","Québec",Merged with No./Fusionné avec le n°190,,,,,,,,,318
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 189","Québec",Merged with No./Fusionné avec le n°184,,,,,,,,,341
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 190","Québec",45,7,2,132,2,17,37,3,245,394
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 191","Québec",30,4,10,131,4,12,31,3,225,607
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 192","Québec",39,4,2,103,2,6,36,3,195,555
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 193","Québec",34,2,1,91,5,6,5,2,146,466
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 194","L'Ancienne-Lorette",35,6,3,92,1,13,33,2,185,419
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 195","L'Ancienne-Lorette",36,3,2,99,4,14,39,1,198,473
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 196","L'Ancienne-Lorette",21,0,1,81,1,9,25,0,138,385
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 197","L'Ancienne-Lorette",28,2,7,56,2,12,21,6,134,407
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 198","L'Ancienne-Lorette",29,3,5,82,0,11,21,5,156,391
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 199","L'Ancienne-Lorette",31,2,3,73,5,11,28,3,156,379
