Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thierry Bilodeau,Daniel Chicoine,Guillaume Côté,Gérard Deltell,Mélanie Fortin,Yu-Ti Eva Huang,Nathanielle Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 604","Québec",362,15,12,800,28,41,255,26,1539,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 605","Québec",299,11,19,732,14,53,188,14,1330,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 606","Québec",299,9,19,722,22,40,202,7,1320,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 607","Québec",431,13,21,947,28,68,358,27,1893,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 608","Québec",358,14,25,921,26,72,259,30,1705,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 609","Québec",245,10,26,595,17,21,139,20,1073,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 610","Québec",262,7,18,658,14,33,184,10,1186,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 611","Québec",94,7,13,365,14,8,83,10,594,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 612","Québec",157,4,25,569,14,31,98,21,919,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 613","L'Ancienne-Lorette",399,16,32,1193,36,48,309,24,2057,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 614","L'Ancienne-Lorette",382,19,34,911,39,35,297,28,1745,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 615","Québec",156,8,33,556,21,32,104,13,923,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 616","Québec",184,9,23,559,12,21,98,16,922,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 617","Québec",190,8,16,549,6,33,131,11,944,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 618","Québec",120,9,16,393,6,24,91,10,669,
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent",,Group 1/Groupe 1, 75,14,17,489,6,46,89,41,777,78
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent",,Group 2/Groupe 2, 526,27,27,1165,17,84,421,66,2333,
