Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Gabrielle Baron,Chris Cameron,Patricia Conlin,Jonathan Giancroce,Erin O'Toole,Kurdil-Telt Patch,Adam Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35023,"Durham/Durham"," 71","Oshawa",Merged with No./Fusionné avec le n°124,,,,,,,,,534
35023,"Durham/Durham"," 72","Clarington",Merged with No./Fusionné avec le n°73,,,,,,,,,382
35023,"Durham/Durham"," 73","Clarington",2,56,27,69,101,1,0,0,256,386
35023,"Durham/Durham"," 74","Clarington",Merged with No./Fusionné avec le n°75,,,,,,,,,315
35023,"Durham/Durham"," 75","Clarington",1,42,6,47,88,0,0,2,186,349
35023,"Durham/Durham"," 76","Clarington",Merged with No./Fusionné avec le n°77,,,,,,,,,405
35023,"Durham/Durham"," 77","Clarington",4,72,11,72,120,0,1,0,280,435
35023,"Durham/Durham"," 78","Clarington",1,43,14,72,132,0,0,0,262,663
35023,"Durham/Durham"," 79","Clarington",0,64,7,200,174,1,0,3,449,1577
35023,"Durham/Durham"," 80","Clarington",2,35,13,52,91,0,0,0,193,403
35023,"Durham/Durham"," 81","Clarington",Merged with No./Fusionné avec le n°80,,,,,,,,,319
35023,"Durham/Durham"," 82","Clarington",Merged with No./Fusionné avec le n°84,,,,,,,,,288
35023,"Durham/Durham"," 83","Clarington",1,27,2,37,62,0,0,0,129,418
35023,"Durham/Durham"," 84","Clarington",2,37,6,63,98,0,0,0,206,310
35023,"Durham/Durham"," 85","Clarington",0,27,13,40,85,0,1,0,166,479
35023,"Durham/Durham"," 86","Oshawa",0,47,7,171,61,0,0,3,289,871
35023,"Durham/Durham"," 87","Oshawa",1,68,6,141,71,0,0,5,292,936
35023,"Durham/Durham"," 88","Oshawa",2,33,8,59,92,0,0,0,194,469
35023,"Durham/Durham"," 89","Oshawa",1,76,19,129,132,0,0,1,358,581
35023,"Durham/Durham"," 90","Oshawa",1,32,13,99,75,0,0,1,221,797
35023,"Durham/Durham"," 91","Oshawa",0,11,9,89,36,0,0,0,145,617
35023,"Durham/Durham"," 92","Oshawa",0,34,13,71,88,0,0,0,206,754
35023,"Durham/Durham"," 93","Oshawa",0,46,20,180,115,0,0,0,361,1369
35023,"Durham/Durham"," 94","Clarington",1,27,7,40,92,0,1,1,169,376
35023,"Durham/Durham"," 95","Clarington",0,21,21,45,113,1,0,0,201,429
35023,"Durham/Durham"," 96","Clarington",2,49,14,50,60,0,0,1,176,545
35023,"Durham/Durham"," 97","Clarington",2,55,20,68,150,0,1,1,297,392
35023,"Durham/Durham"," 98","Clarington",3,50,14,45,78,1,0,0,191,657
35023,"Durham/Durham"," 99","Clarington",Merged with No./Fusionné avec le n°97,,,,,,,,,347
35023,"Durham/Durham"," 100","Clarington",4,88,9,84,103,0,1,1,290,451
35023,"Durham/Durham"," 101","Clarington",Merged with No./Fusionné avec le n°100,,,,,,,,,333
35023,"Durham/Durham"," 102","Clarington",0,42,5,58,83,0,0,2,190,567
35023,"Durham/Durham"," 103","Clarington",5,78,15,84,140,2,0,0,324,490
35023,"Durham/Durham"," 104","Clarington",Merged with No./Fusionné avec le n°103,,,,,,,,,372
35023,"Durham/Durham"," 105","Clarington",Merged with No./Fusionné avec le n°106,,,,,,,,,432
35023,"Durham/Durham"," 106","Clarington",1,88,12,92,153,0,0,3,349,451
35023,"Durham/Durham"," 107","Clarington",2,65,28,71,161,0,1,4,332,406
35023,"Durham/Durham"," 108","Clarington",Merged with No./Fusionné avec le n°107,,,,,,,,,384
35023,"Durham/Durham"," 109","Clarington",Merged with No./Fusionné avec le n°110,,,,,,,,,274
35023,"Durham/Durham"," 110","Clarington",2,69,15,75,131,1,0,2,295,390
35023,"Durham/Durham"," 111","Clarington",Merged with No./Fusionné avec le n°112,,,,,,,,,435
35023,"Durham/Durham"," 112","Clarington",0,65,7,84,166,2,2,2,328,437
35023,"Durham/Durham"," 113","Clarington",1,43,13,50,92,0,0,2,201,438
35023,"Durham/Durham"," 114","Clarington",0,27,9,57,100,1,2,0,196,540
35023,"Durham/Durham"," 115","Oshawa",Merged with No./Fusionné avec le n°118,,,,,,,,,424
35023,"Durham/Durham"," 116","Oshawa",0,28,6,38,68,0,0,0,140,625
35023,"Durham/Durham"," 117","Oshawa",0,53,3,77,53,0,0,2,188,641
35023,"Durham/Durham"," 118","Oshawa",0,54,11,104,95,0,0,1,265,506
35023,"Durham/Durham"," 119","Oshawa",0,39,17,105,123,0,1,0,285,571
