Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Niki Ashton,Charlotte Larocque,Ralph McLean,Shirley Robinson,Dylan Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 1","Lac Brochet",53,2,0,16,0,0,71,375
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 2","Tadoule Lake",48,6,5,4,0,0,63,152
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 3","Churchill",75,18,7,29,4,1,134,287
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 4","Churchill",57,15,2,26,7,1,108,324
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 5","Brochet",43,1,0,20,8,0,72,283
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 6","South Indian Lake",30,4,6,34,3,0,77,424
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 7","Lynn Lake",41,43,4,36,4,4,132,349
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 8","Gillam",76,24,0,20,8,0,128,396
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 9","Gillam",39,17,3,6,6,2,73,286
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 10A","Mistuhekasookun",Merged with No./Fusionné avec le n°11A,,,,,,,12
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 10B","Mistuhekasookun",Merged with No./Fusionné avec le n°11B,,,,,,,2
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 11A","Split Lake",53,2,1,24,3,0,83,482
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 11B","Split Lake",59,2,0,18,5,0,84,441
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 12","Leaf Rapids",17,9,2,14,2,2,46,313
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 13","Bird",17,1,0,1,0,0,19,102
