Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Philippe Beaudry-Graham,Pierre Breton,Yannick Brisebois,Patrick Jasmin,Joël Lacroix,Céline Lalancette,Andréanne Larouche,Mathieu Morin,Gerda Schieder,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Shefford/Shefford"," 217","Saint-Alphonse-de-Granby",0,75,0,10,2,43,119,8,8,2,267,561
24072,"Shefford/Shefford"," 218","Saint-Alphonse-de-Granby",0,27,1,10,0,18,53,2,1,3,115,267
24072,"Shefford/Shefford"," 219","Saint-Alphonse-de-Granby",0,57,1,13,3,5,73,4,9,1,166,285
24072,"Shefford/Shefford"," 220","Saint-Alphonse-de-Granby",0,29,0,5,1,21,46,5,8,2,117,257
24072,"Shefford/Shefford"," 221","Ange-Gardien",1,52,0,10,3,28,65,4,3,6,172,407
24072,"Shefford/Shefford"," 222","Ange-Gardien",1,51,2,17,2,16,57,2,6,11,165,362
24072,"Shefford/Shefford"," 223","Ange-Gardien",0,47,1,7,3,16,59,4,7,6,150,361
24072,"Shefford/Shefford"," 224","Ange-Gardien",0,44,0,9,0,25,70,8,2,3,161,407
24072,"Shefford/Shefford"," 225","Ange-Gardien",0,40,2,14,6,31,49,1,1,3,147,336
24072,"Shefford/Shefford"," 400","Granby",1,126,2,0,1,26,46,1,1,11,215,292
24072,"Shefford/Shefford"," 401","Granby",2,114,3,3,3,15,44,1,0,8,193,263
24072,"Shefford/Shefford"," 402","Granby",3,74,2,2,1,14,39,0,0,12,147,208
24072,"Shefford/Shefford"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,,
24072,"Shefford/Shefford"," 501","Valcourt",Merged with No./Fusionné avec le n°8,,,,,,,,,,,24
24072,"Shefford/Shefford"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,,
24072,"Shefford/Shefford"," 503","Mobile poll/Bureau itinérant",18,446,9,12,6,67,143,14,2,48,765,33
24072,"Shefford/Shefford"," 504","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,43
24072,"Shefford/Shefford"," 505","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,312
24072,"Shefford/Shefford"," 506","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,52
24072,"Shefford/Shefford"," 507","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,33
24072,"Shefford/Shefford"," 508","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,62
24072,"Shefford/Shefford"," 509","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,,
24072,"Shefford/Shefford"," 510","Granby",Merged with No./Fusionné avec le n°85,,,,,,,,,,,94
24072,"Shefford/Shefford"," 511","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,62
24072,"Shefford/Shefford"," 512","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,44
24072,"Shefford/Shefford"," 513","Granby",Merged with No./Fusionné avec le n°78,,,,,,,,,,,9
24072,"Shefford/Shefford"," 514","Granby",Merged with No./Fusionné avec le n°59,,,,,,,,,,,49
24072,"Shefford/Shefford"," 515","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,28
24072,"Shefford/Shefford"," 516","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,40
24072,"Shefford/Shefford"," 517","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,17
24072,"Shefford/Shefford"," 518","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,,,,,12
