Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rosemarie Falk,Erik Hansen,Larry Ingram,Ken Rutherford,Terry Sieben,Kerri Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1A","Onion Lake",5,47,26,0,5,0,0,83,1136
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1B","Onion Lake",7,75,9,1,8,2,4,106,933
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 2","Fort Pitt",110,1,0,26,8,1,1,147,287
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 3","Paradise Hill",220,5,5,51,17,2,1,301,482
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 4","Spruce Lake",42,8,8,4,6,0,0,68,277
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 5","Thunderchild First Nation 115B",2,14,11,0,0,0,0,27,112
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 6","Turtleford",237,53,42,21,19,3,2,377,673
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 7","St. Walburg",94,1,4,8,15,0,1,123,348
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 8","St. Walburg",132,8,2,12,12,2,1,169,427
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 9","Bolney",52,4,1,7,7,0,1,72,315
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 10","Northminster",139,9,2,54,7,1,0,212,617
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 11","Hillmond",160,6,6,63,13,0,0,248,438
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 12","Lloydminster",93,4,0,27,9,0,1,134,472
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 13A","Livelong",123,20,9,17,13,2,1,185,361
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 13B","Livelong",103,19,10,8,8,1,0,149,306
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 14","Lloydminster (Part)",112,26,7,4,14,0,2,165,590
