Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Robert Eppich,Susan Farlinger,Gord Johns,Susanne Lawson,Mary Lee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59009,"Courtenay--Alberni/Courtenay--Alberni"," 47","Courtenay",0,9,40,103,12,82,1,247,597
59009,"Courtenay--Alberni/Courtenay--Alberni"," 48","Cumberland",1,10,36,232,45,114,1,439,931
59009,"Courtenay--Alberni/Courtenay--Alberni"," 49","Cumberland",0,2,10,120,14,29,0,175,404
59009,"Courtenay--Alberni/Courtenay--Alberni"," 50","Cumberland",0,5,14,107,14,53,1,194,452
59009,"Courtenay--Alberni/Courtenay--Alberni"," 51","Cumberland",0,16,12,113,23,30,0,194,371
59009,"Courtenay--Alberni/Courtenay--Alberni"," 52","Cumberland",0,2,10,144,17,17,1,191,366
59009,"Courtenay--Alberni/Courtenay--Alberni"," 53","Cumberland",1,8,6,172,24,29,0,240,485
59009,"Courtenay--Alberni/Courtenay--Alberni"," 54","Cumberland",0,11,18,108,10,40,2,189,417
59009,"Courtenay--Alberni/Courtenay--Alberni"," 55","Courtenay",0,8,25,75,12,61,0,181,586
59009,"Courtenay--Alberni/Courtenay--Alberni"," 56","Royston",2,15,32,131,11,110,1,302,837
59009,"Courtenay--Alberni/Courtenay--Alberni"," 57","Royston",0,10,16,74,7,64,1,172,503
59009,"Courtenay--Alberni/Courtenay--Alberni"," 58","Royston",1,11,18,77,6,40,0,153,401
59009,"Courtenay--Alberni/Courtenay--Alberni"," 59","Royston",0,10,28,88,10,69,0,205,507
59009,"Courtenay--Alberni/Courtenay--Alberni"," 60","Royston",0,1,25,71,8,52,0,157,431
59009,"Courtenay--Alberni/Courtenay--Alberni"," 61","Union Bay",0,14,23,98,12,69,0,216,507
59009,"Courtenay--Alberni/Courtenay--Alberni"," 62","Meares Island",Void/Supprimé,,,,,,,,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 63","Denman Island",0,7,19,159,20,16,0,221,380
59009,"Courtenay--Alberni/Courtenay--Alberni"," 64","Denman Island",0,11,8,143,26,13,1,202,336
59009,"Courtenay--Alberni/Courtenay--Alberni"," 65","Denman Island",1,16,17,159,40,28,2,263,455
59009,"Courtenay--Alberni/Courtenay--Alberni"," 66","Union Bay",1,11,28,89,9,75,0,213,460
59009,"Courtenay--Alberni/Courtenay--Alberni"," 67","Fanny Bay",0,12,33,126,13,61,0,245,485
59009,"Courtenay--Alberni/Courtenay--Alberni"," 68","Fanny Bay",0,20,30,144,11,81,2,288,540
59009,"Courtenay--Alberni/Courtenay--Alberni"," 69","Tofino",0,3,8,83,22,10,1,127,370
59009,"Courtenay--Alberni/Courtenay--Alberni"," 70","Tofino",1,6,8,90,36,21,2,164,446
59009,"Courtenay--Alberni/Courtenay--Alberni"," 71","Tofino",1,9,8,103,40,18,0,179,585
59009,"Courtenay--Alberni/Courtenay--Alberni"," 72","Tofino",0,8,15,109,35,20,0,187,552
59009,"Courtenay--Alberni/Courtenay--Alberni"," 73","Tofino",0,5,10,86,25,40,0,166,482
59009,"Courtenay--Alberni/Courtenay--Alberni"," 74","Hornby Island",1,10,20,150,17,17,1,216,345
59009,"Courtenay--Alberni/Courtenay--Alberni"," 75","Hornby Island",1,7,16,151,20,6,0,201,315
59009,"Courtenay--Alberni/Courtenay--Alberni"," 76","Hornby Island",1,8,14,125,24,15,1,188,323
59009,"Courtenay--Alberni/Courtenay--Alberni"," 77","Sproat Lake",0,11,23,97,8,69,1,209,470
59009,"Courtenay--Alberni/Courtenay--Alberni"," 78","Sproat Lake",0,5,22,45,4,43,1,120,307
59009,"Courtenay--Alberni/Courtenay--Alberni"," 79","Sproat Lake",1,7,11,53,8,42,0,122,305
59009,"Courtenay--Alberni/Courtenay--Alberni"," 80","Tsahaheh 1",0,6,1,114,10,31,2,164,511
59009,"Courtenay--Alberni/Courtenay--Alberni"," 81","Sproat Lake",0,8,20,68,5,63,0,164,443
59009,"Courtenay--Alberni/Courtenay--Alberni"," 82","Beaver Creek",0,10,13,53,4,87,0,167,382
59009,"Courtenay--Alberni/Courtenay--Alberni"," 83","Beaver Creek",2,7,16,47,2,52,0,126,293
59009,"Courtenay--Alberni/Courtenay--Alberni"," 84","Port Alberni",0,17,19,94,13,82,0,225,478
59009,"Courtenay--Alberni/Courtenay--Alberni"," 85","Port Alberni",0,5,18,66,5,70,0,164,358
59009,"Courtenay--Alberni/Courtenay--Alberni"," 86","Port Alberni",0,3,31,72,2,52,0,160,407
59009,"Courtenay--Alberni/Courtenay--Alberni"," 87","Port Alberni",2,9,14,68,4,63,0,160,476
59009,"Courtenay--Alberni/Courtenay--Alberni"," 88","Hitacu--Salmon Beach",0,5,7,85,22,14,0,133,432
