Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Babcock,Mike Bossio,Matilda DeBues,Shelby Kramp-Neuman,Jennifer Sloan,Reg Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 1","Bangor",12,48,18,115,16,2,1,212,510
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 2","Carlow",18,45,22,130,2,4,1,222,400
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 3","Maynooth",6,24,15,60,1,2,0,108,363
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 4","Lake St. Peter",10,26,21,63,1,0,2,123,387
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 5","Monteagle",Merged with No./Fusionné avec le n°7,,,,,,,,342
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 6","Monteagle",9,15,18,75,3,3,1,124,388
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 7","Musclow",22,50,26,148,7,4,3,260,338
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 8","Herschel",15,27,14,56,1,6,2,121,381
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 9","Denbigh--Slate Falls",11,52,19,80,3,0,0,165,312
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 10","Vennachar",6,35,8,53,2,3,0,107,258
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 11","Mayo",11,51,15,149,4,1,0,231,470
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 12","Birds Creek",11,38,22,89,2,2,1,165,381
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 13","Birds Creek",8,27,12,67,0,1,0,115,377
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 14","Baptiste",10,46,6,55,5,2,0,124,364
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 15","Bancroft",11,24,15,50,1,4,0,105,472
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 16","Bancroft",14,23,16,52,2,5,0,112,431
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 17","Bancroft",3,13,7,45,2,0,2,72,151
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 18","Bancroft",Merged with No./Fusionné avec le n°17,,,,,,,,142
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 19","Bancroft",4,26,14,51,2,4,2,103,366
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 20","Bancroft",9,32,12,39,2,2,0,96,401
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 21","Bancroft",Merged with No./Fusionné avec le n°23,,,,,,,,327
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 22","Faraday",8,28,24,58,1,4,0,123,339
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 23","Bancroft",20,52,17,60,7,1,1,158,336
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 24","Dungannon",23,40,16,92,4,3,2,180,416
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 25","Bancroft",14,44,16,89,2,5,1,171,373
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 26","Faraday",8,40,12,72,5,0,0,137,433
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 27","Faraday",Merged with No./Fusionné avec le n°28,,,,,,,,329
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 28","Faraday",27,65,29,136,7,4,8,276,391
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 29","Massanoga",23,29,6,44,2,4,0,108,273
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 30","Limerick",17,51,13,84,8,4,0,177,350
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 31","Tudor and Cashel",6,28,11,58,4,1,0,108,169
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 32","Tudor and Cashel",18,35,8,98,8,7,0,174,484
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 33","Northbrook",12,24,4,37,4,2,0,83,240
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 34","Northbrook",13,20,10,25,1,4,1,74,296
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 35","Queensborough",Merged with No./Fusionné avec le n°46,,,,,,,,215
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 36","Wollaston",26,52,25,94,5,10,3,215,425
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 37","Wollaston",20,55,17,70,5,6,3,176,421
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 38","Flinton",26,49,19,120,0,5,0,219,518
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 39","Kaladar",3,7,11,28,1,0,0,50,203
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 40","Actinolite",9,42,11,58,4,7,1,132,496
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 41","Bellheck",5,44,12,52,2,5,0,120,356
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 42","Tamworth",Merged with No./Fusionné avec le n°43,,,,,,,,303
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 43","Tamworth",19,72,26,80,2,4,0,203,328
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 44","Erinsville",8,94,22,92,3,9,0,228,482
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 45","Cooper",16,53,11,84,2,3,1,170,429
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 46","Eldorado",27,63,18,134,1,3,1,247,301
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 47","Eldorado",17,68,18,153,6,8,0,270,418
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 48","Madoc",7,67,19,129,3,6,3,234,528
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 49","Deloro",Merged with No./Fusionné avec le n°47,,,,,,,,321
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 50","Chippewa",19,58,22,110,3,2,0,214,362
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 51","Enterprise",15,39,17,87,3,2,0,163,300
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 52","Sulphide",19,62,19,74,7,5,0,186,336
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 53","Hungerford",11,92,18,125,7,9,0,262,405
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 54","Tweed",4,26,6,47,2,3,0,88,347
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 55","Cosy Cove",Merged with No./Fusionné avec le n°53,,,,,,,,394
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 56","Moscow",19,102,27,131,0,9,0,288,524
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 57","Marmora and Lake",16,53,30,98,4,8,1,210,544
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 58","Marmora and Lake",27,63,40,135,2,4,0,271,386
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 59","Marmora and Lake",Merged with No./Fusionné avec le n°58,,,,,,,,342
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 60","Tweed",8,48,5,62,2,5,0,130,399
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 61","Tweed",Merged with No./Fusionné avec le n°52,,,,,,,,307
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 62","Madoc",23,50,30,121,3,3,3,233,351
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 63","Deloro",Merged with No./Fusionné avec le n°62,,,,,,,,298
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 64","Madoc",20,36,26,62,6,3,2,155,476
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 65","Madoc",Merged with No./Fusionné avec le n°66,,,,,,,,369
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 66","Madoc",15,68,18,95,4,8,0,208,379
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 67","Madoc",Merged with No./Fusionné avec le n°68,,,,,,,,316
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 68","Centre Hastings",12,48,20,88,2,2,1,173,336
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 69","Marlbank",12,66,32,92,4,6,1,213,453
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 70","Colebrook",11,88,37,80,4,7,0,227,448
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 71","Yarker",25,125,65,139,1,11,1,367,438
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 72","Camden East",8,86,30,81,2,2,0,209,475
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 73","Thorpe",Merged with No./Fusionné avec le n°71,,,,,,,,423
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 74","Milsap",6,46,18,66,1,1,0,138,430
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 75","Stone Mills",10,58,34,71,3,5,0,181,492
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 76","Croydon",19,77,26,95,3,3,0,223,500
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 77","Greater Napanee",24,84,23,148,1,6,1,287,525
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 78","Tweed",7,56,11,75,6,5,0,160,357
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 79","Tweed",Merged with No./Fusionné avec le n°78,,,,,,,,334
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 80","Sugar Island",15,32,8,62,2,5,1,125,382
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 81","Tweed",6,36,14,41,1,4,0,102,375
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 82","Marmora",16,27,17,78,4,1,1,144,429
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 83","Marmora",11,33,18,74,7,7,0,150,471
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 84","Marmora and Lake",11,29,17,75,2,3,0,137,382
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 85","Marmora and Lake",11,37,21,93,3,1,0,166,384
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 86","Centre Hastings",Merged with No./Fusionné avec le n°87,,,,,,,,463
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 87","Huntingdon",22,98,59,222,16,10,0,427,516
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 88","Camden East",6,69,26,49,1,4,2,157,357
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 89","Newburgh",9,77,13,54,1,1,2,157,443
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 90","Strathcona",8,39,24,78,7,2,0,158,422
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 91","Switzerville",17,52,18,79,0,3,0,169,417
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 92","Thomasburg",16,74,20,97,2,1,1,211,454
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 93","Thomasburg",13,64,27,73,6,4,0,187,347
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 94","Wilton",22,85,63,129,2,8,2,311,470
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 95","Loyalist",30,78,50,99,2,7,1,267,774
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 96","Loyalist",14,50,26,80,0,3,1,174,521
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 97","Odessa",6,53,32,45,1,6,0,143,516
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 98","Violet",Merged with No./Fusionné avec le n°94,,,,,,,,368
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 99","Greater Napanee",10,37,21,90,0,2,0,160,426
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 100","Greater Napanee",9,54,21,100,0,2,2,188,451
