Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenni Michelle Le Forestier,Stephen McKendrick,Lisa Post,Samantha Sanchez,Kyle Seeback,Anthony Zambito,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35022,"Dufferin--Caledon/Dufferin--Caledon"," 178","Caledon",3,0,96,28,71,4,0,202,437
35022,"Dufferin--Caledon/Dufferin--Caledon"," 179","Caledon",6,0,110,36,116,13,1,282,566
35022,"Dufferin--Caledon/Dufferin--Caledon"," 180","Caledon",4,1,67,25,74,13,1,185,365
35022,"Dufferin--Caledon/Dufferin--Caledon"," 181","Caledon",7,1,119,18,104,6,1,256,542
35022,"Dufferin--Caledon/Dufferin--Caledon"," 182","Caledon",15,3,85,27,96,25,1,252,539
35022,"Dufferin--Caledon/Dufferin--Caledon"," 183","Caledon",14,0,67,23,161,15,2,282,556
35022,"Dufferin--Caledon/Dufferin--Caledon"," 184","Caledon",9,2,90,22,94,10,3,230,528
35022,"Dufferin--Caledon/Dufferin--Caledon"," 185","Caledon",11,1,92,28,130,10,1,273,590
35022,"Dufferin--Caledon/Dufferin--Caledon"," 500","Mobile poll/Bureau itinérant",2,0,11,1,8,0,1,23,23
35022,"Dufferin--Caledon/Dufferin--Caledon"," 501","Shelburne",Merged with No./Fusionné avec le n°18,,,,,,,,37
35022,"Dufferin--Caledon/Dufferin--Caledon"," 502","Mobile poll/Bureau itinérant",1,0,7,3,6,0,0,17,75
35022,"Dufferin--Caledon/Dufferin--Caledon"," 503","Orangeville",Merged with No./Fusionné avec le n°83,,,,,,,,85
35022,"Dufferin--Caledon/Dufferin--Caledon"," 504","Orangeville",Merged with No./Fusionné avec le n°81,,,,,,,,45
35022,"Dufferin--Caledon/Dufferin--Caledon"," 505","Orangeville",Merged with No./Fusionné avec le n°81,,,,,,,,156
35022,"Dufferin--Caledon/Dufferin--Caledon"," 506","Mobile poll/Bureau itinérant",1,0,9,3,15,0,0,28,32
35022,"Dufferin--Caledon/Dufferin--Caledon"," 507","Mobile poll/Bureau itinérant",3,3,19,5,20,0,4,54,112
35022,"Dufferin--Caledon/Dufferin--Caledon"," 508","Mobile poll/Bureau itinérant",0,0,5,1,2,0,2,10,14
