Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jonathan Cassels,Bardish Chagger,Patrick Doucette,Meghan Shannon,Karla Villagomez Fajardo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 1","Waterloo",10,97,6,74,9,0,196,499
35112,"Waterloo/Waterloo"," 2","Waterloo",34,115,9,106,5,6,275,772
35112,"Waterloo/Waterloo"," 3","Waterloo",Merged with No./Fusionné avec le n°7,,,,,,,120
35112,"Waterloo/Waterloo"," 4","Waterloo",33,88,8,40,7,0,176,436
35112,"Waterloo/Waterloo"," 5","Waterloo",21,94,7,63,7,1,193,485
35112,"Waterloo/Waterloo"," 6","Waterloo",25,62,5,58,2,2,154,403
35112,"Waterloo/Waterloo"," 7","Waterloo",31,86,7,71,3,0,198,363
35112,"Waterloo/Waterloo"," 8","Waterloo",42,97,20,55,5,0,219,492
35112,"Waterloo/Waterloo"," 9","Waterloo",34,74,8,78,3,3,200,498
35112,"Waterloo/Waterloo"," 10","Waterloo",17,83,15,84,6,0,205,463
35112,"Waterloo/Waterloo"," 11","Waterloo",21,84,5,62,6,0,178,399
35112,"Waterloo/Waterloo"," 12","Waterloo",43,104,11,52,6,2,218,476
35112,"Waterloo/Waterloo"," 13","Waterloo",29,65,10,48,2,0,154,394
35112,"Waterloo/Waterloo"," 14","Waterloo",68,95,14,70,11,4,262,661
35112,"Waterloo/Waterloo"," 15","Waterloo",Merged with No./Fusionné avec le n°16,,,,,,,363
35112,"Waterloo/Waterloo"," 16","Waterloo",33,143,9,126,8,1,320,417
35112,"Waterloo/Waterloo"," 17","Waterloo",17,91,12,86,6,0,212,441
35112,"Waterloo/Waterloo"," 18","Waterloo",22,44,10,94,8,0,178,473
35112,"Waterloo/Waterloo"," 19","Waterloo",20,57,11,55,6,0,149,415
35112,"Waterloo/Waterloo"," 20","Waterloo",27,83,6,69,10,2,197,374
35112,"Waterloo/Waterloo"," 21","Waterloo",36,105,11,91,2,2,247,341
35112,"Waterloo/Waterloo"," 22","Waterloo",Merged with No./Fusionné avec le n°21,,,,,,,298
35112,"Waterloo/Waterloo"," 23","Waterloo",31,43,16,38,2,1,131,474
35112,"Waterloo/Waterloo"," 24","Waterloo",21,80,7,58,5,0,171,426
35112,"Waterloo/Waterloo"," 25","Waterloo",21,67,3,46,2,0,139,302
35112,"Waterloo/Waterloo"," 26","Waterloo",22,89,5,43,8,0,167,365
35112,"Waterloo/Waterloo"," 27","Waterloo",30,67,11,37,1,1,147,368
35112,"Waterloo/Waterloo"," 28","Waterloo",35,68,15,21,4,0,143,352
35112,"Waterloo/Waterloo"," 29","Waterloo",26,65,6,42,4,1,144,393
35112,"Waterloo/Waterloo"," 30","Waterloo",43,63,13,47,7,0,173,505
35112,"Waterloo/Waterloo"," 31","Waterloo",40,105,18,57,5,1,226,526
35112,"Waterloo/Waterloo"," 32","Waterloo",27,72,11,36,9,0,155,383
35112,"Waterloo/Waterloo"," 33","Waterloo",38,95,20,70,19,0,242,600
35112,"Waterloo/Waterloo"," 34","Waterloo",26,67,22,53,11,0,179,497
35112,"Waterloo/Waterloo"," 35","Waterloo",29,76,6,54,3,1,169,467
35112,"Waterloo/Waterloo"," 36","Waterloo",44,59,8,41,4,2,158,457
35112,"Waterloo/Waterloo"," 37","Waterloo",19,60,8,55,1,0,143,374
35112,"Waterloo/Waterloo"," 38","Waterloo",20,69,8,33,2,0,132,396
35112,"Waterloo/Waterloo"," 39","Waterloo",36,66,8,52,0,2,164,424
35112,"Waterloo/Waterloo"," 40","Waterloo",Merged with No./Fusionné avec le n°41,,,,,,,373
35112,"Waterloo/Waterloo"," 41","Waterloo",69,123,14,62,7,1,276,350
35112,"Waterloo/Waterloo"," 42","Waterloo",36,57,19,37,9,0,158,378
35112,"Waterloo/Waterloo"," 43","Waterloo",Merged with No./Fusionné avec le n°128,,,,,,,391
35112,"Waterloo/Waterloo"," 44","Waterloo",51,78,17,30,12,2,190,497
35112,"Waterloo/Waterloo"," 45","Waterloo",55,50,6,29,6,0,146,473
35112,"Waterloo/Waterloo"," 46","Waterloo",46,58,14,35,5,1,159,450
35112,"Waterloo/Waterloo"," 47","Waterloo",39,53,16,36,7,0,151,508
35112,"Waterloo/Waterloo"," 48","Waterloo",39,49,4,44,6,0,142,444
35112,"Waterloo/Waterloo"," 49","Waterloo",25,66,11,58,8,3,171,385
35112,"Waterloo/Waterloo"," 50","Waterloo",31,60,4,43,0,0,138,344
35112,"Waterloo/Waterloo"," 51","Waterloo",35,73,8,76,10,2,204,450
35112,"Waterloo/Waterloo"," 52","Waterloo",45,77,10,51,10,0,193,414
35112,"Waterloo/Waterloo"," 53","Kitchener",21,73,8,103,8,1,214,593
35112,"Waterloo/Waterloo"," 54","Kitchener",19,76,7,59,1,0,162,455
35112,"Waterloo/Waterloo"," 55","Kitchener",32,132,15,80,6,1,266,636
35112,"Waterloo/Waterloo"," 56","Kitchener",25,38,20,43,13,1,140,411
35112,"Waterloo/Waterloo"," 57","Waterloo",50,68,19,63,5,1,206,543
35112,"Waterloo/Waterloo"," 58","Waterloo",50,86,22,45,7,2,212,471
35112,"Waterloo/Waterloo"," 59","Waterloo",22,52,8,47,2,3,134,433
35112,"Waterloo/Waterloo"," 60","Waterloo",28,59,1,55,6,2,151,436
35112,"Waterloo/Waterloo"," 61","Waterloo",24,87,8,39,4,2,164,539
35112,"Waterloo/Waterloo"," 62","Kitchener",52,100,16,75,11,0,254,565
35112,"Waterloo/Waterloo"," 63","Kitchener",49,72,18,75,10,1,225,441
35112,"Waterloo/Waterloo"," 64","Kitchener",58,86,28,98,8,1,279,485
35112,"Waterloo/Waterloo"," 65","Kitchener",58,81,25,93,16,3,276,533
35112,"Waterloo/Waterloo"," 66","Waterloo",27,56,8,47,1,1,140,421
35112,"Waterloo/Waterloo"," 67","Waterloo",42,63,15,51,6,2,179,521
35112,"Waterloo/Waterloo"," 68","Waterloo",28,42,17,36,3,0,126,394
35112,"Waterloo/Waterloo"," 69","Kitchener",31,64,11,36,9,1,152,367
35112,"Waterloo/Waterloo"," 70","Waterloo",30,93,9,56,8,0,196,433
35112,"Waterloo/Waterloo"," 71","Waterloo",24,100,7,59,3,0,193,423
