Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nicholas Clayton,Terry Dowdall,Lucas Gillies,Adam Minatel,Bren Munro,Ken Stouffer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe--Grey/Simcoe--Grey"," 63","Wasaga Beach",10,92,49,27,75,0,2,255,885
35099,"Simcoe--Grey/Simcoe--Grey"," 64","Wasaga Beach",4,56,28,3,62,0,0,153,528
35099,"Simcoe--Grey/Simcoe--Grey"," 65","Wasaga Beach",2,59,24,9,42,0,0,136,533
35099,"Simcoe--Grey/Simcoe--Grey"," 66","Wasaga Beach",3,48,15,11,36,0,0,113,405
35099,"Simcoe--Grey/Simcoe--Grey"," 67","Wasaga Beach",5,41,30,9,49,1,2,137,448
35099,"Simcoe--Grey/Simcoe--Grey"," 68","Wasaga Beach",2,61,35,6,65,0,0,169,659
35099,"Simcoe--Grey/Simcoe--Grey"," 69","Wasaga Beach",11,69,50,10,51,0,0,191,684
35099,"Simcoe--Grey/Simcoe--Grey"," 70","Wasaga Beach",6,88,36,26,60,2,1,219,403
35099,"Simcoe--Grey/Simcoe--Grey"," 71","Wasaga Beach",Merged with No./Fusionné avec le n°70,,,,,,,,392
35099,"Simcoe--Grey/Simcoe--Grey"," 72","Wasaga Beach",6,81,20,9,46,1,0,163,602
35099,"Simcoe--Grey/Simcoe--Grey"," 73","Wasaga Beach",7,86,30,8,60,0,0,191,731
35099,"Simcoe--Grey/Simcoe--Grey"," 74","Wasaga Beach",2,39,22,7,29,0,0,99,460
35099,"Simcoe--Grey/Simcoe--Grey"," 75","Wasaga Beach",3,42,22,11,37,0,0,115,454
35099,"Simcoe--Grey/Simcoe--Grey"," 76","Wasaga Beach",4,49,20,31,51,0,1,156,655
35099,"Simcoe--Grey/Simcoe--Grey"," 77","Wasaga Beach",8,49,25,22,32,0,0,136,556
35099,"Simcoe--Grey/Simcoe--Grey"," 78","Wasaga Beach",13,136,57,21,65,2,0,294,504
35099,"Simcoe--Grey/Simcoe--Grey"," 79","Wasaga Beach",Merged with No./Fusionné avec le n°81,,,,,,,,461
35099,"Simcoe--Grey/Simcoe--Grey"," 80","Wasaga Beach",Merged with No./Fusionné avec le n°78,,,,,,,,499
35099,"Simcoe--Grey/Simcoe--Grey"," 81","Wasaga Beach",4,131,45,19,57,1,1,258,513
35099,"Simcoe--Grey/Simcoe--Grey"," 82","Wasaga Beach",Merged with No./Fusionné avec le n°87,,,,,,,,423
35099,"Simcoe--Grey/Simcoe--Grey"," 83","Wasaga Beach",Merged with No./Fusionné avec le n°86,,,,,,,,372
35099,"Simcoe--Grey/Simcoe--Grey"," 84","Wasaga Beach",7,163,49,15,112,1,3,350,469
35099,"Simcoe--Grey/Simcoe--Grey"," 85","Wasaga Beach",Merged with No./Fusionné avec le n°84,,,,,,,,380
35099,"Simcoe--Grey/Simcoe--Grey"," 86","Wasaga Beach",5,126,57,7,98,2,1,296,526
35099,"Simcoe--Grey/Simcoe--Grey"," 87","Wasaga Beach",14,106,40,26,60,1,1,248,430
35099,"Simcoe--Grey/Simcoe--Grey"," 88","Wasaga Beach",5,46,11,10,17,0,1,90,346
35099,"Simcoe--Grey/Simcoe--Grey"," 89","Wasaga Beach",5,42,24,13,36,0,1,121,535
35099,"Simcoe--Grey/Simcoe--Grey"," 90","Wasaga Beach",3,57,42,10,32,3,0,147,507
35099,"Simcoe--Grey/Simcoe--Grey"," 91","Wasaga Beach",2,53,24,19,38,1,0,137,570
35099,"Simcoe--Grey/Simcoe--Grey"," 92","Wasaga Beach",6,62,31,11,39,0,1,150,510
35099,"Simcoe--Grey/Simcoe--Grey"," 93","Wasaga Beach",10,34,18,13,50,0,3,128,400
35099,"Simcoe--Grey/Simcoe--Grey"," 94","Wasaga Beach",13,66,31,15,45,1,2,173,647
35099,"Simcoe--Grey/Simcoe--Grey"," 95","Wasaga Beach",6,64,26,18,41,1,0,156,523
35099,"Simcoe--Grey/Simcoe--Grey"," 96","Wasaga Beach",4,35,18,4,30,2,1,94,477
35099,"Simcoe--Grey/Simcoe--Grey"," 97","Wasaga Beach",11,49,25,7,51,0,1,144,530
35099,"Simcoe--Grey/Simcoe--Grey"," 98","Wasaga Beach",4,71,24,17,39,0,2,157,476
35099,"Simcoe--Grey/Simcoe--Grey"," 99","Wasaga Beach",10,105,38,22,49,0,0,224,736
35099,"Simcoe--Grey/Simcoe--Grey"," 100","Wasaga Beach",19,158,27,20,70,1,3,298,486
35099,"Simcoe--Grey/Simcoe--Grey"," 101","Clearview",17,115,21,16,57,0,0,226,425
35099,"Simcoe--Grey/Simcoe--Grey"," 102","Clearview",12,100,19,7,63,0,0,201,450
35099,"Simcoe--Grey/Simcoe--Grey"," 103","Clearview",8,82,24,22,34,1,1,172,352
35099,"Simcoe--Grey/Simcoe--Grey"," 104","Clearview",9,79,20,13,75,4,0,200,342
35099,"Simcoe--Grey/Simcoe--Grey"," 105","Clearview",13,76,23,20,49,0,1,182,382
35099,"Simcoe--Grey/Simcoe--Grey"," 106","Clearview",14,147,59,30,51,0,0,301,444
35099,"Simcoe--Grey/Simcoe--Grey"," 107","Clearview",9,56,36,12,40,0,2,155,493
35099,"Simcoe--Grey/Simcoe--Grey"," 108","Clearview",8,95,39,7,37,2,0,188,521
35099,"Simcoe--Grey/Simcoe--Grey"," 109","Clearview",Merged with No./Fusionné avec le n°111,,,,,,,,406
35099,"Simcoe--Grey/Simcoe--Grey"," 110","Clearview",Merged with No./Fusionné avec le n°106,,,,,,,,411
35099,"Simcoe--Grey/Simcoe--Grey"," 111","Clearview",15,138,51,34,55,0,2,295,481
35099,"Simcoe--Grey/Simcoe--Grey"," 112","Clearview",8,101,35,15,41,3,3,206,370
35099,"Simcoe--Grey/Simcoe--Grey"," 113","Clearview",1,66,30,11,22,1,1,132,369
35099,"Simcoe--Grey/Simcoe--Grey"," 114","Clearview",13,100,42,24,36,0,2,217,610
35099,"Simcoe--Grey/Simcoe--Grey"," 115","Clearview--Jack Lake",Merged with No./Fusionné avec le n°100,,,,,,,,327
35099,"Simcoe--Grey/Simcoe--Grey"," 116","Clearview--Sunnidale",Merged with No./Fusionné avec le n°112,,,,,,,,238
35099,"Simcoe--Grey/Simcoe--Grey"," 117","Clearview",Merged with No./Fusionné avec le n°122,,,,,,,,419
35099,"Simcoe--Grey/Simcoe--Grey"," 118","Clearview",Merged with No./Fusionné avec le n°121,,,,,,,,348
35099,"Simcoe--Grey/Simcoe--Grey"," 119","Clearview",3,151,50,28,45,3,0,280,432
35099,"Simcoe--Grey/Simcoe--Grey"," 120","Clearview",Merged with No./Fusionné avec le n°119,,,,,,,,389
35099,"Simcoe--Grey/Simcoe--Grey"," 121","Clearview",15,156,35,24,53,0,1,284,463
35099,"Simcoe--Grey/Simcoe--Grey"," 122","Clearview",14,174,34,29,49,4,0,304,420
35099,"Simcoe--Grey/Simcoe--Grey"," 123","Clearview",13,84,31,7,47,0,3,185,471
35099,"Simcoe--Grey/Simcoe--Grey"," 124","Clearview",23,94,34,17,61,1,1,231,358
35099,"Simcoe--Grey/Simcoe--Grey"," 125","Clearview",Merged with No./Fusionné avec le n°126,,,,,,,,257
35099,"Simcoe--Grey/Simcoe--Grey"," 126","Clearview",22,139,40,21,40,0,1,263,388
35099,"Simcoe--Grey/Simcoe--Grey"," 127","Clearview",Merged with No./Fusionné avec le n°124,,,,,,,,293
35099,"Simcoe--Grey/Simcoe--Grey"," 128","Clearview",13,68,17,5,27,0,0,130,301
35099,"Simcoe--Grey/Simcoe--Grey"," 129","Clearview",15,59,19,7,34,0,0,134,295
35099,"Simcoe--Grey/Simcoe--Grey"," 130","Clearview",9,67,10,12,22,2,1,123,319
35099,"Simcoe--Grey/Simcoe--Grey"," 131","Essa",Merged with No./Fusionné avec le n°155,,,,,,,,384
35099,"Simcoe--Grey/Simcoe--Grey"," 132","Essa",2,97,37,23,40,2,0,201,612
35099,"Simcoe--Grey/Simcoe--Grey"," 133","Essa",Merged with No./Fusionné avec le n°134,,,,,,,,339
35099,"Simcoe--Grey/Simcoe--Grey"," 134","Essa",9,111,45,14,30,0,2,211,356
35099,"Simcoe--Grey/Simcoe--Grey"," 135","Essa",Merged with No./Fusionné avec le n°137,,,,,,,,351
35099,"Simcoe--Grey/Simcoe--Grey"," 136","Essa",Merged with No./Fusionné avec le n°140,,,,,,,,340
35099,"Simcoe--Grey/Simcoe--Grey"," 137","Essa",12,112,36,19,43,2,3,227,350
35099,"Simcoe--Grey/Simcoe--Grey"," 138","Essa",7,112,55,12,39,0,3,228,449
35099,"Simcoe--Grey/Simcoe--Grey"," 139","Essa",7,97,38,21,33,1,0,197,516
35099,"Simcoe--Grey/Simcoe--Grey"," 140","Essa",13,109,47,24,51,1,0,245,433
35099,"Simcoe--Grey/Simcoe--Grey"," 141","Essa",6,126,58,28,32,0,1,251,405
35099,"Simcoe--Grey/Simcoe--Grey"," 142","Essa",Merged with No./Fusionné avec le n°141,,,,,,,,400
35099,"Simcoe--Grey/Simcoe--Grey"," 143","Essa",3,84,32,10,11,0,2,142,434
35099,"Simcoe--Grey/Simcoe--Grey"," 144","Essa",Merged with No./Fusionné avec le n°153,,,,,,,,366
35099,"Simcoe--Grey/Simcoe--Grey"," 145","Essa",5,112,46,22,43,0,4,232,706
35099,"Simcoe--Grey/Simcoe--Grey"," 146","Essa",1,115,29,15,42,2,1,205,610
35099,"Simcoe--Grey/Simcoe--Grey"," 147","Essa",Merged with No./Fusionné avec le n°149,,,,,,,,344
35099,"Simcoe--Grey/Simcoe--Grey"," 148","Essa",0,137,43,17,49,1,1,248,705
35099,"Simcoe--Grey/Simcoe--Grey"," 149","Essa",8,141,36,32,67,1,3,288,547
35099,"Simcoe--Grey/Simcoe--Grey"," 150","Essa",3,85,29,13,31,1,3,165,520
35099,"Simcoe--Grey/Simcoe--Grey"," 151","Essa",Merged with No./Fusionné avec le n°138,,,,,,,,221
35099,"Simcoe--Grey/Simcoe--Grey"," 152","Essa",Merged with No./Fusionné avec le n°154,,,,,,,,391
35099,"Simcoe--Grey/Simcoe--Grey"," 153","Essa",10,161,51,21,61,1,2,307,545
35099,"Simcoe--Grey/Simcoe--Grey"," 154","Essa",6,131,52,31,58,2,2,282,535
35099,"Simcoe--Grey/Simcoe--Grey"," 155","Essa",12,136,54,39,58,3,0,302,545
35099,"Simcoe--Grey/Simcoe--Grey"," 156","Essa",Merged with No./Fusionné avec le n°158,,,,,,,,335
35099,"Simcoe--Grey/Simcoe--Grey"," 157","Essa",11,135,38,28,45,2,2,261,348
35099,"Simcoe--Grey/Simcoe--Grey"," 158","Essa",14,148,45,31,52,0,3,293,377
35099,"Simcoe--Grey/Simcoe--Grey"," 159","Essa",Merged with No./Fusionné avec le n°157,,,,,,,,338
35099,"Simcoe--Grey/Simcoe--Grey"," 160","Essa",Merged with No./Fusionné avec le n°161,,,,,,,,378
35099,"Simcoe--Grey/Simcoe--Grey"," 161","Essa",11,134,31,19,72,6,0,273,401
35099,"Simcoe--Grey/Simcoe--Grey"," 162","Essa",Merged with No./Fusionné avec le n°163,,,,,,,,370
35099,"Simcoe--Grey/Simcoe--Grey"," 163","Essa",15,176,35,17,64,3,0,310,414
35099,"Simcoe--Grey/Simcoe--Grey"," 164","Essa",5,74,15,13,17,0,0,124,352
35099,"Simcoe--Grey/Simcoe--Grey"," 165","Essa",3,62,6,5,19,2,0,97,327
35099,"Simcoe--Grey/Simcoe--Grey"," 166","Essa",9,150,37,26,49,0,3,274,401
35099,"Simcoe--Grey/Simcoe--Grey"," 167","Essa",15,146,39,20,53,1,4,278,362
35099,"Simcoe--Grey/Simcoe--Grey"," 168","Essa",Merged with No./Fusionné avec le n°167,,,,,,,,339
35099,"Simcoe--Grey/Simcoe--Grey"," 169","Essa",7,76,22,12,25,1,0,143,323
35099,"Simcoe--Grey/Simcoe--Grey"," 170","Essa",Merged with No./Fusionné avec le n°166,,,,,,,,316
35099,"Simcoe--Grey/Simcoe--Grey"," 171","Essa",0,84,11,17,21,0,0,133,397
35099,"Simcoe--Grey/Simcoe--Grey"," 172","Essa",3,74,12,11,11,0,0,111,298
35099,"Simcoe--Grey/Simcoe--Grey"," 173","Adjala-Tosorontio",7,72,24,9,21,0,2,135,354
35099,"Simcoe--Grey/Simcoe--Grey"," 174","Adjala-Tosorontio",5,70,20,7,29,0,2,133,380
35099,"Simcoe--Grey/Simcoe--Grey"," 175","Adjala-Tosorontio",7,108,27,10,35,1,0,188,425
35099,"Simcoe--Grey/Simcoe--Grey"," 176","Adjala-Tosorontio",Merged with No./Fusionné avec le n°184,,,,,,,,342
35099,"Simcoe--Grey/Simcoe--Grey"," 177","Adjala-Tosorontio",Merged with No./Fusionné avec le n°182,,,,,,,,369
35099,"Simcoe--Grey/Simcoe--Grey"," 178","Adjala-Tosorontio",Merged with No./Fusionné avec le n°179,,,,,,,,331
35099,"Simcoe--Grey/Simcoe--Grey"," 179","Adjala-Tosorontio",13,188,44,22,35,2,0,304,450
35099,"Simcoe--Grey/Simcoe--Grey"," 180","Adjala-Tosorontio",12,207,52,20,51,2,3,347,332
35099,"Simcoe--Grey/Simcoe--Grey"," 181","Adjala-Tosorontio",Merged with No./Fusionné avec le n°180,,,,,,,,250
35099,"Simcoe--Grey/Simcoe--Grey"," 182","Adjala-Tosorontio",6,161,38,16,69,3,1,294,424
35099,"Simcoe--Grey/Simcoe--Grey"," 183","Adjala-Tosorontio",Merged with No./Fusionné avec le n°180,,,,,,,,282
35099,"Simcoe--Grey/Simcoe--Grey"," 184","Adjala-Tosorontio",11,139,30,25,56,3,0,264,415
35099,"Simcoe--Grey/Simcoe--Grey"," 185","Adjala-Tosorontio",Merged with No./Fusionné avec le n°188,,,,,,,,290
35099,"Simcoe--Grey/Simcoe--Grey"," 186","Adjala-Tosorontio",12,124,33,22,51,0,0,242,353
35099,"Simcoe--Grey/Simcoe--Grey"," 187","Adjala-Tosorontio",Merged with No./Fusionné avec le n°186,,,,,,,,311
35099,"Simcoe--Grey/Simcoe--Grey"," 188","Adjala-Tosorontio",6,144,26,24,35,2,0,237,367
35099,"Simcoe--Grey/Simcoe--Grey"," 189","Adjala-Tosorontio",2,70,11,5,21,2,0,111,332
35099,"Simcoe--Grey/Simcoe--Grey"," 190","Adjala-Tosorontio",14,127,25,15,69,1,0,251,388
35099,"Simcoe--Grey/Simcoe--Grey"," 191","Adjala-Tosorontio",21,116,29,29,54,0,2,251,513
35099,"Simcoe--Grey/Simcoe--Grey"," 192","Adjala-Tosorontio",13,106,47,17,70,4,1,258,402
35099,"Simcoe--Grey/Simcoe--Grey"," 193","Adjala-Tosorontio",4,143,25,21,72,1,2,268,387
35099,"Simcoe--Grey/Simcoe--Grey"," 194","Adjala-Tosorontio",Merged with No./Fusionné avec le n°192,,,,,,,,352
35099,"Simcoe--Grey/Simcoe--Grey"," 195","Adjala-Tosorontio",Merged with No./Fusionné avec le n°191,,,,,,,,166
35099,"Simcoe--Grey/Simcoe--Grey"," 196","Adjala-Tosorontio",Merged with No./Fusionné avec le n°190,,,,,,,,370
35099,"Simcoe--Grey/Simcoe--Grey"," 197","Adjala-Tosorontio",Merged with No./Fusionné avec le n°193,,,,,,,,346
35099,"Simcoe--Grey/Simcoe--Grey"," 198","New Tecumseth",8,68,32,21,68,1,1,199,545
35099,"Simcoe--Grey/Simcoe--Grey"," 199","New Tecumseth",Merged with No./Fusionné avec le n°200,,,,,,,,310
35099,"Simcoe--Grey/Simcoe--Grey"," 200","New Tecumseth",9,113,67,23,77,6,0,295,486
35099,"Simcoe--Grey/Simcoe--Grey"," 201","New Tecumseth",7,64,42,17,50,0,1,181,533
35099,"Simcoe--Grey/Simcoe--Grey"," 202","New Tecumseth",Merged with No./Fusionné avec le n°220,,,,,,,,436
35099,"Simcoe--Grey/Simcoe--Grey"," 203","New Tecumseth",6,152,33,21,107,1,0,320,865
35099,"Simcoe--Grey/Simcoe--Grey"," 204","New Tecumseth",Merged with No./Fusionné avec le n°216,,,,,,,,427
35099,"Simcoe--Grey/Simcoe--Grey"," 205","New Tecumseth",4,76,16,17,53,1,0,167,479
35099,"Simcoe--Grey/Simcoe--Grey"," 206","New Tecumseth",5,87,38,9,44,0,0,183,529
35099,"Simcoe--Grey/Simcoe--Grey"," 207","New Tecumseth",4,66,24,10,16,1,0,121,321
35099,"Simcoe--Grey/Simcoe--Grey"," 208","New Tecumseth",2,78,18,12,46,1,0,157,445
35099,"Simcoe--Grey/Simcoe--Grey"," 209","New Tecumseth",2,39,16,6,19,2,1,85,355
35099,"Simcoe--Grey/Simcoe--Grey"," 210","New Tecumseth",5,66,23,8,38,1,1,142,483
35099,"Simcoe--Grey/Simcoe--Grey"," 211","New Tecumseth",19,145,67,25,54,3,3,316,546
35099,"Simcoe--Grey/Simcoe--Grey"," 212","New Tecumseth",Merged with No./Fusionné avec le n°211,,,,,,,,373
35099,"Simcoe--Grey/Simcoe--Grey"," 213","New Tecumseth",6,113,44,18,90,2,2,275,538
35099,"Simcoe--Grey/Simcoe--Grey"," 214","New Tecumseth",Merged with No./Fusionné avec le n°213,,,,,,,,310
35099,"Simcoe--Grey/Simcoe--Grey"," 215","New Tecumseth",Merged with No./Fusionné avec le n°232,,,,,,,,377
35099,"Simcoe--Grey/Simcoe--Grey"," 216","New Tecumseth",15,115,44,39,75,2,1,291,484
35099,"Simcoe--Grey/Simcoe--Grey"," 217","New Tecumseth",12,147,65,29,64,2,1,320,497
35099,"Simcoe--Grey/Simcoe--Grey"," 218","New Tecumseth",8,46,39,19,23,1,2,138,444
35099,"Simcoe--Grey/Simcoe--Grey"," 219","New Tecumseth",9,71,38,23,40,1,3,185,646
35099,"Simcoe--Grey/Simcoe--Grey"," 220","New Tecumseth",10,123,42,27,71,5,1,279,465
35099,"Simcoe--Grey/Simcoe--Grey"," 221","New Tecumseth",Merged with No./Fusionné avec le n°223,,,,,,,,388
35099,"Simcoe--Grey/Simcoe--Grey"," 222","New Tecumseth",Merged with No./Fusionné avec le n°226,,,,,,,,368
35099,"Simcoe--Grey/Simcoe--Grey"," 223","New Tecumseth",4,78,22,11,72,3,0,190,478
35099,"Simcoe--Grey/Simcoe--Grey"," 224","New Tecumseth",2,85,26,9,130,1,0,253,472
35099,"Simcoe--Grey/Simcoe--Grey"," 225","New Tecumseth",7,113,34,12,70,1,1,238,485
35099,"Simcoe--Grey/Simcoe--Grey"," 226","New Tecumseth",8,96,25,12,99,1,1,242,609
35099,"Simcoe--Grey/Simcoe--Grey"," 227","New Tecumseth",Merged with No./Fusionné avec le n°230,,,,,,,,379
35099,"Simcoe--Grey/Simcoe--Grey"," 228","New Tecumseth",11,131,44,35,117,5,3,346,986
35099,"Simcoe--Grey/Simcoe--Grey"," 229","New Tecumseth",Merged with No./Fusionné avec le n°224,,,,,,,,434
35099,"Simcoe--Grey/Simcoe--Grey"," 230","New Tecumseth",4,90,31,18,105,0,1,249,494
35099,"Simcoe--Grey/Simcoe--Grey"," 231","New Tecumseth",Merged with No./Fusionné avec le n°225,,,,,,,,374
35099,"Simcoe--Grey/Simcoe--Grey"," 232","New Tecumseth",10,133,49,29,68,2,1,292,501
35099,"Simcoe--Grey/Simcoe--Grey"," 233","New Tecumseth",Merged with No./Fusionné avec le n°217,,,,,,,,487
35099,"Simcoe--Grey/Simcoe--Grey"," 234","New Tecumseth",11,110,63,26,63,0,2,275,784
35099,"Simcoe--Grey/Simcoe--Grey"," 235","New Tecumseth",3,55,14,11,24,2,0,109,338
35099,"Simcoe--Grey/Simcoe--Grey"," 236","New Tecumseth",Merged with No./Fusionné avec le n°237,,,,,,,,393
35099,"Simcoe--Grey/Simcoe--Grey"," 237","New Tecumseth",10,87,30,14,44,0,0,185,467
35099,"Simcoe--Grey/Simcoe--Grey"," 238","New Tecumseth",8,73,25,14,42,0,1,163,329
35099,"Simcoe--Grey/Simcoe--Grey"," 239","New Tecumseth",Merged with No./Fusionné avec le n°245,,,,,,,,438
35099,"Simcoe--Grey/Simcoe--Grey"," 240","New Tecumseth",7,101,13,25,52,0,0,198,500
