Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Benoit,Pierre Bournaki,Marc Gagnon,André Lafrance,Patrick O'Hara,Frédéric Olivier,Brenda Shanahan,Hannah Wolker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 174","Saint-Urbain-Premier",11,40,1,2,83,9,59,20,11,236,358
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 175","Saint-Urbain-Premier",4,27,0,2,111,3,55,15,2,219,348
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 176","Saint-Urbain-Premier",6,19,3,1,87,1,52,12,0,181,338
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 177","Sherrington",7,35,2,5,69,4,59,6,5,192,296
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 178","Sherrington",6,23,1,0,49,2,47,4,3,135,259
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 179","Sherrington",11,29,2,1,59,4,43,8,2,159,313
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 180","Sherrington",3,17,2,0,67,4,61,8,6,168,311
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 181","Sherrington",6,51,2,0,64,6,51,14,5,199,350
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 182","Sainte-Clotilde-de-Châteauguay",17,28,1,1,69,2,47,9,5,179,469
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 183","Sainte-Clotilde-de-Châteauguay",12,33,1,3,71,4,43,20,8,195,486
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 184","Sainte-Clotilde-de-Châteauguay",11,17,5,2,39,4,30,8,6,122,326
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 185","Sainte-Clotilde-de-Châteauguay",13,14,0,0,45,3,28,7,3,113,284
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 186","Saint-Bernard-de-Lacolle",6,19,2,1,55,0,27,8,1,119,311
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 187","Saint-Bernard-de-Lacolle",3,19,2,6,48,10,45,9,2,144,373
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 188","Saint-Bernard-de-Lacolle",9,26,1,4,42,4,30,8,4,128,308
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 189","Saint-Bernard-de-Lacolle",12,9,0,4,24,1,39,17,0,106,285
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 500","Mobile poll/Bureau itinérant",0,5,1,0,19,0,28,2,7,62,32
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 501","Mobile poll/Bureau itinérant",3,12,1,0,15,3,51,1,7,93,125
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,,57
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17,,,,,,,,,,18
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 504","Mobile poll/Bureau itinérant",0,1,0,1,0,0,2,0,2,6,22
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 505","Mobile poll/Bureau itinérant",0,16,2,3,38,0,65,0,8,132,56
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,,,59
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,,,81
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 508","Mobile poll/Bureau itinérant",1,12,0,5,29,1,45,2,12,107,112
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,,,,34
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 510","Mobile poll/Bureau itinérant",0,0,1,1,5,0,16,0,0,23,77
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,,8
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 512","Mobile poll/Bureau itinérant",0,0,0,2,3,1,11,0,1,18,98
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 513","Mobile poll/Bureau itinérant",1,0,0,1,17,0,8,0,1,28,38
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 514","Mobile poll/Bureau itinérant",1,8,1,4,21,1,54,0,4,94,139
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 515","Mobile poll/Bureau itinérant",1,7,1,2,8,1,25,2,3,50,46
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°515,,,,,,,,,,22
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 517","Sainte-Clotilde-de-Châteauguay",Merged with No./Fusionné avec le n°184,,,,,,,,,,6
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 518","Mobile poll/Bureau itinérant",0,6,1,3,7,1,21,2,2,43,65
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 519","Saint-Bernard-de-Lacolle",Merged with No./Fusionné avec le n°188,,,,,,,,,,7
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 520","Saint-Rémi",Merged with No./Fusionné avec le n°142,,,,,,,,,,11
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 521","Saint-Isidore",Merged with No./Fusionné avec le n°112,,,,,,,,,,2
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 522","Mobile poll/Bureau itinérant",1,14,1,3,47,0,101,3,14,184,271
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°515,,,,,,,,,,21
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 524","Saint-Isidore",Merged with No./Fusionné avec le n°112,,,,,,,,,,1
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 525","Saint-Isidore",Merged with No./Fusionné avec le n°115,,,,,,,,,,2
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 600","Léry",9,64,0,4,284,2,160,23,12,558,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 601","Châteauguay",34,90,4,5,310,8,297,41,15,804,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 602","Châteauguay",28,114,2,4,241,15,509,52,10,975,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 603","Châteauguay",25,136,5,11,274,14,566,73,14,1118,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 604","Châteauguay",27,124,5,3,386,13,439,52,22,1071,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 605","Châteauguay",31,66,1,4,238,7,396,71,14,828,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 606","Châteauguay",26,76,4,4,259,5,418,63,15,870,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 607","Mercier",28,136,4,5,581,15,386,56,18,1229,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 608","Châteauguay",22,61,1,2,209,7,236,23,11,572,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 609","Mercier",24,91,4,9,593,8,341,48,18,1136,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 610","Sainte-Martine",33,145,5,17,561,13,332,53,29,1188,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 611","Sainte-Clotilde-de-Châteauguay",21,67,3,8,136,9,123,7,4,378,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 612","Saint-Isidore",8,31,2,7,150,1,82,8,8,297,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 613","Saint-Rémi",35,174,6,10,647,17,434,51,35,1409,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 614","Saint-Michel",22,76,3,4,265,13,158,17,0,558,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 615","Saint-Jacques-le-Mineur--Saint-Édouard",11,71,6,3,222,5,175,21,4,518,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 616","Napierville",17,113,0,5,232,4,199,30,10,610,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 617","Napierville",15,127,6,8,291,11,204,27,13,702,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 618","Saint-Bernard-de-Lacolle",17,84,3,16,172,7,140,20,5,464,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle",,Group 1/Groupe 1, 6,23,1,2,41,4,64,25,4,170,62
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle",,Group 2/Groupe 2, 27,133,4,6,547,15,775,96,72,1675,
