Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Benoit,Pierre Bournaki,Marc Gagnon,André Lafrance,Patrick O'Hara,Frédéric Olivier,Brenda Shanahan,Hannah Wolker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 99","Mercier",6,16,1,1,68,5,38,14,2,151,425
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 100","Châteauguay",19,15,0,4,73,1,59,25,5,201,420
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 101","Châteauguay",11,12,1,1,82,3,82,16,3,211,488
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 102","Châteauguay",8,20,3,4,98,8,121,22,7,291,852
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 103","Châteauguay",8,18,1,0,55,4,81,14,5,186,449
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 104","Châteauguay",13,11,2,0,46,3,95,28,2,200,542
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 105","Châteauguay",7,14,2,3,71,5,87,20,4,213,428
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 106","Châteauguay",10,18,1,0,77,0,73,19,3,201,508
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 107","Châteauguay",3,9,1,2,43,2,95,14,2,171,434
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 108","Châteauguay",7,28,1,2,58,1,80,16,2,195,489
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 109","Châteauguay",4,15,0,1,57,3,69,11,2,162,394
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 110","Châteauguay",14,28,0,3,89,3,103,18,3,261,646
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 111","Saint-Isidore",6,14,3,1,86,2,31,13,0,156,287
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 112","Saint-Isidore",4,17,1,1,65,2,39,11,6,146,349
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 113","Saint-Isidore",9,22,4,1,78,4,49,13,1,181,358
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 114","Saint-Isidore",4,14,3,2,132,1,45,9,3,213,362
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 115","Saint-Isidore",3,47,0,2,141,3,69,25,3,293,512
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 116","Saint-Isidore",6,16,3,0,66,4,45,8,4,152,310
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 117","Mercier",4,17,0,3,79,2,43,20,2,170,410
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 118","Mercier",3,19,2,2,76,1,69,10,2,184,498
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 119","Mercier",5,15,1,4,64,3,41,17,5,155,455
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 120","Mercier",4,9,0,2,72,0,31,15,4,137,428
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 121","Mercier",14,15,1,3,79,2,33,11,4,162,415
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 122","Mercier",8,18,3,4,73,3,65,10,3,187,469
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 123","Mercier",2,16,1,1,60,2,52,12,3,149,410
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 124","Mercier",4,19,1,0,83,3,64,24,4,202,570
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 125","Mercier",1,21,2,0,83,10,38,12,5,172,400
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 126","Saint-Édouard",8,17,0,2,57,3,30,10,2,129,324
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 127","Saint-Édouard",0,17,1,0,85,2,31,8,5,149,337
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 128","Saint-Édouard",5,19,3,3,72,3,41,6,3,155,379
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 129","Saint-Rémi",7,29,0,6,83,1,55,32,4,217,586
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 130","Saint-Rémi",6,22,2,2,111,12,74,25,8,262,629
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 131","Saint-Rémi",4,24,1,7,82,1,39,12,8,178,459
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 132","Saint-Rémi",3,25,3,1,68,4,53,11,7,175,469
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 133","Saint-Rémi",6,17,2,0,98,3,54,15,5,200,457
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 134","Saint-Rémi",1,16,0,0,76,2,39,4,3,141,358
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 135","Saint-Rémi",12,35,5,3,123,3,52,15,10,258,718
