Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Erin Hidlebaugh,Michael Kram,Victor Lau,Sean McEachern,Mario Milanovski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47009,"Regina--Wascana/Regina--Wascana"," 1","Regina",35,95,2,30,12,0,174,499
47009,"Regina--Wascana/Regina--Wascana"," 2","Regina",19,68,1,10,5,0,103,334
47009,"Regina--Wascana/Regina--Wascana"," 3","Regina",21,56,2,24,0,0,103,348
47009,"Regina--Wascana/Regina--Wascana"," 4","Regina",22,69,1,19,5,1,117,421
47009,"Regina--Wascana/Regina--Wascana"," 5","Regina",28,69,2,24,5,1,129,498
47009,"Regina--Wascana/Regina--Wascana"," 6","Regina",17,57,3,15,9,2,103,332
47009,"Regina--Wascana/Regina--Wascana"," 7","Regina",32,61,7,16,3,0,119,369
47009,"Regina--Wascana/Regina--Wascana"," 8","Regina",36,84,1,33,13,0,167,457
47009,"Regina--Wascana/Regina--Wascana"," 9A","Regina",26,45,1,10,9,0,91,330
47009,"Regina--Wascana/Regina--Wascana"," 9B","Regina",24,51,0,11,3,0,89,312
47009,"Regina--Wascana/Regina--Wascana"," 10","Regina",25,65,0,16,3,2,111,455
47009,"Regina--Wascana/Regina--Wascana"," 11","Regina",24,34,0,26,4,0,88,339
47009,"Regina--Wascana/Regina--Wascana"," 12","Regina",33,28,1,27,5,1,95,502
47009,"Regina--Wascana/Regina--Wascana"," 13","Regina",16,17,3,17,3,1,57,331
47009,"Regina--Wascana/Regina--Wascana"," 14","Regina",28,31,3,32,9,1,104,582
47009,"Regina--Wascana/Regina--Wascana"," 15","Regina",17,23,1,11,7,0,59,367
47009,"Regina--Wascana/Regina--Wascana"," 16","Regina",25,61,3,22,8,2,121,377
47009,"Regina--Wascana/Regina--Wascana"," 17","Regina",Void/Supprimé,,,,,,,
47009,"Regina--Wascana/Regina--Wascana"," 18A","Regina",46,116,3,31,8,2,206,526
47009,"Regina--Wascana/Regina--Wascana"," 18B","Regina",47,95,2,36,19,4,203,555
47009,"Regina--Wascana/Regina--Wascana"," 19","Regina",21,72,1,36,9,0,139,446
47009,"Regina--Wascana/Regina--Wascana"," 20","Regina",28,58,3,23,5,1,118,374
47009,"Regina--Wascana/Regina--Wascana"," 21","Regina",19,82,1,19,8,0,129,390
47009,"Regina--Wascana/Regina--Wascana"," 22","Regina",20,63,2,14,6,1,106,364
47009,"Regina--Wascana/Regina--Wascana"," 23","Regina",32,97,0,19,9,0,157,504
47009,"Regina--Wascana/Regina--Wascana"," 24A","Regina",30,33,5,42,8,3,121,395
47009,"Regina--Wascana/Regina--Wascana"," 24B","Regina",28,28,5,42,4,1,108,390
47009,"Regina--Wascana/Regina--Wascana"," 25","Regina",Void/Supprimé,,,,,,,
47009,"Regina--Wascana/Regina--Wascana"," 26","Regina",29,50,3,25,2,0,109,396
47009,"Regina--Wascana/Regina--Wascana"," 27","Regina",38,75,3,27,7,0,150,473
47009,"Regina--Wascana/Regina--Wascana"," 28","Regina",28,64,4,30,8,0,134,531
47009,"Regina--Wascana/Regina--Wascana"," 29","Regina",38,28,4,26,5,1,102,419
47009,"Regina--Wascana/Regina--Wascana"," 30","Regina",30,31,4,53,10,0,128,568
47009,"Regina--Wascana/Regina--Wascana"," 31","Regina",54,28,6,45,2,0,135,441
47009,"Regina--Wascana/Regina--Wascana"," 32","Regina",40,29,4,30,1,1,105,371
47009,"Regina--Wascana/Regina--Wascana"," 33","Regina",45,29,2,41,3,0,120,474
47009,"Regina--Wascana/Regina--Wascana"," 34","Regina",11,29,5,35,4,0,84,460
47009,"Regina--Wascana/Regina--Wascana"," 35","Regina",30,46,1,20,4,0,101,368
47009,"Regina--Wascana/Regina--Wascana"," 36","Regina",20,73,2,22,3,1,121,421
47009,"Regina--Wascana/Regina--Wascana"," 37","Regina",24,69,4,11,6,1,115,405
47009,"Regina--Wascana/Regina--Wascana"," 38","Regina",16,75,4,17,5,1,118,420
47009,"Regina--Wascana/Regina--Wascana"," 39","Regina",37,54,3,25,8,2,129,511
47009,"Regina--Wascana/Regina--Wascana"," 40","Regina",26,59,1,19,2,0,107,439
47009,"Regina--Wascana/Regina--Wascana"," 41","Regina",24,36,3,19,7,2,91,378
47009,"Regina--Wascana/Regina--Wascana"," 42","Regina",30,41,3,32,4,0,110,393
47009,"Regina--Wascana/Regina--Wascana"," 43","Regina",25,52,2,23,10,0,112,388
47009,"Regina--Wascana/Regina--Wascana"," 44","Regina",39,36,2,23,11,2,113,379
