Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvie Bérubé,Cédric Brazeau,Michaël Cloutier,Steve Corriveau,Lise Kistabish,Pauline Lameboy,Jimmy Levesque,Didier Pilon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 83","Senneterre",63,0,1,26,27,5,0,0,7,129,404
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 84","Senneterre",34,1,7,18,14,9,0,2,1,86,324
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 85","Senneterre",40,2,2,17,25,4,0,4,1,95,439
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 86","Senneterre",51,3,5,24,27,8,1,2,1,122,482
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 87","Senneterre",59,2,2,16,13,1,2,2,0,97,350
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 88","Val-d'Or",78,3,3,32,24,19,1,1,4,165,396
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 89","Val-d'Or",117,9,22,33,46,8,2,3,11,251,557
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 90","Val-d'Or",72,3,16,31,49,6,2,4,6,189,381
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 91","Val-d'Or",89,3,14,28,33,5,1,4,0,177,348
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 92","Val-d'Or",78,2,9,34,49,10,2,3,4,191,498
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 93","Val-d'Or",104,4,10,54,52,8,1,4,12,249,638
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 94","Val-d'Or",73,9,8,31,31,9,0,4,4,169,488
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 95","Val-d'Or",48,5,8,26,31,3,1,1,3,126,376
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 96","Val-d'Or",49,4,6,22,21,15,0,1,4,122,431
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 97","Val-d'Or",40,4,4,13,30,12,0,5,3,111,364
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 98","Val-d'Or",40,3,4,20,26,5,0,3,4,105,337
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 99","Rivière-Héva",67,0,13,27,43,9,1,4,4,168,443
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 100","Rivière-Héva",91,3,14,26,43,12,1,1,4,195,380
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 101","Val-d'Or",78,3,8,27,34,4,1,7,12,174,446
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 102","Val-d'Or",78,1,7,47,40,10,2,3,2,190,441
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 103","Lac-Simon",0,3,0,0,56,4,3,0,2,68,512
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 104","Lac-Simon",0,2,0,2,44,3,4,0,0,55,419
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 105","Val-d'Or",94,1,9,25,46,10,0,3,7,195,457
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 106","Val-d'Or",94,2,3,37,68,18,2,2,8,234,512
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 107","Val-d'Or",89,3,9,49,44,15,2,4,9,224,545
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 108","Val-d'Or",67,4,10,34,49,16,0,6,7,193,421
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 109","Val-d'Or",55,0,4,32,47,15,1,1,9,164,404
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 110","Val-d'Or",76,2,7,28,47,5,0,4,7,176,359
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 111","Val-d'Or",67,1,9,22,18,10,0,0,9,136,382
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 112","Val-d'Or",62,5,1,33,28,8,1,0,12,150,449
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 113","Val-d'Or",86,5,13,32,40,7,2,1,10,196,394
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 114","Val-d'Or",91,4,11,35,32,12,3,3,14,205,442
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 115","Val-d'Or",27,1,4,11,17,7,1,3,7,78,370
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 116","Val-d'Or",37,0,4,11,24,6,0,2,7,91,426
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 117","Val-d'Or",33,3,3,13,15,9,1,0,1,78,317
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 118","Val-d'Or",38,0,0,12,27,6,1,3,1,88,326
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 119","Val-d'Or",56,6,3,25,34,15,1,1,4,145,395
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 120","Val-d'Or",48,1,5,27,45,12,0,1,8,147,423
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 121","Val-d'Or",68,7,10,19,33,10,0,1,9,157,406
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 122","Val-d'Or",58,2,2,16,32,7,1,2,6,126,400
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 123","Val-d'Or",76,3,1,21,38,13,1,0,4,157,398
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 124","Val-d'Or",59,2,5,24,25,8,0,2,1,126,369
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 125","Val-d'Or",50,4,5,20,33,9,0,4,7,132,357
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 126","Val-d'Or",72,1,3,18,29,7,0,0,6,136,395
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 127","Val-d'Or",54,6,1,7,46,3,0,2,13,132,238
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 128","Val-d'Or",46,2,4,44,50,10,3,0,0,159,398
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 129","Val-d'Or",55,0,5,26,36,12,0,1,1,136,354
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 130","Val-d'Or",51,0,5,33,32,11,0,4,6,142,387
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 131","Val-d'Or",55,2,16,20,31,6,1,1,2,134,388
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 132","Val-d'Or",65,1,2,14,29,8,0,2,5,126,357
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 133","Val-d'Or",48,0,4,17,27,9,1,6,5,117,439
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 134","Val-d'Or",39,1,3,20,40,11,0,5,7,126,374
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 135","Val-d'Or",48,2,6,16,13,11,2,1,8,107,361
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 136","Val-d'Or",45,0,3,19,20,13,0,1,2,103,368
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 137","Val-d'Or",64,2,7,16,20,2,1,0,7,119,320
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 138","Val-d'Or",48,2,1,36,28,5,0,0,7,127,338
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 139","Malartic",32,3,5,23,21,7,3,2,1,97,316
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 140","Malartic",29,2,5,7,8,6,1,3,2,63,290
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 141","Malartic",45,5,5,12,22,6,1,1,1,98,293
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 142","Val-d'Or",57,2,11,27,20,6,3,2,6,134,391
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 143","Val-d'Or",47,0,8,18,27,6,1,1,2,110,326
