Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anthony Cook,Sukhbir Singh Gill,Anne Jamieson,Sean McQuillan,Harjit S. Sajjan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59040,"Vancouver South/Vancouver-Sud"," 1","Vancouver",4,41,0,35,67,0,147,435
59040,"Vancouver South/Vancouver-Sud"," 2","Vancouver",8,42,1,45,93,4,193,411
59040,"Vancouver South/Vancouver-Sud"," 3","Vancouver",10,25,4,40,44,1,124,433
59040,"Vancouver South/Vancouver-Sud"," 4","Vancouver",2,43,3,22,43,1,114,385
59040,"Vancouver South/Vancouver-Sud"," 5","Vancouver",2,31,3,49,90,0,175,439
59040,"Vancouver South/Vancouver-Sud"," 6","Vancouver",4,21,0,16,37,0,78,414
59040,"Vancouver South/Vancouver-Sud"," 7","Vancouver",3,40,0,42,51,3,139,423
59040,"Vancouver South/Vancouver-Sud"," 8","Vancouver",7,38,1,77,81,3,207,495
59040,"Vancouver South/Vancouver-Sud"," 9","Vancouver",3,21,1,30,55,2,112,407
59040,"Vancouver South/Vancouver-Sud"," 10","Vancouver",8,52,2,76,100,0,238,574
59040,"Vancouver South/Vancouver-Sud"," 11","Vancouver",1,27,0,25,66,0,119,401
59040,"Vancouver South/Vancouver-Sud"," 12","Vancouver",7,27,0,49,94,0,177,433
59040,"Vancouver South/Vancouver-Sud"," 13","Vancouver",8,36,2,43,78,4,171,440
59040,"Vancouver South/Vancouver-Sud"," 14","Vancouver",3,16,0,33,52,2,106,377
59040,"Vancouver South/Vancouver-Sud"," 15","Vancouver",4,46,0,25,46,0,121,418
59040,"Vancouver South/Vancouver-Sud"," 16","Vancouver",3,32,0,30,48,2,115,439
59040,"Vancouver South/Vancouver-Sud"," 17","Vancouver",5,15,3,36,47,0,106,480
59040,"Vancouver South/Vancouver-Sud"," 18","Vancouver",4,21,0,30,55,0,110,414
59040,"Vancouver South/Vancouver-Sud"," 19","Vancouver",6,35,1,18,55,3,118,475
59040,"Vancouver South/Vancouver-Sud"," 20","Vancouver",2,33,2,36,70,1,144,480
59040,"Vancouver South/Vancouver-Sud"," 21","Vancouver",1,14,0,35,51,0,101,349
59040,"Vancouver South/Vancouver-Sud"," 22","Vancouver",8,20,1,39,33,6,107,472
59040,"Vancouver South/Vancouver-Sud"," 23","Vancouver",1,32,0,45,57,1,136,426
59040,"Vancouver South/Vancouver-Sud"," 24","Vancouver",6,27,2,45,66,3,149,413
59040,"Vancouver South/Vancouver-Sud"," 25","Vancouver",1,28,1,29,57,0,116,397
59040,"Vancouver South/Vancouver-Sud"," 26","Vancouver",3,24,0,26,62,4,119,435
59040,"Vancouver South/Vancouver-Sud"," 27","Vancouver",1,31,0,34,57,1,124,406
59040,"Vancouver South/Vancouver-Sud"," 28","Vancouver",2,21,2,24,61,0,110,420
59040,"Vancouver South/Vancouver-Sud"," 29","Vancouver",8,39,1,24,72,5,149,540
59040,"Vancouver South/Vancouver-Sud"," 30","Vancouver",1,21,1,22,62,0,107,400
59040,"Vancouver South/Vancouver-Sud"," 31","Vancouver",2,39,0,29,63,0,133,439
59040,"Vancouver South/Vancouver-Sud"," 32","Vancouver",2,25,1,24,76,2,130,441
59040,"Vancouver South/Vancouver-Sud"," 33","Vancouver",1,21,2,24,89,2,139,444
59040,"Vancouver South/Vancouver-Sud"," 34","Vancouver",3,20,0,19,69,2,113,419
59040,"Vancouver South/Vancouver-Sud"," 35","Vancouver",5,29,1,35,68,1,139,466
59040,"Vancouver South/Vancouver-Sud"," 36","Vancouver",3,23,2,32,88,1,149,500
59040,"Vancouver South/Vancouver-Sud"," 37","Vancouver",1,30,2,51,78,1,163,494
59040,"Vancouver South/Vancouver-Sud"," 38","Vancouver",4,41,1,29,83,2,160,457
