Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clement Badra,Frank Cavallaro,Ibrahim Bruno El-Khoury,Anthony Housefather,Diane Johnston,Yegor Komarov,Zachary Lozoff,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24052,"Mount Royal/Mont-Royal"," 1","Mont-Royal",2,36,10,64,0,5,2,2,121,324
24052,"Mount Royal/Mont-Royal"," 2","Mont-Royal",2,67,8,79,0,5,1,0,162,404
24052,"Mount Royal/Mont-Royal"," 3","Mont-Royal",4,28,13,96,1,11,3,0,156,403
24052,"Mount Royal/Mont-Royal"," 4","Mont-Royal",10,16,16,74,1,17,5,0,139,320
24052,"Mount Royal/Mont-Royal"," 5","Mont-Royal",8,48,11,87,0,9,0,1,164,388
24052,"Mount Royal/Mont-Royal"," 6","Mont-Royal",7,47,14,63,0,13,0,1,145,356
24052,"Mount Royal/Mont-Royal"," 7","Mont-Royal",7,62,17,84,0,25,1,1,197,420
24052,"Mount Royal/Mont-Royal"," 8","Mont-Royal",9,50,15,66,1,5,0,1,147,385
24052,"Mount Royal/Mont-Royal"," 9","Mont-Royal",1,8,8,75,0,0,7,0,99,389
24052,"Mount Royal/Mont-Royal"," 10","Mont-Royal",2,24,10,54,0,3,1,0,94,270
24052,"Mount Royal/Mont-Royal"," 11","Mont-Royal",10,33,10,61,0,13,1,1,129,317
24052,"Mount Royal/Mont-Royal"," 12","Mont-Royal",7,18,10,55,0,17,2,0,109,360
24052,"Mount Royal/Mont-Royal"," 13","Mont-Royal",6,27,19,81,0,15,0,1,149,397
24052,"Mount Royal/Mont-Royal"," 14","Mont-Royal",4,27,14,95,0,26,4,1,171,373
24052,"Mount Royal/Mont-Royal"," 15","Mont-Royal",12,28,19,117,0,19,14,0,209,694
24052,"Mount Royal/Mont-Royal"," 16","Mont-Royal",8,23,4,58,0,20,2,3,118,334
24052,"Mount Royal/Mont-Royal"," 17","Mont-Royal",8,24,14,61,0,23,1,1,132,338
24052,"Mount Royal/Mont-Royal"," 18","Mont-Royal",9,32,22,70,0,14,2,1,150,377
24052,"Mount Royal/Mont-Royal"," 19","Mont-Royal",14,8,19,58,1,27,3,1,131,320
24052,"Mount Royal/Mont-Royal"," 20","Montréal",6,24,13,64,0,8,6,0,121,356
24052,"Mount Royal/Mont-Royal"," 21","Mont-Royal",5,32,17,108,0,10,5,4,181,497
24052,"Mount Royal/Mont-Royal"," 22","Mont-Royal",7,10,7,72,0,12,2,1,111,314
24052,"Mount Royal/Mont-Royal"," 23","Montréal",2,11,10,42,0,5,0,0,70,240
24052,"Mount Royal/Mont-Royal"," 24","Mont-Royal",10,46,19,78,0,23,2,0,178,453
24052,"Mount Royal/Mont-Royal"," 25","Montréal",1,12,14,50,0,2,2,0,81,333
24052,"Mount Royal/Mont-Royal"," 26","Mont-Royal",8,59,18,116,0,19,0,3,223,482
24052,"Mount Royal/Mont-Royal"," 27","Mont-Royal",6,19,3,38,1,10,0,0,77,230
24052,"Mount Royal/Mont-Royal"," 28","Mont-Royal",3,28,16,74,0,8,7,0,136,380
24052,"Mount Royal/Mont-Royal"," 29","Mont-Royal",5,16,18,69,0,13,6,1,128,405
24052,"Mount Royal/Mont-Royal"," 30","Mont-Royal",3,23,4,89,0,8,2,0,129,352
24052,"Mount Royal/Mont-Royal"," 31","Mont-Royal",8,39,20,95,3,22,1,0,188,395
24052,"Mount Royal/Mont-Royal"," 32","Mont-Royal",6,19,11,44,0,12,2,0,94,281
