Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alupa Clarke,Dalila Elhak,Camille Esther Garon,Ann Gingras,Claude Moreau,Lyne Verret,Julie Vignola,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24008,"Beauport--Limoilou/Beauport--Limoilou"," 1","Québec",79,1,13,37,0,3,63,0,196,456
24008,"Beauport--Limoilou/Beauport--Limoilou"," 2","Québec",68,4,9,33,0,3,40,0,157,476
24008,"Beauport--Limoilou/Beauport--Limoilou"," 3","Québec",85,2,16,43,0,0,39,6,191,492
24008,"Beauport--Limoilou/Beauport--Limoilou"," 4","Québec",71,1,10,17,0,0,54,2,155,435
24008,"Beauport--Limoilou/Beauport--Limoilou"," 5","Québec",63,1,12,37,2,3,59,3,180,460
24008,"Beauport--Limoilou/Beauport--Limoilou"," 6","Québec",82,4,13,33,1,3,44,7,187,482
24008,"Beauport--Limoilou/Beauport--Limoilou"," 7","Québec",44,3,15,28,0,4,52,4,150,440
24008,"Beauport--Limoilou/Beauport--Limoilou"," 8","Québec",85,3,19,43,0,2,53,4,209,449
24008,"Beauport--Limoilou/Beauport--Limoilou"," 9","Québec",61,5,13,35,0,1,53,3,171,433
24008,"Beauport--Limoilou/Beauport--Limoilou"," 10","Québec",53,0,16,23,0,0,40,0,132,415
24008,"Beauport--Limoilou/Beauport--Limoilou"," 11","Québec",79,8,13,54,0,0,61,5,220,486
24008,"Beauport--Limoilou/Beauport--Limoilou"," 12","Québec",42,3,9,27,0,0,54,3,138,407
24008,"Beauport--Limoilou/Beauport--Limoilou"," 13","Québec",56,2,4,27,0,1,44,4,138,369
24008,"Beauport--Limoilou/Beauport--Limoilou"," 14","Québec",83,6,14,35,1,2,66,4,211,555
24008,"Beauport--Limoilou/Beauport--Limoilou"," 15","Québec",107,3,10,54,0,0,68,0,242,469
24008,"Beauport--Limoilou/Beauport--Limoilou"," 16","Québec",105,6,13,58,0,0,68,0,250,496
24008,"Beauport--Limoilou/Beauport--Limoilou"," 17","Québec",63,5,15,40,1,3,42,2,171,397
24008,"Beauport--Limoilou/Beauport--Limoilou"," 18","Québec",54,0,16,40,0,5,29,1,145,405
24008,"Beauport--Limoilou/Beauport--Limoilou"," 19","Québec",68,3,10,36,0,6,42,6,171,498
24008,"Beauport--Limoilou/Beauport--Limoilou"," 20","Québec",71,1,7,30,1,2,58,6,176,384
24008,"Beauport--Limoilou/Beauport--Limoilou"," 21","Québec",73,3,11,68,0,1,56,6,218,413
24008,"Beauport--Limoilou/Beauport--Limoilou"," 22","Québec",80,4,18,36,2,4,47,3,194,492
24008,"Beauport--Limoilou/Beauport--Limoilou"," 23","Québec",82,4,10,36,0,3,59,2,196,388
24008,"Beauport--Limoilou/Beauport--Limoilou"," 24","Québec",68,7,20,37,2,1,54,0,189,429
24008,"Beauport--Limoilou/Beauport--Limoilou"," 25","Québec",44,3,14,45,0,2,21,3,132,382
24008,"Beauport--Limoilou/Beauport--Limoilou"," 26","Québec",46,2,16,39,0,1,50,3,157,488
24008,"Beauport--Limoilou/Beauport--Limoilou"," 27","Québec",56,5,26,35,2,3,51,2,180,381
