Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Bellemare,Ruth Ellen Brosseau,Denis Brown,Steven Lamirande,Yves Perron,Laurence Requilé,Geneviève Sénécal,Léo Soulières,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 1","Saint-Mathieu-du-Parc",12,67,8,1,50,6,5,15,3,167,309
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 2","Saint-Mathieu-du-Parc",23,59,0,0,76,2,1,7,1,169,367
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 3","Saint-Mathieu-du-Parc",17,47,3,0,45,2,2,28,2,146,265
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 4","Saint-Mathieu-du-Parc",28,48,1,0,47,5,7,11,1,148,309
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 5","Saint-Alexis-des-Monts",16,49,0,1,42,4,1,18,0,131,405
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 6","Saint-Alexis-des-Monts",26,35,3,0,46,1,2,10,0,123,359
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 7","Saint-Alexis-des-Monts",16,36,0,2,26,1,0,7,1,89,363
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 8","Saint-Alexis-des-Monts",8,27,1,0,29,0,2,18,1,86,311
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 9","Saint-Alexis-des-Monts",12,36,0,0,15,0,2,2,0,67,241
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",21,37,2,0,20,1,1,4,0,86,267
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",20,27,1,0,19,0,1,14,1,83,272
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 12","Saint-Alexis-des-Monts",15,34,0,0,44,2,5,11,3,114,399
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 13","Saint-Boniface",6,46,5,0,47,4,0,18,1,127,309
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 14","Saint-Boniface",15,41,0,0,25,0,4,9,0,94,270
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 15","Saint-Boniface",37,76,4,0,45,2,1,28,9,202,453
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 16","Saint-Boniface",12,47,2,0,29,6,5,18,0,119,344
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 17","Saint-Boniface",11,56,3,0,41,1,6,9,2,129,314
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 18","Saint-Boniface",18,62,0,0,21,0,8,18,6,133,361
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 19","Saint-Boniface",21,39,2,0,25,0,5,12,0,104,283
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 20","Saint-Boniface",27,53,0,0,46,1,4,19,2,152,382
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 21","Saint-Boniface",16,35,1,0,29,0,4,13,0,98,282
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 22","Saint-Boniface",24,48,0,1,37,1,6,27,3,147,387
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 23","Saint-Boniface",19,46,1,2,21,7,2,29,1,128,296
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 24","Saint-Boniface",17,72,0,0,38,0,6,38,1,172,332
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 25","Saint-Élie",23,50,2,1,36,3,3,9,0,127,344
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 26","Domaine-Ouellet",28,71,5,0,50,4,3,25,3,189,442
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 27","Saint-Élie",19,51,3,0,30,4,5,11,2,125,293
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 28","Saint-Élie",17,66,6,0,31,6,7,6,6,145,358
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 29","Saint-Étienne-des-Grès",23,74,1,0,70,3,2,41,2,216,460
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 30","Saint-Étienne-des-Grès",17,64,1,0,58,4,9,38,3,194,416
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 31","Saint-Étienne-des-Grès",8,37,4,0,34,1,7,19,2,112,321
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 32","Saint-Étienne-des-Grès",6,45,0,0,33,1,1,24,1,111,296
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 33","Saint-Étienne-des-Grès",23,76,0,1,47,1,9,37,3,197,421
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 34","Saint-Étienne-des-Grès",25,60,1,0,33,2,3,27,1,152,351
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 35","Saint-Étienne-des-Grès",14,45,0,0,26,4,5,24,4,122,298
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 36","Saint-Étienne-des-Grès",22,43,2,1,28,2,2,12,1,113,356
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 37","Charette",36,92,0,2,67,4,7,26,6,240,443
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 38","Charette",29,79,1,5,54,3,10,19,1,201,414
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 39","Saint-Barnabé",21,108,3,0,54,1,9,16,0,212,411
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 40","Saint-Barnabé",40,89,0,1,33,2,3,28,1,197,343
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 41","Saint-Étienne-des-Grès",11,41,0,0,23,0,2,11,3,91,213
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 42","Saint-Étienne-des-Grès",17,73,4,2,29,0,8,28,4,165,423
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 43","Saint-Thomas-de-Caxton",13,71,1,2,22,3,3,14,3,132,252
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 44","Saint-Paulin",20,73,0,0,41,4,5,17,1,161,431
