Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chantelle Bryson,Rick Daines,Patty Hajdu,Amanda Moddejonge,Joshua Taylor,Alexander Vodden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 158","Thunder Bay",39,1,96,2,97,0,3,238,588
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 159","Thunder Bay",44,10,84,0,62,2,3,205,467
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 160","Thunder Bay",37,4,68,8,26,0,3,146,437
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 161","Thunder Bay",62,7,46,7,17,1,1,141,337
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 162","Thunder Bay",52,8,35,4,18,0,3,120,342
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 400","Thunder Bay",18,4,36,1,13,1,5,78,123
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 401","Thunder Bay",16,2,83,4,18,3,10,136,228
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 402","Thunder Bay",21,3,72,0,27,0,2,125,186
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 403","Thunder Bay",16,5,23,1,3,0,1,49,74
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 404","Thunder Bay",20,2,52,4,31,1,1,111,182
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 405","Thunder Bay",103,7,17,11,37,4,0,179,186
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 500","Mobile poll/Bureau itinérant",1,0,5,0,0,0,0,6,13
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 501","Mobile poll/Bureau itinérant",8,2,16,0,3,1,0,30,43
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 502","Mobile poll/Bureau itinérant",2,0,3,0,0,0,0,5,14
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 503","Mobile poll/Bureau itinérant",1,0,1,0,0,0,0,2,0
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 504","Mobile poll/Bureau itinérant",1,0,6,0,1,0,1,9,9
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 505","Mobile poll/Bureau itinérant",4,1,17,2,3,0,0,27,34
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 506","Mobile poll/Bureau itinérant",1,0,6,1,0,0,0,8,12
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 507","Mobile poll/Bureau itinérant",3,0,1,0,0,0,0,4,17
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 508","Mobile poll/Bureau itinérant",3,0,2,0,3,0,0,8,12
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 509","Mobile poll/Bureau itinérant",3,0,8,0,0,0,0,11,14
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 510","Mobile poll/Bureau itinérant",7,0,34,1,6,1,1,50,81
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 511","Mobile poll/Bureau itinérant",2,1,28,2,3,0,0,36,72
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 512","Mobile poll/Bureau itinérant",2,1,24,0,8,0,1,36,53
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 513","Mobile poll/Bureau itinérant",1,0,7,0,4,0,0,12,35
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 514","Mobile poll/Bureau itinérant",11,5,46,0,5,0,0,67,117
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 515","Mobile poll/Bureau itinérant",6,1,32,3,8,0,2,52,54
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 516","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°147,,,,,,,,47
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 518","Mobile poll/Bureau itinérant",15,0,43,1,4,1,0,64,105
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 519","Mobile poll/Bureau itinérant",4,0,27,0,5,1,0,37,55
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 520","Mobile poll/Bureau itinérant",13,1,16,0,3,0,1,34,101
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 521","Mobile poll/Bureau itinérant",2,1,6,0,4,0,0,13,20
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 522","Mobile poll/Bureau itinérant",8,2,37,3,17,0,4,71,103
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 523","Mobile poll/Bureau itinérant",6,0,23,0,11,0,2,42,56
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 524","Mobile poll/Bureau itinérant",5,0,31,1,7,0,1,45,108
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 525","Mobile poll/Bureau itinérant",5,1,2,0,2,0,0,10,19
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 526","Mobile poll/Bureau itinérant",8,4,13,1,6,0,0,32,65
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 600","Armstrong",34,2,27,1,6,2,1,73,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 601","Nipigon",71,20,99,8,116,1,0,315,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 602","Aroland 83--Nakina",16,7,25,0,27,0,0,75,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 603","Greenstone--Lake Nipigon",0,5,21,3,24,0,1,54,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 604","Geraldton",62,58,164,5,85,0,1,375,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 605","Longlac",26,30,120,1,116,1,7,301,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 606","Manitouwadge",65,42,122,5,118,0,2,354,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 607","Marathon",110,36,202,7,129,2,6,492,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 608","Terrace Bay",85,10,120,3,96,1,3,318,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 609","Schreiber",92,14,108,3,61,2,1,281,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 610","Red Rock",38,11,79,7,69,1,2,207,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 611","Shuniah",115,61,278,6,200,1,1,662,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 612","Thunder Bay",203,85,445,13,388,3,6,1143,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 613","Thunder Bay",230,47,470,9,273,0,8,1037,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 614","Thunder Bay",314,58,586,24,287,2,6,1277,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 615","Thunder Bay",200,27,393,16,116,0,2,754,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 616","Thunder Bay",238,38,465,13,188,4,7,953,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 617","Thunder Bay",264,46,688,18,246,4,4,1270,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 618","Thunder Bay",324,65,637,17,275,1,3,1322,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 619","Thunder Bay",217,34,507,11,223,2,1,995,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 620","Thunder Bay",213,38,372,17,220,4,2,866,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 621","Thunder Bay",179,31,456,16,301,1,3,987,
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord",,Group 1/Groupe 1, 100,26,158,7,76,1,18,386,141
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord",,Group 2/Groupe 2, 472,92,1016,35,395,3,42,2055,
