Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katie Campbell,Cameron Ells,Andy Fillmore,B. Alexander Hébert,Jo-Ann Roberts,Lisa Roberts,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax/Halifax"," 90","Halifax",1,22,75,1,8,61,2,170,377
12005,"Halifax/Halifax"," 91","Halifax",2,35,60,5,3,135,1,241,528
12005,"Halifax/Halifax"," 92","Halifax",0,31,77,6,3,129,0,246,543
12005,"Halifax/Halifax"," 93","Halifax",0,45,74,8,5,62,0,194,424
12005,"Halifax/Halifax"," 94","Halifax",1,19,70,2,1,88,0,181,461
12005,"Halifax/Halifax"," 95","Halifax",0,27,56,7,9,150,0,249,453
12005,"Halifax/Halifax"," 96","Halifax",1,25,48,2,6,102,0,184,430
12005,"Halifax/Halifax"," 97","Halifax",0,34,101,3,4,73,0,215,442
12005,"Halifax/Halifax"," 98","Halifax",0,24,90,0,5,39,1,159,336
12005,"Halifax/Halifax"," 99","Halifax",0,24,100,2,5,44,0,175,408
12005,"Halifax/Halifax"," 100","Halifax",0,8,87,4,9,71,0,179,434
12005,"Halifax/Halifax"," 101","Halifax",1,13,73,2,7,74,0,170,379
12005,"Halifax/Halifax"," 102","Halifax",1,21,62,3,4,42,0,133,380
12005,"Halifax/Halifax"," 103","Halifax",1,44,147,4,2,120,0,318,464
12005,"Halifax/Halifax"," 104","Halifax",0,18,70,1,1,42,0,132,366
12005,"Halifax/Halifax"," 105","Halifax",Merged with No./Fusionné avec le n°103,,,,,,,,443
12005,"Halifax/Halifax"," 106","Halifax",1,43,97,1,1,49,0,192,415
12005,"Halifax/Halifax"," 107","Halifax",1,60,97,7,20,178,0,363,665
12005,"Halifax/Halifax"," 108","Halifax",1,33,74,0,4,35,0,147,406
12005,"Halifax/Halifax"," 109","Halifax",1,36,98,2,11,41,1,190,378
12005,"Halifax/Halifax"," 110","Halifax",0,23,72,1,4,48,2,150,351
12005,"Halifax/Halifax"," 111","Halifax",2,26,83,1,6,77,0,195,444
12005,"Halifax/Halifax"," 112","Halifax",0,42,76,1,5,43,0,167,413
12005,"Halifax/Halifax"," 113","Halifax",0,36,85,1,6,18,0,146,353
12005,"Halifax/Halifax"," 114","Halifax",0,41,81,6,4,54,0,186,506
12005,"Halifax/Halifax"," 115","Halifax",0,30,78,5,7,73,0,193,498
12005,"Halifax/Halifax"," 116","Halifax",0,20,78,5,5,77,0,185,526
12005,"Halifax/Halifax"," 117","Halifax",0,20,63,14,5,45,1,148,427
12005,"Halifax/Halifax"," 118","Halifax",1,30,114,2,5,33,0,185,503
12005,"Halifax/Halifax"," 119","Halifax",2,32,108,6,9,47,0,204,486
12005,"Halifax/Halifax"," 120","Halifax",0,26,104,2,4,45,1,182,419
12005,"Halifax/Halifax"," 121","Halifax",0,13,36,2,0,9,2,62,228
12005,"Halifax/Halifax"," 122","Halifax",0,24,74,4,3,80,0,185,468
12005,"Halifax/Halifax"," 123","Halifax",0,19,80,2,0,26,0,127,334
12005,"Halifax/Halifax"," 124","Halifax",0,30,69,4,3,32,1,139,366
12005,"Halifax/Halifax"," 125","Halifax",0,49,85,1,1,21,2,159,398
12005,"Halifax/Halifax"," 126","Halifax",1,25,59,10,6,61,4,166,535
12005,"Halifax/Halifax"," 127","Halifax",1,30,75,8,3,77,1,195,478
12005,"Halifax/Halifax"," 128","Halifax",1,37,59,10,3,99,1,210,491
12005,"Halifax/Halifax"," 129A","Halifax",Merged with No./Fusionné avec le n°131A,,,,,,,,198
12005,"Halifax/Halifax"," 129B","Halifax",0,25,119,14,4,78,0,240,188
12005,"Halifax/Halifax"," 130A","Halifax",Merged with No./Fusionné avec le n°131A,,,,,,,,173
12005,"Halifax/Halifax"," 130B","Halifax",Merged with No./Fusionné avec le n°129B,,,,,,,,153
12005,"Halifax/Halifax"," 131A","Halifax",1,50,108,7,8,95,2,271,243
12005,"Halifax/Halifax"," 131B","Halifax",Merged with No./Fusionné avec le n°129B,,,,,,,,278
12005,"Halifax/Halifax"," 132","Halifax",1,48,129,2,6,67,1,254,523
12005,"Halifax/Halifax"," 133","Halifax",0,40,94,5,5,43,0,187,462
12005,"Halifax/Halifax"," 134","Halifax",0,24,109,9,9,41,1,193,547
12005,"Halifax/Halifax"," 135","Halifax",1,20,74,3,4,40,0,142,460
12005,"Halifax/Halifax"," 136","Halifax",Merged with No./Fusionné avec le n°137,,,,,,,,272
12005,"Halifax/Halifax"," 137","Halifax",4,29,94,10,3,81,1,222,499
12005,"Halifax/Halifax"," 138","Halifax",0,37,82,6,2,50,0,177,562
12005,"Halifax/Halifax"," 139","Halifax",0,27,100,4,3,73,0,207,491
12005,"Halifax/Halifax"," 140","Halifax",0,23,59,8,5,58,1,154,362
12005,"Halifax/Halifax"," 141","Halifax",0,38,124,10,2,96,0,270,573
12005,"Halifax/Halifax"," 142","Halifax",1,18,70,8,8,65,1,171,470
12005,"Halifax/Halifax"," 143","Halifax",1,29,83,9,2,56,2,182,451
12005,"Halifax/Halifax"," 144","Halifax",1,17,32,10,2,36,0,98,348
12005,"Halifax/Halifax"," 145","Halifax",1,41,97,8,9,67,0,223,533
12005,"Halifax/Halifax"," 146","Halifax",0,64,189,6,6,166,0,431,940
12005,"Halifax/Halifax"," 147","Halifax",0,15,49,5,1,48,1,119,496
12005,"Halifax/Halifax"," 148","Halifax",1,14,45,7,2,48,1,118,501
12005,"Halifax/Halifax"," 149","Halifax",0,18,49,7,1,45,0,120,492
12005,"Halifax/Halifax"," 150","Halifax",0,5,45,4,0,57,0,111,524
12005,"Halifax/Halifax"," 151","Halifax",1,27,109,6,4,47,1,195,532
12005,"Halifax/Halifax"," 152","Halifax",1,22,53,8,5,65,0,154,572
12005,"Halifax/Halifax"," 153","Halifax",Merged with No./Fusionné avec le n°154,,,,,,,,298
12005,"Halifax/Halifax"," 154","Halifax",1,47,124,12,10,79,0,273,335
12005,"Halifax/Halifax"," 155","Halifax",0,34,91,10,4,69,1,209,479
12005,"Halifax/Halifax"," 156","Halifax",0,6,43,4,4,51,0,108,329
12005,"Halifax/Halifax"," 157","Halifax",Merged with No./Fusionné avec le n°158,,,,,,,,371
12005,"Halifax/Halifax"," 158","Halifax",1,58,176,14,3,91,4,347,483
12005,"Halifax/Halifax"," 159","Halifax",Merged with No./Fusionné avec le n°161,,,,,,,,336
12005,"Halifax/Halifax"," 160","Halifax",0,30,102,8,2,63,3,208,478
12005,"Halifax/Halifax"," 161","Halifax",0,51,120,16,4,89,2,282,364
12005,"Halifax/Halifax"," 162","Harrietsfield",0,61,89,11,3,53,1,218,343
12005,"Halifax/Halifax"," 163","Harrietsfield",Merged with No./Fusionné avec le n°165,,,,,,,,323
12005,"Halifax/Halifax"," 164","Harrietsfield--Williamswood",0,34,55,8,5,31,0,133,387
12005,"Halifax/Halifax"," 165","Harrietsfield--Williamswood",2,45,80,8,5,53,0,193,353
12005,"Halifax/Halifax"," 166","Williamswood",Merged with No./Fusionné avec le n°162,,,,,,,,308
12005,"Halifax/Halifax"," 167","Portuguese Cove",0,33,73,4,5,53,0,168,414
12005,"Halifax/Halifax"," 168","Halifax",0,31,108,5,6,51,1,202,464
12005,"Halifax/Halifax"," 400","Halifax",Merged with No./Fusionné avec le n°10,,,,,,,,123
12005,"Halifax/Halifax"," 401","Halifax",Merged with No./Fusionné avec le n°18,,,,,,,,121
12005,"Halifax/Halifax"," 402","Halifax",Merged with No./Fusionné avec le n°27,,,,,,,,210
12005,"Halifax/Halifax"," 403","Halifax",Merged with No./Fusionné avec le n°34,,,,,,,,215
12005,"Halifax/Halifax"," 404","Halifax",Merged with No./Fusionné avec le n°405,,,,,,,,91
12005,"Halifax/Halifax"," 405","Halifax",0,18,48,0,1,34,0,101,185
12005,"Halifax/Halifax"," 406","Halifax",Merged with No./Fusionné avec le n°77,,,,,,,,132
12005,"Halifax/Halifax"," 407","Halifax",Merged with No./Fusionné avec le n°65,,,,,,,,184
12005,"Halifax/Halifax"," 408","Halifax",Merged with No./Fusionné avec le n°57,,,,,,,,29
12005,"Halifax/Halifax"," 409","Halifax",Merged with No./Fusionné avec le n°139,,,,,,,,194
