Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ed Fast,Stephen Fowler,Navreen Gill,Kevin Sinclair,Dharmasena Yakandawela,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 1","Abbotsford",30,1,73,8,37,2,151,440
59001,"Abbotsford/Abbotsford"," 2","Abbotsford",38,2,88,7,16,5,156,346
59001,"Abbotsford/Abbotsford"," 3","Abbotsford",31,1,87,10,18,7,154,402
59001,"Abbotsford/Abbotsford"," 4","Abbotsford",39,1,94,5,37,0,176,579
59001,"Abbotsford/Abbotsford"," 5","Abbotsford",27,1,65,1,22,2,118,388
59001,"Abbotsford/Abbotsford"," 6","Abbotsford",50,1,76,11,25,3,166,432
59001,"Abbotsford/Abbotsford"," 7","Abbotsford",64,1,42,4,11,1,123,448
59001,"Abbotsford/Abbotsford"," 8","Abbotsford",61,3,46,9,43,1,163,472
59001,"Abbotsford/Abbotsford"," 9","Abbotsford",72,2,105,14,25,0,218,566
59001,"Abbotsford/Abbotsford"," 10","Abbotsford",35,5,70,3,18,0,131,446
59001,"Abbotsford/Abbotsford"," 11","Abbotsford",60,5,54,15,25,3,162,522
59001,"Abbotsford/Abbotsford"," 12","Abbotsford",75,5,54,9,27,3,173,489
59001,"Abbotsford/Abbotsford"," 13","Abbotsford",52,8,36,19,37,3,155,550
59001,"Abbotsford/Abbotsford"," 14","Abbotsford",56,9,31,8,38,0,142,539
59001,"Abbotsford/Abbotsford"," 15","Abbotsford",30,1,44,11,21,2,109,326
59001,"Abbotsford/Abbotsford"," 16","Abbotsford",45,2,49,15,29,1,141,536
59001,"Abbotsford/Abbotsford"," 17","Abbotsford",84,3,54,6,22,0,169,525
59001,"Abbotsford/Abbotsford"," 18","Abbotsford",51,10,36,7,32,1,137,425
59001,"Abbotsford/Abbotsford"," 19","Abbotsford",50,4,31,9,9,2,105,413
59001,"Abbotsford/Abbotsford"," 20","Abbotsford",58,6,32,5,28,1,130,472
59001,"Abbotsford/Abbotsford"," 21","Abbotsford",25,4,55,10,21,2,117,393
59001,"Abbotsford/Abbotsford"," 22","Abbotsford",46,3,43,2,16,1,111,466
59001,"Abbotsford/Abbotsford"," 23","Abbotsford",65,2,43,9,42,1,162,449
59001,"Abbotsford/Abbotsford"," 24","Abbotsford",52,3,10,11,16,0,92,412
59001,"Abbotsford/Abbotsford"," 25","Abbotsford",25,9,52,13,29,1,129,414
59001,"Abbotsford/Abbotsford"," 26","Abbotsford",31,2,41,13,22,0,109,303
59001,"Abbotsford/Abbotsford"," 27","Abbotsford",Void/Supprimé,,,,,,,
