Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chey Craik,Isaiah Hunter,Talon Regent,Fraser Tolmie,David Craig Townsend,Katelyn Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 21","Guernsey",17,1,9,100,12,11,0,150,295
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 22","Zelma",39,3,34,177,6,11,1,271,399
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 23","Hanley",15,3,18,140,2,12,1,191,308
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 24","Strong",20,2,26,107,3,9,0,167,302
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 25","Broderick",54,5,15,85,2,8,0,169,345
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 26","Outlook",27,0,23,82,0,8,2,142,410
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 27","Outlook",19,2,17,58,6,8,0,110,360
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 28","Outlook",12,2,3,25,1,3,1,47,154
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 29A","Outlook",19,1,14,80,2,3,0,119,392
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 29B","Mobile poll/Bureau itinérant",Results combined with no. 29A/Résultats combinés au n° 29A,,,,,,,,48
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 30","Outlook",29,1,14,81,4,11,2,142,422
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 31","Watrous",5,2,14,87,2,1,2,113,282
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 32","Watrous",20,7,29,91,1,14,1,163,429
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 33","Watrous",9,1,21,86,3,6,0,126,348
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 34","Watrous",11,2,23,87,2,6,3,134,450
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 35A","Watrous",7,0,14,44,1,2,1,69,222
