Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Barlow,Daniel Hunter,Brett Rogers,Paula Shimp,Michelle Traxel,Josh Wylie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,"Foothills/Foothills"," 1","Jumping Pound",57,5,0,3,6,3,0,74,201
48022,"Foothills/Foothills"," 2","Rocky View County",73,7,3,8,16,9,0,116,318
48022,"Foothills/Foothills"," 3","Rocky View County",82,7,2,16,16,3,0,126,349
48022,"Foothills/Foothills"," 4","Rocky View County",88,11,2,15,13,5,0,134,360
48022,"Foothills/Foothills"," 5","Rocky View County",74,1,1,3,13,0,0,92,354
48022,"Foothills/Foothills"," 6","Rocky View County",91,13,4,8,9,4,0,129,401
48022,"Foothills/Foothills"," 7","Rocky View County",71,2,0,8,9,2,0,92,327
48022,"Foothills/Foothills"," 8","Rocky View County",85,19,0,4,7,1,0,116,331
48022,"Foothills/Foothills"," 9","Pirmez Creek",57,8,1,6,10,1,0,83,225
48022,"Foothills/Foothills"," 10","Rocky View County",118,19,0,16,13,1,2,169,491
48022,"Foothills/Foothills"," 11","Rocky View County",30,4,1,4,7,0,0,46,280
48022,"Foothills/Foothills"," 12","Rocky View County",88,7,3,9,15,1,0,123,314
48022,"Foothills/Foothills"," 13","Rocky View County",54,6,3,3,3,1,0,70,302
48022,"Foothills/Foothills"," 14","Rocky View County",58,2,4,10,6,0,0,80,369
48022,"Foothills/Foothills"," 15","Rocky View County",135,4,1,21,21,3,0,185,579
48022,"Foothills/Foothills"," 16","Rocky View County",53,1,0,3,4,2,0,63,367
48022,"Foothills/Foothills"," 17","Rocky View County",68,4,0,14,12,4,0,102,458
48022,"Foothills/Foothills"," 18","Rocky View County",75,0,1,14,8,0,0,98,346
48022,"Foothills/Foothills"," 19","Redwood Meadows",120,17,2,28,30,5,0,202,354
48022,"Foothills/Foothills"," 20","Redwood Meadows",124,17,4,37,38,2,0,222,403
48022,"Foothills/Foothills"," 21","Kananaskis",42,3,3,19,34,0,0,101,144
48022,"Foothills/Foothills"," 22","Tsuu T'ina Nation 145",7,1,1,19,95,1,0,124,880
48022,"Foothills/Foothills"," 23","Bragg Creek",60,7,2,14,14,3,0,100,265
48022,"Foothills/Foothills"," 24","Bragg Creek",49,9,1,15,21,1,0,96,248
48022,"Foothills/Foothills"," 25","Bragg Creek",101,12,4,31,26,3,0,177,441
