Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yavar Hameed,Jennifer Jennekens,Sean Mulligan,David Stibbe,Anita Vandenbeld,David Yeo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 1","Ottawa",55,49,1,10,105,4,2,226,565
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 2","Ottawa",71,55,2,9,70,11,1,219,465
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 3","Ottawa",60,49,2,10,95,7,2,225,361
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 4","Ottawa",41,38,0,11,71,9,2,172,368
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 5","Ottawa",Merged with No./Fusionné avec le n°3,,,,,,,,325
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 6","Ottawa",44,41,0,4,85,3,4,181,579
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 7","Ottawa",38,35,0,11,65,3,1,153,395
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 8","Ottawa",Merged with No./Fusionné avec le n°12,,,,,,,,193
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 9","Ottawa",32,32,4,5,68,13,3,157,483
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 10","Ottawa",29,7,1,3,110,6,3,159,434
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 11","Ottawa",43,21,0,9,123,3,7,206,535
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 12","Ottawa",46,39,2,8,112,12,0,219,384
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 13","Ottawa",46,31,1,5,86,4,0,173,497
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 14","Ottawa",44,41,0,2,82,9,0,178,494
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 15","Ottawa",50,54,0,5,62,5,0,176,423
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 16","Ottawa",36,39,0,5,67,7,2,156,492
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 17","Ottawa",27,48,1,4,81,8,0,169,449
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 18","Ottawa",50,34,0,5,90,10,1,190,548
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 19","Ottawa",Merged with No./Fusionné avec le n°60A,,,,,,,,234
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 20","Ottawa",54,27,0,5,60,12,0,158,390
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 21","Ottawa",14,26,1,6,48,5,0,100,416
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 22","Ottawa",16,40,0,3,73,8,0,140,532
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 23A","Ottawa",31,31,3,1,54,7,0,127,511
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 23B","Mobile poll/Bureau itinérant",6,20,2,2,46,2,0,78,123
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 24","Ottawa",34,24,0,5,83,4,2,152,549
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 25","Ottawa",Merged with No./Fusionné avec le n°26,,,,,,,,310
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 26","Ottawa",57,49,4,4,89,14,0,217,350
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 27","Ottawa",45,37,2,5,89,7,2,187,394
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 28","Ottawa",34,38,0,14,64,4,1,155,359
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 29","Ottawa",57,55,2,5,110,12,0,241,636
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 30","Ottawa",34,37,1,3,88,4,1,168,461
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 31","Ottawa",39,96,4,9,129,6,1,284,447
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 32","Ottawa",47,92,2,2,122,11,3,279,446
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 33","Ottawa",29,34,0,7,63,10,0,143,458
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 34","Ottawa",19,42,0,7,61,2,1,132,448
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 35","Ottawa",17,32,3,11,108,4,0,175,432
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 36","Ottawa",43,61,0,8,89,3,1,205,449
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 37","Ottawa",51,31,3,5,111,3,0,204,458
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 38","Ottawa",37,42,0,7,79,13,0,178,468
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 39","Ottawa",26,22,0,2,89,4,1,144,401
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 40","Ottawa",29,48,1,9,67,6,1,161,423
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 41","Ottawa",37,32,0,8,49,2,2,130,304
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 42","Ottawa",32,29,0,3,92,2,0,158,410
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 43","Ottawa",Merged with No./Fusionné avec le n°48,,,,,,,,326
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 44","Ottawa",27,46,5,1,63,5,1,148,476
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 45","Ottawa",39,38,0,7,55,12,1,152,507
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 46","Ottawa",36,52,1,4,62,10,2,167,475
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 47","Ottawa",30,74,1,5,95,3,1,209,477
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 48","Ottawa",65,73,1,4,99,9,1,252,346
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 49","Ottawa",21,26,0,0,72,0,0,119,439
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 50","Ottawa",55,46,2,6,99,9,0,217,418
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 51","Ottawa",55,26,2,10,91,7,3,194,429
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 52","Ottawa",46,24,1,6,59,5,0,141,368
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 53","Ottawa",29,25,1,2,37,9,1,104,405
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 54","Ottawa",57,25,0,3,50,11,0,146,412
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 55","Ottawa",48,84,3,6,153,7,0,301,375
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 56","Ottawa",Merged with No./Fusionné avec le n°55,,,,,,,,361
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 57","Ottawa",71,65,2,5,148,10,3,304,809
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 58","Ottawa ",Void/Supprimé,,,,,,,,
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 59","Ottawa",32,80,0,6,110,3,0,231,485
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 60A","Ottawa",40,61,0,5,98,3,3,210,376
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 60B","Ottawa",38,68,0,5,99,12,2,224,402
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 61","Ottawa",41,36,0,8,62,9,0,156,573
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 62","Ottawa",49,33,1,2,53,7,0,145,510
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 63","Ottawa",35,42,0,3,70,9,2,161,423
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 64","Ottawa",15,24,0,6,54,4,0,103,338
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 65","Ottawa",35,45,2,5,68,2,0,157,410
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 66","Ottawa",37,27,0,3,44,9,2,122,374
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 67","Ottawa",46,49,3,7,73,9,0,187,453
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 68","Ottawa",40,43,0,4,76,8,1,172,444
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 69","Ottawa",42,25,1,3,53,7,0,131,507
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 70","Ottawa",31,58,2,3,65,3,1,163,417
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 71","Ottawa",18,66,2,6,98,4,2,196,408
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 72","Ottawa",23,69,1,2,86,7,1,189,428
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 73","Ottawa",31,66,3,4,86,3,2,195,438
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 74","Ottawa",29,65,2,7,102,13,0,218,425
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 75","Ottawa",27,39,2,3,90,8,2,171,381
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 76A","Ottawa",59,66,0,6,120,7,0,258,340
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 76B","Mobile poll/Bureau itinérant",15,64,2,6,82,1,2,172,120
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 77","Ottawa",27,52,3,8,56,6,0,152,363
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 78","Ottawa",54,24,0,5,94,4,1,182,428
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 79","Ottawa",37,47,1,9,60,5,0,159,397
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 80A","Ottawa",27,46,0,2,50,4,0,129,374
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 80B","Ottawa",27,53,1,3,66,5,0,155,387
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 81","Ottawa",44,92,0,7,112,12,1,268,601
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 82","Ottawa",44,14,0,8,30,8,1,105,430
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 83","Ottawa",38,44,1,10,63,8,0,164,504
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 84","Ottawa",21,14,0,3,69,5,2,114,411
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 85","Ottawa",41,55,0,4,78,8,3,189,397
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 86","Ottawa",29,88,0,4,61,9,1,192,403
