Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Blanchette,Ali Dahan,Marc Dean,Gilles Lépine,Joël Lightbound,Hamid Nadji,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Louis-Hébert/Louis-Hébert"," 1","Québec",3,0,36,60,35,18,1,153,343
24044,"Louis-Hébert/Louis-Hébert"," 2","Québec",2,2,32,61,43,13,2,155,438
24044,"Louis-Hébert/Louis-Hébert"," 3","Québec",3,0,38,54,39,12,1,147,375
24044,"Louis-Hébert/Louis-Hébert"," 4","Québec",7,0,22,56,29,12,5,131,372
24044,"Louis-Hébert/Louis-Hébert"," 5","Québec",2,0,30,61,36,6,1,136,371
24044,"Louis-Hébert/Louis-Hébert"," 6","Québec",2,0,23,67,33,11,3,139,343
24044,"Louis-Hébert/Louis-Hébert"," 7","Québec",7,1,18,15,41,45,4,131,329
24044,"Louis-Hébert/Louis-Hébert"," 8","Québec",10,1,39,32,59,36,5,182,449
24044,"Louis-Hébert/Louis-Hébert"," 9","Québec",11,1,54,28,64,54,4,216,599
24044,"Louis-Hébert/Louis-Hébert"," 10","Québec",8,3,50,25,76,34,2,198,405
24044,"Louis-Hébert/Louis-Hébert"," 11","Québec",8,2,49,23,87,26,6,201,345
24044,"Louis-Hébert/Louis-Hébert"," 12","Québec",4,1,56,24,64,51,3,203,480
24044,"Louis-Hébert/Louis-Hébert"," 13","Québec",10,1,33,23,65,21,2,155,319
24044,"Louis-Hébert/Louis-Hébert"," 14","Québec",7,0,31,12,50,59,5,164,410
24044,"Louis-Hébert/Louis-Hébert"," 15","Québec",7,4,39,21,40,36,5,152,335
24044,"Louis-Hébert/Louis-Hébert"," 16","Québec",7,1,36,23,35,32,3,137,389
24044,"Louis-Hébert/Louis-Hébert"," 17","Québec",6,1,38,43,79,77,4,248,497
24044,"Louis-Hébert/Louis-Hébert"," 18","Québec",11,1,54,25,70,15,1,177,324
24044,"Louis-Hébert/Louis-Hébert"," 19","Québec",8,3,74,17,89,31,1,223,424
24044,"Louis-Hébert/Louis-Hébert"," 20","Québec",6,1,71,35,94,23,3,233,460
24044,"Louis-Hébert/Louis-Hébert"," 21","Québec",6,4,53,31,62,23,2,181,428
24044,"Louis-Hébert/Louis-Hébert"," 22","Québec",1,1,52,53,67,11,1,186,369
24044,"Louis-Hébert/Louis-Hébert"," 23","Québec",2,3,63,41,97,15,2,223,498
24044,"Louis-Hébert/Louis-Hébert"," 24","Québec",4,1,45,54,86,10,0,200,480
24044,"Louis-Hébert/Louis-Hébert"," 25","Québec",2,0,41,43,73,17,0,176,403
24044,"Louis-Hébert/Louis-Hébert"," 26","Québec",4,2,40,43,97,20,1,207,486
24044,"Louis-Hébert/Louis-Hébert"," 27","Québec",8,1,42,44,64,8,2,169,422
24044,"Louis-Hébert/Louis-Hébert"," 28","Québec",6,0,49,54,69,11,2,191,412
24044,"Louis-Hébert/Louis-Hébert"," 29","Québec",5,1,64,28,76,19,2,195,401
24044,"Louis-Hébert/Louis-Hébert"," 30","Québec",10,0,46,22,66,30,3,177,400
24044,"Louis-Hébert/Louis-Hébert"," 31","Québec",8,1,37,22,67,23,5,163,355
24044,"Louis-Hébert/Louis-Hébert"," 32","Québec",1,1,27,17,47,1,4,98,490
24044,"Louis-Hébert/Louis-Hébert"," 33","Québec",9,0,67,23,72,29,1,201,371
24044,"Louis-Hébert/Louis-Hébert"," 34","Québec",8,0,34,24,62,5,3,136,396
24044,"Louis-Hébert/Louis-Hébert"," 35","Québec",8,1,34,21,54,8,1,127,370
24044,"Louis-Hébert/Louis-Hébert"," 36","Québec",5,0,40,32,52,30,0,159,348
24044,"Louis-Hébert/Louis-Hébert"," 37","Québec",0,1,28,20,35,14,2,100,285
24044,"Louis-Hébert/Louis-Hébert"," 38","Québec",3,5,57,26,55,11,3,160,421
24044,"Louis-Hébert/Louis-Hébert"," 39A","Québec",9,2,48,30,80,28,5,202,572
24044,"Louis-Hébert/Louis-Hébert"," 39B","Mobile poll/Bureau itinérant",Results combined with no. 506/Résultats combinés au n° 506,,,,,,,,97
24044,"Louis-Hébert/Louis-Hébert"," 40","Québec",12,2,58,48,124,22,4,270,576
24044,"Louis-Hébert/Louis-Hébert"," 41","Québec",0,0,30,36,46,2,3,117,352
24044,"Louis-Hébert/Louis-Hébert"," 42","Québec",1,0,37,47,59,9,1,154,339
24044,"Louis-Hébert/Louis-Hébert"," 43A","Québec",0,1,13,16,31,12,3,76,285
24044,"Louis-Hébert/Louis-Hébert"," 43B","Mobile poll/Bureau itinérant",Results combined with no. 506/Résultats combinés au n° 506,,,,,,,,178
24044,"Louis-Hébert/Louis-Hébert"," 44","Québec",3,2,23,18,37,7,3,93,359
24044,"Louis-Hébert/Louis-Hébert"," 45","Québec",7,0,48,36,56,15,4,166,338
24044,"Louis-Hébert/Louis-Hébert"," 46","Québec",6,4,44,28,86,14,7,189,457
24044,"Louis-Hébert/Louis-Hébert"," 47","Québec",7,1,40,35,77,24,2,186,441
24044,"Louis-Hébert/Louis-Hébert"," 48","Québec",5,4,30,24,64,18,3,148,498
24044,"Louis-Hébert/Louis-Hébert"," 49","Québec",5,5,28,21,40,27,1,127,353
24044,"Louis-Hébert/Louis-Hébert"," 50","Québec",4,3,25,23,43,22,5,125,334
24044,"Louis-Hébert/Louis-Hébert"," 51","Québec",3,0,29,23,48,21,3,127,321
24044,"Louis-Hébert/Louis-Hébert"," 52","Québec",6,2,32,37,73,17,1,168,485
