Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna-Marie Fosbrooke,Reima Kaikkonen,Ashley Michelle Lawrence,Christopher Neudorf,Alex Ruff,Anne Marie Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 1","Tobermory",6,0,7,26,55,53,0,147,318
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 2","St. Edmunds",6,0,6,24,43,37,0,116,315
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 3","Tobermory",6,2,7,16,38,41,0,110,333
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 4","Miller Lake West",21,0,2,10,42,43,0,118,293
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 5","Miller Lake West",13,0,3,18,55,28,1,118,302
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 6","Ferndale",8,2,4,14,48,28,0,104,330
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 7","Lion's Head",10,3,6,21,40,21,0,101,376
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 8","Barrow Bay",7,1,4,13,63,42,0,130,382
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 9","Pike Bay",7,0,7,16,70,16,0,116,363
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 10","South Bruce Peninsula",4,1,6,126,6,46,0,189,507
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 11","Stokes Bay",6,0,5,19,35,29,2,96,353
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 12","Pike Bay",4,1,6,14,49,30,1,105,368
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 13","South Bruce Peninsula",11,1,9,23,79,50,1,174,449
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 14","South Bruce Peninsula",10,4,10,17,79,40,3,163,481
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 15","South Bruce Peninsula",14,0,4,31,68,45,1,163,426
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 16","Big Bay",18,2,8,27,118,75,2,250,481
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 17","Meaford",10,1,8,51,101,51,0,222,311
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 18","Meaford",6,0,5,40,57,26,2,136,422
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 19","Meaford",Merged with No./Fusionné avec le n°17,,,,,,,,301
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 20","Meaford",8,0,8,19,51,25,0,111,300
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 21","Meaford",6,1,4,21,63,54,0,149,416
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 22","Lake Charles",4,0,9,12,36,25,0,86,260
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 23","Oxenden",7,0,7,12,65,29,1,121,376
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 24","South Bruce Peninsula",5,1,5,19,39,25,1,95,397
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 25","South Bruce Peninsula",10,1,4,23,51,20,0,109,452
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 26","Zion",21,0,13,28,100,41,0,203,587
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 27","South Bruce Peninsula",14,2,3,24,98,22,0,163,480
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 28","South Bruce Peninsula",13,0,1,36,57,37,0,144,449
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 29","South Bruce Peninsula",7,2,8,22,58,29,1,127,505
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 30","Lindenwood",17,3,5,34,63,44,0,166,397
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 31","East Linton",14,0,5,32,132,122,0,305,678
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 32","Meaford",16,0,5,22,57,45,1,146,428
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 33","Meaford",6,0,3,26,44,43,1,123,364
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 34","Meaford",22,0,7,17,59,26,1,132,324
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 35","Meaford",8,0,10,17,35,47,0,117,327
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 36","Meaford",Merged with No./Fusionné avec le n°38,,,,,,,,276
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 37","Meaford",13,1,8,25,37,39,0,123,360
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 38","Meaford",12,0,5,37,53,59,0,166,309
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 39","Meaford",18,2,5,25,39,36,1,126,321
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 40","Meaford",7,2,3,22,72,52,1,159,366
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 41","Meaford",9,1,4,36,55,46,0,151,365
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 42","Meaford",5,0,7,5,54,38,0,109,348
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 43","Owen Sound",16,1,5,40,48,34,2,146,417
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 44","Owen Sound",4,0,5,17,45,21,1,93,304
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 45","Owen Sound",17,3,4,31,48,56,0,159,416
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 46","Owen Sound",17,1,4,34,87,44,0,187,424
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 47","Owen Sound",19,2,7,36,47,29,0,140,441
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 48","Owen Sound",12,2,3,33,43,27,0,120,476
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 49","South Bruce Peninsula",6,3,5,19,85,48,4,170,428
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 50","South Bruce Peninsula",14,0,5,14,83,71,0,187,448
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 51","South Bruce Peninsula",23,3,7,23,110,46,0,212,409
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 52","South Bruce Peninsula",8,0,5,20,64,57,2,156,410
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 53","South Bruce Peninsula",18,1,4,17,129,76,2,247,502
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 54","South Bruce Peninsula",9,2,4,33,117,68,3,236,539
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 55","East Linton",4,1,6,21,81,28,0,141,373
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 56","Bayview Point",3,0,11,16,53,43,0,126,450
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 57","Brooke",12,6,5,17,100,43,1,184,441
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 58","Owen Sound",8,0,1,17,53,32,0,111,383
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 59","Brooke",2,0,4,26,53,33,0,118,300
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 60","Owen Sound",12,1,6,44,46,29,0,138,381
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 61","Brooke",11,1,3,20,76,19,1,131,356
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 62","Owen Sound",11,0,4,28,50,23,2,118,358
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 63","Meaford",9,1,6,40,116,67,1,240,581
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 64","Meaford",15,1,5,18,57,36,0,132,325
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 65","Meaford",6,1,3,20,58,39,1,128,364
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 66","Meaford",11,0,2,18,55,27,1,114,298
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 67","Owen Sound",17,0,5,29,46,26,0,123,529
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 68","Owen Sound",11,1,5,31,54,31,0,133,432
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 69","Owen Sound",7,0,3,30,74,29,1,144,417
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 70","Owen Sound",5,1,0,19,42,27,1,95,299
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 71","Owen Sound",19,2,8,31,51,48,1,160,422
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 72","Owen Sound",13,0,3,20,50,23,0,109,444
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 73","Owen Sound",14,1,5,31,51,29,0,131,432
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 74","Keppel",9,1,1,22,94,24,0,151,342
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 75","Shallow Lake",21,0,4,30,102,35,0,192,431
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 76","Keppel",10,5,2,17,102,49,0,185,489
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 77","Cruickshank",24,0,2,22,100,20,0,168,332
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 78","Shallow Lake",12,1,4,18,105,26,2,168,341
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 79","Springmount",16,2,12,24,120,17,2,193,461
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 80","Meaford",8,1,5,18,88,32,0,152,393
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 81","Meaford",Merged with No./Fusionné avec le n°82,,,,,,,,233
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 82","Meaford",17,6,2,35,122,55,0,237,260
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 83","Meaford",Merged with No./Fusionné avec le n°84,,,,,,,,319
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 84","Massie",43,5,3,44,168,49,0,312,378
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 85","Owen Sound",8,2,3,23,51,32,3,122,397
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 86","Owen Sound",15,0,5,24,67,35,2,148,431
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 87","Owen Sound",9,0,5,27,50,51,0,142,338
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 88","Owen Sound",12,1,4,19,70,51,1,158,379
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 89","Meaford",12,1,8,20,76,43,0,160,318
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 90","Meaford",7,0,6,12,84,44,1,154,379
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 91","Owen Sound",Merged with No./Fusionné avec le n°92,,,,,,,,364
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 92","Owen Sound",32,7,16,57,92,105,1,310,480
