Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clarence Baarda,Carol Hughes,Harry Jaaskelainen,Duke Peltier,John Sagman,Stephen Zimmermann,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 1","Constance Lake 92",0,50,0,14,0,3,2,69,461
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 2","Smooth Rock Falls",1,24,17,32,27,0,0,101,292
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 3","Smooth Rock Falls",2,29,14,12,22,2,3,84,266
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 4","Smooth Rock Falls",0,33,13,26,28,0,1,101,288
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 5","Smooth Rock Falls",3,35,19,29,19,1,1,107,265
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 6","Mattice",1,125,45,80,38,2,6,297,523
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 7","Opasatika",0,47,2,16,10,2,0,77,181
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 8","Lac-Ste-Thérèse",0,20,6,19,14,0,1,60,204
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 9","Calstock",0,25,2,21,9,2,0,59,187
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 10","Hearst",1,58,5,38,28,1,2,133,443
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 11","Hearst",0,68,25,54,37,3,1,188,537
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 12","Hearst",3,61,25,50,28,0,2,169,467
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 13","Hearst",1,38,11,52,25,5,1,133,410
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 14","Hearst",0,48,11,66,29,1,2,157,419
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 15","Hearst",0,47,14,43,35,1,3,143,411
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 16","Hearst",1,55,15,61,27,3,0,162,429
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 17","Hearst",0,45,12,64,32,2,4,159,397
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 18","Hearst",3,49,17,52,36,4,0,161,437
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 19","Jogues",2,29,12,23,12,0,1,79,276
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 20","Kapuskasing",0,84,19,60,23,3,3,192,497
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 21","Kapuskasing",2,101,8,35,26,2,1,175,492
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 22","Kapuskasing",1,50,11,18,27,0,1,108,347
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 23","Kapuskasing",0,72,13,26,26,2,1,140,414
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 24","Kapuskasing",0,95,30,54,59,3,0,241,581
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 25","Kapuskasing",0,92,22,29,52,2,0,197,493
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 26","Moonbeam",0,85,25,70,47,3,2,232,567
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 27","Moonbeam",0,81,31,65,45,2,3,227,418
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 28","Moonbeam",0,4,0,5,0,1,0,10,13
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 29","Kapuskasing",0,30,13,26,28,3,0,100,359
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 30","Kapuskasing",0,75,15,26,28,3,0,147,446
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 31","Kapuskasing",0,80,10,27,38,3,1,159,361
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 32","Kapuskasing",1,59,23,35,35,0,1,154,384
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 33","Kapuskasing",1,62,17,25,28,3,1,137,381
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 34","Kapuskasing",1,55,14,54,30,3,1,158,503
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 35","Kapuskasing",0,64,17,17,26,3,2,129,419
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 36","Kapuskasing",1,48,8,28,17,2,2,106,433
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 37","Kapuskasing",1,85,28,44,32,3,5,198,527
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 38","Val Rita",0,79,23,31,37,1,3,174,345
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 39","Harty",0,24,10,14,9,0,1,58,145
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 40","Val Rita",1,31,5,11,11,1,1,61,133
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 41","Strickland",0,19,6,8,5,0,0,38,94
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 42","Fauquier",5,86,30,48,42,2,2,215,384
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 43","Hornepayne",1,37,5,12,44,2,2,103,380
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 44","Hornepayne",0,60,10,12,37,2,1,122,432
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 45","White River",1,38,10,17,27,4,0,97,275
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 46","White River",0,24,12,2,33,2,0,73,224
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 47","Foleyet",1,38,10,32,38,2,2,123,208
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 48","Dubreuilville",0,30,10,18,32,3,0,93,262
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 49","Dubreuilville",0,23,5,11,15,0,1,55,187
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 50","Missanabie",0,7,0,6,3,0,0,16,30
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 51","Hawk Junction",0,38,11,15,27,0,0,91,191
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 52","Chapleau",1,32,3,14,21,0,0,71,306
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 53","Chapleau",0,40,6,17,26,1,0,90,379
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 54","Chapleau",0,40,11,18,12,5,1,87,341
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 55","Chapleau",0,32,5,14,17,3,0,71,277
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 56","Chapleau",0,27,12,14,32,2,1,88,462
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 57A","Chapleau",1,58,7,27,35,1,0,129,289
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 57B","Chapleau",0,22,2,1,4,1,1,31,54
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 58","Pic Mobert North",0,50,0,11,1,1,3,66,61
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 59","Wawa",0,40,8,14,36,4,0,102,323
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 60","Wawa",1,30,7,12,17,1,2,70,271
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 61","Wawa",1,54,12,11,21,1,0,100,299
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 62","Wawa",0,46,9,18,22,7,0,102,299
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 63","Wawa",0,44,7,16,38,0,0,105,325
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 64","Wawa",0,47,10,15,28,1,2,103,282
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 65","Wawa",0,26,13,9,29,1,0,78,305
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 66","Wawa",0,29,7,10,38,3,3,90,327
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 67","Wharncliffe",1,22,1,7,38,3,0,72,133
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 68","Ansonia--Little Rapids",0,9,1,5,13,0,0,28,72
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 69","Nestorville--Little Rapids",1,56,13,30,58,3,0,161,405
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 70","Massey",6,58,24,14,37,3,0,142,399
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 71","Massey",0,67,12,26,34,5,0,144,418
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 72","Massey",1,86,18,31,55,3,3,197,573
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 73","Sables-Spanish Rivers",1,28,9,4,31,0,0,73,194
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 74","Iron Bridge",1,53,11,27,82,1,1,176,370
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 75","Dean Lake--Iron Bridge",2,83,24,25,89,7,1,231,569
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 76","Nairn Centre",0,84,12,27,51,5,0,179,352
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 77","Webbwood",0,58,7,29,49,0,1,144,332
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 78","Webbwood",4,62,8,17,52,2,1,146,366
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 79","Elliot Lake",6,54,6,51,88,6,0,211,677
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 80","Elliot Lake",1,45,9,21,34,2,1,113,460
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 81","Elliot Lake",2,43,5,17,22,2,0,91,343
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 82","Elliot Lake",3,43,6,20,32,1,1,106,416
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 83","Elliot Lake",2,28,3,23,15,1,1,73,359
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 84","McKerrow",2,101,22,30,69,4,1,229,493
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 85","Elliot Lake",3,44,8,15,25,3,0,98,380
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 86","Elliot Lake",2,55,6,22,25,5,1,116,381
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 87","Elliot Lake",5,49,6,25,14,3,2,104,446
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 88","Elliot Lake",1,49,7,18,34,2,1,112,452
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 89","Elliot Lake",6,49,8,25,28,2,1,119,435
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 90","Elliot Lake",1,38,4,20,28,1,0,92,382
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 91","Elliot Lake",0,28,12,19,24,2,0,85,356
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 92","Elliot Lake",1,54,15,43,39,7,3,162,523
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 93","Elliot Lake",3,39,8,18,18,3,0,89,443
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 94","Elliot Lake",2,81,10,61,41,3,3,201,566
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 95","Elliot Lake",0,36,3,17,22,0,0,78,278
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 96","Elliot Lake",0,46,10,33,28,0,0,117,438
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 97","Elliot Lake",3,51,6,30,23,4,0,117,501
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 98","Elliot Lake",1,65,6,16,29,4,1,122,456
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 99","Elliot Lake",1,52,12,23,19,3,0,110,468
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 100","Elliot Lake",1,49,10,24,44,3,0,131,422
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 101","Elliot Lake",4,40,4,22,26,3,0,99,409
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 102","Elliot Lake",0,41,2,28,19,1,0,91,384
