Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Bendayan,Célia Grimard,Angela-Angie Joshi,Jasmine Louras,Ève Péclet,Yehuda Pinto,Grace Tarabey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Outremont/Outremont"," 1","Montréal",61,29,0,8,47,3,3,0,151,496
24054,"Outremont/Outremont"," 2","Montréal",75,36,0,12,48,4,7,0,182,377
24054,"Outremont/Outremont"," 3","Montréal",83,40,0,7,67,5,9,1,212,597
24054,"Outremont/Outremont"," 4","Montréal",57,26,1,7,97,5,12,2,207,437
24054,"Outremont/Outremont"," 5","Montréal",82,36,0,5,79,6,12,4,224,467
24054,"Outremont/Outremont"," 6","Montréal",56,22,1,8,52,2,5,2,148,432
24054,"Outremont/Outremont"," 7","Montréal",80,42,1,9,96,0,11,4,243,542
24054,"Outremont/Outremont"," 8","Montréal",59,40,0,5,112,3,6,2,227,531
24054,"Outremont/Outremont"," 9","Montréal",62,22,2,4,35,4,6,2,137,398
24054,"Outremont/Outremont"," 10","Montréal",64,26,1,5,70,6,8,2,182,396
24054,"Outremont/Outremont"," 11","Montréal",75,13,3,6,78,0,5,2,182,430
24054,"Outremont/Outremont"," 12","Montréal",63,24,0,3,96,6,8,0,200,462
24054,"Outremont/Outremont"," 13","Montréal",49,14,2,9,89,2,9,2,176,402
24054,"Outremont/Outremont"," 14","Montréal",72,25,0,3,70,6,14,2,192,467
24054,"Outremont/Outremont"," 15","Montréal",49,29,0,6,71,7,12,1,175,418
24054,"Outremont/Outremont"," 16","Montréal",62,50,1,10,56,5,12,2,198,481
24054,"Outremont/Outremont"," 17","Montréal",53,22,0,9,61,0,5,4,154,347
24054,"Outremont/Outremont"," 18","Montréal",80,35,0,4,79,7,12,6,223,546
24054,"Outremont/Outremont"," 19","Montréal",97,27,2,6,74,1,11,1,219,551
24054,"Outremont/Outremont"," 20","Montréal",71,25,2,8,82,4,6,5,203,457
24054,"Outremont/Outremont"," 21","Montréal",47,13,0,9,71,3,6,2,151,383
24054,"Outremont/Outremont"," 22","Montréal",64,27,1,4,118,2,19,1,236,511
24054,"Outremont/Outremont"," 23","Montréal",55,16,2,7,85,3,5,1,174,412
24054,"Outremont/Outremont"," 24","Montréal",53,14,1,4,64,2,4,3,145,361
24054,"Outremont/Outremont"," 25","Montréal",33,8,0,1,59,1,6,3,111,403
24054,"Outremont/Outremont"," 26","Montréal",17,11,0,3,48,3,9,2,93,281
24054,"Outremont/Outremont"," 27","Montréal",15,8,0,5,27,1,3,0,59,395
24054,"Outremont/Outremont"," 28","Montréal",95,16,0,8,68,3,10,1,201,398
24054,"Outremont/Outremont"," 29","Montréal",62,20,0,6,84,2,10,3,187,398
24054,"Outremont/Outremont"," 30","Montréal",72,27,0,8,68,4,6,2,187,367
24054,"Outremont/Outremont"," 31","Montréal",61,18,0,4,91,2,6,4,186,399
24054,"Outremont/Outremont"," 32","Montréal",73,22,1,5,76,3,3,1,184,510
24054,"Outremont/Outremont"," 33","Montréal",64,24,0,3,82,1,3,0,177,348
